指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2020/3/10取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面②,およそ住所
港区,六本木７丁目,六本木,東京都港区六本木７-１４-４,35.663888,139.731398,六本木交差点北,1,1.00 ,ちぃばす,赤坂ルート(六本木ヒルズ-赤坂駅前),山王下（港区）方面,,東京都港区六本木
港区,六本木７丁目,六本木,東京都港区六本木７-８-９,35.664834,139.730239,六本木七丁目,1,1.00 ,ちぃばす,赤坂ルート(六本木ヒルズ-赤坂駅前),山王下（港区）方面,,東京都港区六本木
港区,六本木７丁目,六本木,東京都港区六本木７-１５-１４,35.662392,139.730044,六本木七丁目南,1,1.00 ,ちぃばす,赤坂ルート(六本木ヒルズ-赤坂駅前),山王下（港区）方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-９-１,35.65921,139.730604,六本木けやき坂,6,0.17 ,ちぃばす,田町ルート,六本木ヒルズ方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-９-１,35.65921,139.730604,六本木けやき坂,6,0.17 ,ちぃばす,赤坂ルート(六本木ヒルズ-赤坂駅前),山王下（港区）方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-９-１,35.65921,139.730604,六本木けやき坂,6,0.17 ,ちぃばす,麻布東ルート,港区役所（東京都）方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-９-１,35.65921,139.730604,六本木けやき坂,6,0.17 ,ちぃばす,麻布西ルート,広尾駅（東京都）方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-９-１,35.65921,139.730604,六本木けやき坂,6,0.17 ,ちぃばす,青山ルート,赤坂見附駅方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-９-１,35.65921,139.730604,六本木けやき坂,6,0.17 ,都営バス,ＲＨ０１,渋谷駅前方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-１０-１,35.660315,139.729079,六本木ヒルズ,5,0.20 ,ちぃばす,田町ルート,田町駅東口方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-１０-１,35.660315,139.729079,六本木ヒルズ,5,0.20 ,ちぃばす,赤坂ルート(六本木ヒルズ-赤坂駅前),山王下（港区）方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-１０-１,35.660315,139.729079,六本木ヒルズ,5,0.20 ,ちぃばす,青山ルート,赤坂見附駅方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-１０-１,35.660315,139.729079,六本木ヒルズ,5,0.20 ,都営バス,反９６,五反田駅方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-１０-１,35.660315,139.729079,六本木ヒルズ,5,0.20 ,都営バス,ＲＨ０１,渋谷駅前方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-１０-１,35.660217,139.729954,六本木ヒルズ〔高速バス〕,4,0.25 ,空港連絡バス,羽田空港行き,羽田空港国際線ターミナル〔バス〕方面,,東京都港区六本木
港区,六本木６丁目,六本木,東京都港区六本木６-１０-１,35.660217,139.729954,六本木ヒルズ〔高速バス〕,4,0.25 ,高速バス,東京-静岡/東京-沼津,沼津駅北口方面,,東京都港区六本木
