指標名,コンビニ,,,,,
出典,NAVITIME,,,,,
年次,2020/2/26取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
港区,六本木７丁目,六本木,東京都港区六本木6-1-25,35.662833,139.7314485,ローソン メトロス六本木店
港区,六本木７丁目,六本木,東京都港区六本木7-10-3,35.664651,139.729077,セブンイレブン 六本木7丁目店
港区,六本木７丁目,六本木,東京都港区六本木7-14-23,35.663589,139.731435,セブンイレブン 六本木駅北店
港区,六本木７丁目,六本木,東京都港区六本木7-18,35.662113,139.7288295,ローソン 港六本木通店
港区,六本木７丁目,六本木,東京都港区六本木7-3-12,35.665938,139.728411,セブンイレブン 港区乃木坂駅南店
港区,六本木７丁目,六本木,東京都港区六本木7丁目13-2,35.664255,139.730841,ファミリーマート 六本木七丁目店
港区,六本木７丁目,六本木,東京都港区六本木7丁目15-17,35.662293,139.729626,ファミリーマート 六本木通り店
港区,六本木６丁目,六本木,東京都港区六本木6-2-31六本木ヒルズノースタワーB1階,35.661789,139.7301525,ファミリーマート 六本木ヒルズ店
港区,六本木６丁目,六本木,東京都港区六本木6-10-1,35.66043,139.7292615,ナチュラルローソン NLS六本木ヒルズ50F店
港区,六本木６丁目,六本木,東京都港区六本木6-1-3,35.662707,139.7323395,セブンイレブン 六本木6丁目店
港区,六本木６丁目,六本木,東京都港区六本木6-9-1,35.659638,139.7308185,セブンイレブン 7FSテレビ朝日本社ビル店
港区,六本木６丁目,六本木,東京都港区六本木6丁目1-24ラピロス六本木,35.662563,139.731912,ファミリーマート 地下鉄六本木駅店
港区,六本木６丁目,六本木,東京都港区六本木6丁目8-10,35.661249,139.732533,ファミリーマート 六本木六丁目店
港区,六本木５丁目,六本木,東京都港区六本木5-16-4,35.661726,139.7356425,デイリーヤマザキ 六本木5丁目店
港区,六本木５丁目,六本木,東京都港区六本木5丁目2-1,35.662419,139.7335095,セブンイレブン 六本木5丁目店
港区,六本木４丁目,六本木,東京都港区六本木4-9-5,35.663607,139.7325195,デイリーヤマザキ 六本木交差点店
港区,六本木３丁目,六本木,東京都港区六本木3-17-10,35.66187,139.736862,ローソン 六本木三丁目店
港区,六本木３丁目,六本木,東京都港区六本木3-1-1,35.665551,139.7381715,セブンイレブン 六本木ティーキューブ店
港区,六本木３丁目,六本木,東京都港区六本木3-14-9,35.662293,139.7349045,ファミリーマート 六本木東店
港区,六本木３丁目,六本木,東京都港区六本木3-2-1,35.664669,139.737735,セブンイレブン テレビ東京本社店
港区,六本木３丁目,六本木,東京都港区六本木3ー4-31,35.664759,139.735872,セブンイレブン 六本木3丁目店
港区,六本木３丁目,六本木,東京都港区六本木3-3-7,35.663436,139.737465,ファミリーマート 六本木三丁目店
港区,六本木３丁目,六本木,東京都港区六本木3-7-1 204区画,35.664147,139.734873,デイリーヤマザキ 六本木3丁目店
港区,六本木３丁目,六本木,東京都港区六本木3丁目11-10ココ六本木ビル,35.663292,139.732965,ファミリーマート 六本木駅前店
港区,六本木３丁目,六本木,東京都港区六本木3丁目2-1,35.664669,139.737735,リーベンハウス六本木グランドタワー店
港区,六本木２丁目,六本木,東京都港区六本木2-2-8KDX六本木228ビル,35.667243,139.738734,ファミリーマート アークヒルズ前店
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目6-1,35.664597,139.7394315,リーベンハウス泉ガーデンタワー店
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目9-9,35.663463,139.7409615,リーベンハウス六本木ファーストビル店
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目8-7,35.663193,139.7396745,ファミリーマート 六本木一丁目店
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目9番10号,35.663625,139.7418165,ファミリーマート ファミマ仙石山森タワー店
千代田区,六番町,-,東京都千代田区六番町1,35.687817,139.735242,ファミリーマート 六番町日テレ前店
新宿区,揚場町,-,東京都新宿区揚場町1-21,35.701893,139.743324,セブンイレブン 飯田橋升本ビル店
新宿区,揚場町,-,東京都新宿区揚場町2-18,35.702739,139.742802,セブンイレブン 新宿揚場町店
新宿区,揚場町,-,東京都新宿区揚場町2-21 東ビル,35.702658,139.7432925,ファミリーマート 飯田橋店
新宿区,余丁町,-,東京都新宿区余丁町10-10,35.698338,139.716378,セブンイレブン 新宿余丁町店
新宿区,余丁町,-,東京都新宿区余丁町12-5,35.696304,139.7154015,ファミリーマート 新宿余丁町店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2 JR有楽町駅中央口改札内,35.67390463,139.7626561,NEWDAYS(ニューデイズ) 有楽町中央店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-7-1,35.674209,139.7636595,セブンイレブン 有楽町イトシア店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-7-1 YURAKUCHO ITOCiA・イトシアフードアベニューB1F,35.674209,139.7636595,セブン-イレブン YURAKUCHO ITOCiA店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-8-2,35.674245,139.7627055,セブンイレブン 有楽町駅前店
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2丁目8-4,35.67438,139.762944,ファミリーマート 有楽町駅前店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-12-1,35.675568,139.7619405,ローソン 新有楽町ビル店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-1先 千代田線日比谷駅構内,35.674416,139.7599065,ナチュラルローソン 日比谷メトロピア店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-6-3,35.673903,139.7606265,セブンイレブン 日比谷駅前店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-7-1,35.674704,139.761333,ローソン 有楽町一丁目店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1丁目1-2,35.673552,139.7590335,セブンイレブン 東京ミッドタウン日比谷ラウンジ店
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1丁目1-4,35.673552,139.7589345,セブンイレブン 東京ミッドタウン日比谷店
新宿区,矢来町,-,東京都新宿区矢来町124-6,35.704395,139.733415,ファミリーマート 新宿神楽坂駅前店
新宿区,矢来町,-,東京都新宿区矢来町131ー1,35.704278,139.7326185,セブンイレブン 新宿神楽坂駅西店
新宿区,矢来町,-,東京都新宿区矢来町81-2,35.701416,139.7329065,ファミリーマート 新宿矢来町店
中央区,明石町,-,東京都中央区明石町8-1,35.667,139.7786445,ファミリーマート 聖路加ガーデン店
中央区,明石町,-,東京都中央区明石町8-1,35.667,139.7786445,セブンイレブン 聖路加タワー店
中央区,明石町,-,東京都中央区明石町2-1,35.669331,139.777353,セブンイレブン 中央区明石町店
中央区,明石町,-,東京都中央区明石町3-3 新明ビル1階,35.66907,139.7784825,ファミリーマート 中央明石町店
中央区,明石町,-,東京都中央区明石町5-13,35.668179,139.777776,ファミリーマート 築地明石町店
中央区,明石町,-,東京都中央区明石町9-1,35.667369,139.7771235,セブンイレブン KOYO聖路加国際病院店
中央区,湊２丁目,-,東京都中央区湊2丁目5-4 長井ビル,35.670942,139.7791755,ファミリーマート 湊二丁目店
中央区,湊１丁目,-,東京都中央区湊1丁目12,35.671968,139.780692,セブンイレブン 中央区湊1丁目店
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-9-8,35.659818,139.7424735,セブンイレブン 港区飯倉店
港区,麻布十番４丁目,-,東京都港区麻布十番4-1-8,35.654922,139.737312,セブンイレブン 港区一の橋店
港区,麻布十番４丁目,-,東京都港区麻布十番4-3-1,35.654364,139.73724,ローソン 港一の橋店
港区,麻布十番３丁目,-,東京都港区麻布十番3-1-4-101,35.653374,139.736439,ローソン 麻布十番店
港区,麻布十番３丁目,-,東京都港区麻布十番3-5-7,35.653149,139.7358315,セブンイレブン 港区麻布十番3丁目店
港区,麻布十番３丁目,-,東京都港区麻布十番3丁目10-13,35.652789,139.734441,ファミリーマート 麻布十番店
港区,麻布十番２丁目,-,東京都港区麻布十番2-20-7,35.654832,139.736691,セブンイレブン 麻布十番駅前店
港区,麻布十番２丁目,-,東京都港区麻布十番2-3-10,35.655498,139.7351025,セブンイレブン 港区麻布十番2丁目店
港区,麻布十番２丁目,-,東京都港区麻布十番2丁目2-4,35.655408,139.7357775,ファミリーマート 麻布十番商店街通り店
