指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2020/2/20取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー52F,35.66043,139.7292615,東京シティビュー,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=64
港区,六本木６丁目,六本木,東京都港区六本木6-10-1六本木ヒルズ森タワー49階,35.66043,139.7292615,六本木アカデミーヒルズ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=46
港区,六本木６丁目,六本木,東京都港区六本木6-10-3,35.659638,139.7286045,グランド ハイアット 東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=69
港区,六本木５丁目,六本木,東京都港区六本木5-11-16,35.658441,139.7334555,国際文化会館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=63
港区,六本木１丁目,虎ノ門,東京都港区六本木1-5-2,35.664669,139.7408805,泉ガーデンギャラリー,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=50
港区,六本木１丁目,虎ノ門,東京都港区六本木1-6-1泉ガーデンタワー,35.664597,139.7394315,泉ガーデンコンファレンスセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=51
港区,六本木１丁目,虎ノ門,東京都港区六本木1-9-9六本木ファーストビルB1F,35.663463,139.7409615,ラフォーレミュージアム六本木,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=61
千代田区,六番町,-,東京都千代田区六番町15,35.685981,139.7320695,主婦会館プラザエフ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=60
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-10-1,35.674929,139.764366,東京交通会館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=4
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町2-5-1マリオン11階,35.67357,139.763565,有楽町朝日ホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=5
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-11-1読売会館7階,35.675451,139.7629215,よみうりホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=13
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-8-1,35.674686,139.760721,ザ・ペニンシュラ東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=22
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目１−２,35.673552,139.7590335,日比谷三井カンファレンス,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=253
港区,北青山２丁目,-,東京都港区北青山2-8-44(一般財)高度技術社会推進協会,35.672994,139.716981,TEPIA(TEPIA館),https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=154
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-1,35.691291,139.753071,科学技術館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=58
千代田区,北の丸公園,-,東京都千代田区北の丸公園2-3,35.693748,139.749543,日本武道館,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=59
千代田区,平河町２丁目,-,東京都千代田区平河町2-4-1,35.681121,139.73895,都市センターホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=48
千代田区,平河町２丁目,-,東京都千代田区平河町2-4-3,35.68176,139.738887,ホテル ルポール麹町,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=72
千代田区,平河町２丁目,-,東京都千代田区平河町2-6-4海運ビル,35.67924,139.739625,海運クラブ,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=53
千代田区,平河町２丁目,-,東京都千代田区平河町2-7-5,35.679519,139.740417,砂防会館別館(シェーンバッハ・サボー),https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=49
港区,浜松町２丁目,-,東京都港区浜松町2-4-1世界貿易センタービル3階,35.655606,139.7561535,WTC コンファレンスセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=139
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-3,35.700039,139.750119,東京しごとセンター,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=85
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-8,35.700831,139.749138,ホテルメトロポリタン エドモント,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=89
千代田区,飯田橋１丁目,-,東京都千代田区飯田橋1-1-1,35.697321,139.750119,ホテルグランドパレス,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=88
千代田区,隼町,-,東京都千代田区隼町1-1,35.682903,139.743468,ホテルグランドアーク半蔵門,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=71
中央区,八重洲２丁目,日八京,東京都中央区八重洲２－４－１ ユニゾ八重洲ビル3階,35.678421,139.768515,フクラシア 八重洲,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=249
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-3-7 八重洲ファーストフィナンシャルビル2F・3F,35.682876,139.7717325,ベルサール八重洲,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=30
港区,白金台１丁目,-,東京都港区白金台1-1-1,35.637075,139.7296035,八芳園,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=123
港区,白金台１丁目,-,東京都港区白金台1-1-50,35.63937,139.7302875,シェラトン都ホテル東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=133
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.686935,139.7730555,マンダリン オリエンタル 東京,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=40
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-2-1 コレド室町5階,35.686674,139.774203,日本橋三井ホール,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=35
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3日本橋室町野村ビル5F・6F,35.687403,139.7739195,野村コンファレンスプラザ日本橋,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=33
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-1-1,35.682318,139.78665,ロイヤルパークホテル,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=39
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-3-4日本橋プラザビル3F,35.681391,139.7721285,日本橋プラザ展示ホール・会議室,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=34
中央区,日本橋２丁目,日八京,東京都中央区日本橋２－７－１東京日本橋タワーB2・4F・5F,35.681913,139.774275,ベルサール東京日本橋,https://businesseventstokyo.org/ja/venues/convention-venues/detail/?id=235
