指標名,文化財,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
年次,2020/3/9取得,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
港区,六本木７丁目,六本木,東京都港区六本木七丁目,35.66382857,139.729192,佐藤一斎墓,,史跡名勝天然記念物,史跡,,,,19490713,,,,
港区,六本木５丁目,六本木,東京都港区六本木5-11-16,35.658441,139.7334555,国際文化会館本館,,登録有形文化財(建造物),文化福祉,建築物,,昭和中,20060803,,,公益財団法人国際文化会館,
新宿区,矢来町,-,東京都新宿区矢来町114,35.703918,139.734666,高橋建築事務所社屋,,登録有形文化財(建造物),産業3次,建築物,,昭和前,20110725,,,株式会社高橋建築事務所,
新宿区,矢来町,-,東京都新宿区矢来町60-1,35.70273,139.732389,矢来能楽堂,,登録有形文化財(建造物),文化福祉,建築物,,昭和前,20110725,,,公益社団法人観世九皐会,
新宿区,北山伏町,-,東京都新宿区北山伏町2,35.699796,139.7296845,新井家住宅主屋,,登録有形文化財(建造物),住宅,建築物,,昭和前,20130329,,,,
千代田区,北の丸公園,-,東京都千代田区北の丸公園,35.69173065,139.7516296,江戸城跡のヒカリゴケ生育地,,史跡名勝天然記念物,天然記念物,,,,19720614,,,,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,エロシェンコ像〈中村　彜筆　一九二〇年／油絵　麻布〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19770611,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,絹本著色賢首菩薩図〈菱田春草筆／〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,明治,19790606,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,絹本著色日高河清姫図〈村上華岳筆／〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19990607,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,絹本著色湯女図〈土田麦僊筆／二曲屏風〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19990607,,東京国立近代美術館,独立行政法人国立美術館,
千代田区,北の丸公園,-,東京国立近代美術館　東京都千代田区北の丸公園3-1,35.69060356,139.7547784,絹本墨画生々流転図〈横山大観筆／〉,,国宝・重要文化財(美術品),重要文化財,絵画,日本,大正,19670615,,東京国立近代美術館,独立行政法人国立美術館,
