指標名,大使館・領事館,,,,,,,,
出典,外務省,,,,,,,,
年次,2020/3/9取得,,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,エリア,国・地域,備考
港区,六本木５丁目,六本木,東京都港区六本木五丁目12-3,35.657532,139.734189,駐日シンガポール共和国大使館,アジア,シンガポール共和国,
港区,六本木５丁目,六本木,東京都港区六本木五丁目15-5,35.660097,139.7355345,駐日フィリピン共和国大使館,アジア,フィリピン共和国,
港区,六本木１丁目,虎ノ門,東京都港区六本木一丁目10-3-100,35.664687,139.741839,駐日スウェーデン王国大使館,欧州,スウェーデン王国,
港区,六本木１丁目,虎ノ門,東京都港区六本木一丁目3-29,35.665614,139.741515,駐日スペイン王国大使館,欧州,スペイン王国,
港区,六本木１丁目,虎ノ門,東京都港区六本木一丁目8-4（駐日サウジアラビア王国大使館）,35.663265,139.739238,駐日サウジアラビア王国大使館,中東,サウジアラビア王国,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-5-1 日比谷マリンビル7階,35.67456,139.759506,在東京キプロス共和国名誉総領事館,欧州,キプロス共和国,都内に大使館も領事館もある（住所は別）
港区,麻布台３丁目,-,東京都港区麻布台三丁目5-7 AMEREXビル,35.659935,139.740372,駐日ナミビア共和国大使館,アフリカ,ナミビア共和国,都内に大使館も領事館もある（住所は別）
港区,麻布台２丁目,-,東京都港区麻布台二丁目1-1,35.659431,139.741308,駐日ロシア連邦大使館,欧州,ロシア連邦,
港区,麻布台２丁目,-,東京都港区麻布台二丁目3-5 ノアビル14階,35.659179,139.7426175,駐日フィジー共和国大使館,大洋州,フィジー共和国,
港区,麻布台２丁目,-,東京都港区麻布台二丁目2-1,35.65818,139.742181,駐日アフガニスタン・イスラム共和国大使館,中東,アフガニスタン・イスラム共和国,
港区,麻布台１丁目,虎ノ門,東京都港区麻布台一丁目9-10 飯倉ITビル8階,35.659728,139.7425995,駐日モルディブ共和国大使館,アジア,モルディブ共和国,
港区,麻布台１丁目,虎ノ門,東京都港区麻布台一丁目8-14,35.660088,139.7415555,駐日カザフスタン共和国大使館,欧州,カザフスタン共和国,
港区,麻布台１丁目,虎ノ門,東京都港区麻布台一丁目9-10 飯倉ITビル2階,35.659728,139.7425995,駐日トンガ王国大使館,大洋州,トンガ王国,
港区,北青山２丁目,-,東京都港区北青山二丁目11-12,35.670852,139.714542,駐日ブラジル連邦共和国大使館,中南米,ブラジル連邦共和国,都内に大使館も領事館もある（住所は別）
千代田区,富士見１丁目,-,東京都千代田区富士見一丁目8-9,35.697807,139.74498,駐日東ティモール民主共和国大使館,アジア,東ティモール民主共和国,
渋谷区,鉢山町,-,東京都渋谷区鉢山町9-23,35.652258,139.698216,駐日ウガンダ共和国大使館,アフリカ,ウガンダ共和国,
渋谷区,鉢山町,-,東京都渋谷区鉢山町12-9,35.651736,139.6967445,駐日ギニア共和国大使館,アフリカ,ギニア共和国,
港区,白金台５丁目,-,東京都港区白金台五丁目9-10,35.641377,139.720086,駐日ジンバブエ共和国大使館,アフリカ,ジンバブエ共和国,
港区,白金台４丁目,-,東京都港区白金台四丁目7-4 白金台STビル第401号室,35.638119,139.726089,駐日エリトリア国大使館,アフリカ,エリトリア国,
港区,白金４丁目,-,東京都港区白金四丁目14-12,35.640594,139.72743,駐日リベリア共和国大使館,アフリカ,リベリア共和国,
中央区,入船２丁目,-,東京都中央区入船二丁目7-4 政光ビル3階,35.671923,139.7779875,駐日サモア独立国大使館,大洋州,サモア独立国,
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1,35.681337,139.7738295,在東京ルクセンブルク大公国名誉総領事館,欧州,ルクセンブルク大公国,都内に大使館も領事館もある（住所は別）
千代田区,二番町,-,東京都千代田区二番町5-4,35.68509,139.7358945,駐日ベルギー王国大使館,欧州,ベルギー王国,都内に大使館も領事館もある（住所も同じ）
千代田区,二番町,-,東京都千代田区二番町5-4,35.68509,139.7358945,在東京ベルギー王国総領事館,欧州,ベルギー王国,都内に大使館も領事館もある（住所も同じ）
千代田区,二番町,-,東京都千代田区二番町3（駐日イスラエル大使館）,35.685846,139.73733,駐日イスラエル国大使館,中東,イスラエル国,
港区,南麻布５丁目,-,東京都港区南麻布五丁目9-12,35.653644,139.723605,駐日スイス大使館,欧州,スイス,
港区,南麻布５丁目,-,東京都港区南麻布五丁目12-2,35.652906,139.7236905,駐日ノルウェー王国大使館,欧州,ノルウェー王国,
港区,南麻布５丁目,-,東京都港区南麻布五丁目3-29 ガーデニアビル2階・3階,35.653554,139.7245005,駐日ボスニア・ヘルツェゴビナ大使館,欧州,ボスニア・ヘルツェゴビナ,
港区,南麻布４丁目,-,東京都港区南麻布四丁目6-17,35.650188,139.728069,駐日パキスタン・イスラム共和国大使館,アジア,パキスタン・イスラム共和国,
港区,南麻布４丁目,-,東京都港区南麻布四丁目5-10,35.65053,139.7247075,駐日ドイツ連邦共和国大使館,欧州,ドイツ連邦共和国,
港区,南麻布４丁目,-,東京都港区南麻布四丁目11-44,35.647218,139.7262375,駐日フランス大使館,欧州,フランス,
港区,南麻布３丁目,-,東京都港区南麻布三丁目6-3,35.649936,139.7289195,駐日コンゴ民主共和国大使館,アフリカ,コンゴ民主共和国,
港区,南麻布３丁目,-,東京都港区南麻布三丁目5-39,35.650188,139.7287305,駐日フィンランド大使館,欧州,フィンランド,
港区,南麻布３丁目,-,東京都港区南麻布三丁目13-9（駐日イラン大使館）,35.648064,139.731354,駐日イラン・イスラム共和国大使館,中東,イラン・イスラム共和国,
港区,南麻布１丁目,-,東京都港区南麻布一丁目2-5,35.651988,139.732794,駐日大韓民国大使館,アジア,大韓民国,
港区,南麻布１丁目,-,東京都港区南麻布1-25-20,35.650476,139.731813,在東京アイスランド共和国名誉総領事館,欧州,アイスランド共和国,都内に大使館も領事館もある（住所は別）
港区,南麻布１丁目,-,東京都港区南麻布1-26-15B,35.650242,139.7323845,在東京バルバドス名誉領事館,中南米,バルバドス,日本には領事館のみ
渋谷区,南平台町,-,東京都渋谷区南平台町20-16,35.652276,139.69548,駐日マレーシア大使館,アジア,マレーシア,
渋谷区,南平台町,-,東京都渋谷区南平台町9-10,35.653869,139.6965555,駐日アラブ首長国連邦大使館,中東,アラブ首長国連邦,
港区,南青山７丁目,-,東京都港区南青山七丁目14-12,35.656704,139.7173005,駐日スロベニア共和国大使館,欧州,スロベニア共和国,
港区,南青山５丁目,-,東京都港区南青山5丁目9-15 青山OHMOTOビル3F,35.662995,139.711365,在東京コモロ連合名誉領事館,アフリカ,コモロ連合,日本には領事館のみ
港区,南青山５丁目,-,東京都港区南青山五丁目4-30,35.662194,139.7142765,駐日モロッコ王国大使館,アフリカ,モロッコ王国,
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-2-1 日本プレスセンタービル2階,35.67096,139.754232,在東京モンテネグロ名誉領事館,欧州,モンテネグロ,日本には領事館のみ
港区,東麻布２丁目,-,東京都港区東麻布二丁目21-11,35.656569,139.7413575,駐日パラオ共和国大使館,大洋州,パラオ共和国,
港区,東麻布２丁目,-,東京都港区東麻布二丁目21-7 沙門ビル2階,35.656317,139.7416635,駐日パナマ共和国大使館,中南米,パナマ共和国,都内に大使館も領事館もある（住所も同じ）
港区,東麻布２丁目,-,東京都港区東麻布二丁目21-7 沙門ビル1階,35.656317,139.7416635,在東京パナマ共和国総領事館,中南米,パナマ共和国,都内に大使館も領事館もある（住所も同じ）
港区,東麻布１丁目,-,東京都港区東麻布一丁目28-4,35.655435,139.7439495,駐日キューバ共和国大使館,中南米,キューバ共和国,
渋谷区,東４丁目,-,東京都渋谷区東4-12-1,35.65476,139.7135115,在東京サントメ・プリンシペ民主共和国名誉領事館,アフリカ,サントメ・プリンシペ民主共和国,日本には領事館のみ
渋谷区,東２丁目,-,東京都渋谷区東二丁目6-14,35.653797,139.7102535,駐日トルクメニスタン大使館,欧州,トルクメニスタン,
中央区,築地６丁目,-,東京都中央区築地六丁目4-8 北國新聞ビル4階,35.664984,139.7725515,駐日アルバニア共和国大使館,欧州,アルバニア共和国,
渋谷区,大山町,-,東京都渋谷区大山町45-24,35.669106,139.6775655,駐日ブルキナファソ大使館,アフリカ,ブルキナファソ,
渋谷区,代々木５丁目,-,東京都渋谷区代々木五丁目36-3,35.673615,139.690494,駐日ブルガリア共和国大使館,欧州,ブルガリア共和国,
渋谷区,代官山町,-,東京都渋谷区代官山町10-14,35.650935,139.7046465,駐日リビア大使館,アフリカ,リビア,
港区,赤坂８丁目,赤坂,東京都港区赤坂八丁目6-9,35.671311,139.7287665,駐日カンボジア王国大使館,アジア,カンボジア王国,
港区,赤坂７丁目,赤坂,東京都港区赤坂七丁目5-47 U&M赤坂ビル3階,35.672103,139.7300085,駐日レソト王国大使館,アフリカ,レソト王国,
港区,赤坂７丁目,赤坂,東京都港区赤坂七丁目3-38,35.67285,139.7290275,駐日カナダ大使館,北米,カナダ,
港区,赤坂６丁目,赤坂,東京都港区赤坂六丁目19-45（駐日シリア大使館）,35.667684,139.733226,駐日シリア・アラブ共和国大使館,中東,シリア・アラブ共和国,
港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-52 パラッツオ赤坂201,35.670294,139.7387655,在東京シエラレオネ共和国名誉総領事館,アフリカ,シエラレオネ共和国,日本には領事館のみ
港区,赤坂２丁目,赤坂,東京都港区赤坂2-17-52 パラッツォ赤坂201,35.670294,139.7387655,在東京コソボ共和国名誉総領事館,欧州,コソボ共和国,都内に大使館も領事館もある（住所は別）
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目11-36 レジデンスバイカウンテス230号室,35.66871,139.741695,駐日アルメニア共和国大使館,欧州,アルメニア共和国,
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目11-36 レジデンスバイカウンテス220号室,35.66871,139.741695,駐日ジョージア大使館,欧州,ジョージア,
港区,赤坂１丁目,虎ノ門,東京都港区赤坂一丁目14-2 霊南坂ビル2階,35.66718,139.7418525,駐日ミクロネシア連邦大使館,大洋州,ミクロネシア連邦,
