指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,
年次,2019年,,,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000/list/#country:Japan、https://fortune.com/global500/2019/search/,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,Fortune,,,,,,
区,町丁,エリア,住所,緯度,経度,企業名,企業名（英語）,ランキング名,Rank,Sales,Profits,Assets,Market Value,Revenues ($M),Profits ($M),Assets ($M),Revenue Percent Change,Profits Percent Change,Employees,Change in Rank
港区,南青山２丁目,-,東京都港区南青山2-1-1,35.672292,139.7236905,本田技研工業株式会社,Honda Motor,Forbes,#76,$142.6 B,$6.6 B,$180.9 B,$50.5 B,,,,,,,
港区,芝浦１丁目,-,東京都港区芝浦1－1－1,35.650926,139.757346,コニカミノルタジャパン株式会社,Konica Minolta Business Solutions,Forbes,#1856,$9.6 B,$429 M,$11 B,$4.9 B,,,,,,,
港区,浜松町２丁目,-,東京都港区浜松町2丁目4番1号　世界貿易センタービル,35.655606,139.7561535,オリックス株式会社,Orix,Forbes,#315,$22.3 B,$2.7 B,$110.5 B,$18.3 B,,,,,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-8-1,35.664372,139.7621835,株式会社 電通,Dentsu,Forbes,#793,$9.2 B,$818 M,$33.2 B,$11.4 B,,,,,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋一丁目5番2号,35.665344,139.761,三井化学株式会社,Mitsui Chemicals,Forbes,#1295,$13.4 B,$621 M,$13.5 B,$4.9 B,,,,,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-5-2 汐留シティセンター,35.665344,139.761,富士通株式会社,Fujitsu,Forbes,#515,$36.1 B,$1.5 B,$27.3 B,$14.6 B,,,,,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-5-2 汐留シティセンター,35.665344,139.761,全日本空輸株式会社,All Nippon Airways,Forbes,#702,$18.6 B,$885 M,$23.6 B,$12 B,,,,,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1,35.663013,139.7612925,ソフトバンク株式会社,Softbank,Forbes,#36,$86.2 B,$13.9 B,$332.3 B,$112.4 B,,,,,,,
港区,芝浦１丁目,-,東京都港区芝浦一丁目1番1号,35.650926,139.757346,コスモエネルギーホールディングス株式会社,Cosmo Energy Holdings,Forbes,#1182,$25.3 B,$482 M,$16.2 B,$1.7 B,,,,,,,
港区,海岸１丁目,-,東京都港区海岸1丁目14-5,35.653284,139.7616975,川崎重工業株式会社,Kawasaki Heavy Industries,Forbes,#1476,$14.3 B,$233 M,$18.2 B,$4 B,,,,,,,
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1丁目9番3号,35.661663,139.7605455,日本通運株式会社,Nippon Express,Forbes,#1506,$19.2 B,$118 M,$14.3 B,$5.1 B,,,,,,,
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-2-1,35.66952,139.7456865,日本たばこ産業株式会社,Japan Tobacco,Forbes,#286,$20.1 B,$3.5 B,$49.8 B,$41.2 B,,,,,,,
港区,芝２丁目,-,東京都港区芝二丁目32番1号,35.65035,139.7496015,株式会社 長谷工コーポレーション,Haseko,Forbes,#1538,$8 B,$815 M,$6.6 B,$3.5 B,,,,,,,
港区,芝大門１丁目,-,東京都港区芝大門1-13-9,35.657226,139.753161,昭和電工株式会社,Showa Denko,Forbes,#1404,$9 B,$1 B,$9.8 B,$5.5 B,,,,,,,
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2丁目10番4号,35.667036,139.7454525,積水化学工業株式会社,Sekisui Chemical,Forbes,#1440,$10.4 B,$554 M,$9.3 B,$7.4 B,,,,,,,
港区,芝３丁目,-,東京都港区芝三丁目8番2号,35.652339,139.747365,東ソー株式会社,Tosoh,Forbes,#1637,$7.8 B,$690 M,$7.9 B,$5.2 B,,,,,,,
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2丁目1番1号,35.669808,139.7469015,株式会社 商船三井,Mitsui OSK Lines,Forbes,#1496,$12.3 B,$-512 M,$19.8 B,$2.9 B,,,,,,,
