指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,
年次,2019年,,,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000/list/#country:Japan、https://fortune.com/global500/2019/search/,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,Fortune,,,,,,
区,町丁,エリア,住所,緯度,経度,企業名,企業名（英語）,ランキング名,Rank,Sales,Profits,Assets,Market Value,Revenues ($M),Profits ($M),Assets ($M),Revenue Percent Change,Profits Percent Change,Employees,Change in Rank
港区,南青山２丁目,-,東京都港区南青山2-1-1,35.672292,139.7236905,本田技研工業株式会社,Honda Motor,Fortune,#34,,,,,143302.9,5504.6,184504.6,0.034,-0.424,219722,-4
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-5-2 汐留シティセンター,35.665344,139.761,富士通株式会社,Fujitsu,Fortune,#349,,,,,35647.9,943.1,28055,-0.036,-0.383,132138,-36
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋1-9-1,35.663013,139.7612925,ソフトバンク株式会社,SoftBank Group,Fortune,#98,,,,,86604.7,12727.9,326163.2,0.048,0.357,76866,-13
港区,赤坂８丁目,赤坂,東京都港区赤坂八丁目5番27号,35.671428,139.7272365,日鉄物産株式会社,Nippon Steel Corporation,Fortune,#186,,,,,55720.2,2265.3,72734.5,0.081,0.388,115878,12
港区,港南１丁目,-,東京都港区港南1-7-1,35.631045,139.743855,ソニー株式会社,Sony,Fortune,#116,,,,,78157.7,8264,189586.9,0.014,0.866,114400,-19
港区,芝浦３丁目,-,東京都港区芝浦三丁目1番21号,35.645265,139.749651,三菱自動車工業株式会社,Mitsubishi,Fortune,#33,,,,,145243.3,5328,149388.3,1.127,0.054,79994,96
港区,芝浦１丁目,-,東京都港区芝浦1-1-1,35.650926,139.757346,株式会社 東芝,Toshiba,Fortune,#371,,,,,33312.8,9138.8,38830.3,-0.065,0.259,128697,-45
港区,芝５丁目,-,東京都港区芝五丁目7番1号,35.649396,139.7479185,日本電気株式会社,NEC,Fortune,#470,,,,,26277,362.5,26661.6,0.024,-0.124,110595,-7
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-20-8 エビススバルビル,35.646804,139.713336,株式会社SUBARU,Subaru,Fortune,#440,,,,,28505.4,1333.1,26951.5,-0.073,-0.33,34200,-56
渋谷区,代々木２丁目,-,東京都渋谷区代々木二丁目2番2号,35.687376,139.700034,東日本旅客鉄道株式会社,East Japan Railway,Fortune,#458,,,,,27076.1,2662.6,75537,0.017,0.021,85718,-15
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-26-1,35.692722,139.696029,ＳＯＭＰＯホールディングス株式会社,Sompo Holdings,Fortune,#377,,,,,32857.4,1322.5,108595.4,-0.034,0.048,49837,-30
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-1-1,35.678979,139.762143,明治安田生命保険相互会社,Meiji Yasuda Life Insurance,Fortune,#324,,,,,37722.9,2070.6,380597.4,0.015,-0.134,42950,-15
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-2-1,35.683128,139.7632545,東京海上ホールディングス株式会社,Tokio Marine Holdings,Fortune,#224,,,,,49395.7,2476.5,203590.9,0.014,-0.034,40848,-15
千代田区,内幸町２丁目,-,東京都千代田区内幸町2丁目2番3号,35.670312,139.754313,ＪＦＥ（ジェイ エフ イー）ホールディングス株式会社,JFE Holdings,Fortune,#356,,,,,34937.4,1474.7,42551.7,0.067,0.673,62083,2
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目5番1号 大手町ファーストスクエア イーストタワー,35.685594,139.7637945,日本電信電話株式会社,Nippon Telegraph & Telephone,Fortune,#64,,,,,107146.9,7707.5,201456.1,0.006,-0.061,303351,-9
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1–5–5,35.685441,139.7653695,株式会社みずほフィナンシャルグループ ,Mizuho Financial Group,Fortune,#350,,,,,35406.3,870.9,1814332.9,0.102,-0.833,59132,17
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-1-1,35.684667,139.7615355,三菱ケミカル株式会社,Mitsubishi Chemical Holdings,Fortune,#351,,,,,35386.4,1529,50352.5,0.053,-0.2,72020,1
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-7-3,35.678574,139.7649105,三菱電機株式会社,Mitsubishi Electric,Fortune,#300,,,,,40766.1,2044.2,39362.2,0.019,-0.167,145817,-21
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目1番1号,35.676972,139.761324,出光興産株式会社,Idemitsu Kosan,Fortune,#354,,,,,35091,734.6,26116.4,0.185,-0.499,9476,44
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目2番3号,35.677989,139.761909,三菱重工業株式会社,Mitsubishi Heavy Industries,Fortune,#334,,,,,36783.5,914.1,46469,-0.003,-,80744,-23
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-13-1,35.675802,139.760982,第一生命保険株式会社,Dai-ichi Life Holdings,Fortune,#153,,,,,64794.9,2029.6,505478.1,0.02,-0.382,62938,-8
千代田区,内幸町１丁目,-,東京都千代田区内幸町1丁目1番3号,35.670078,139.7586555,東京電力ホールディングス株式会社,Tokyo Electric Power,Fortune,#178,,,,,57167.4,2096.1,115274.2,0.083,-0.27,41086,8
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目3番1号,35.688663,139.7628045,三井物産株式会社,Mitsui,Fortune,#157,,,,,62751.4,3735.9,107940.5,0.421,-0.011,43993,89
千代田区,大手町２丁目,大丸有,東京都千代田区大手町二丁目3番1号,35.686881,139.7669355,日本郵政,Japan Post Holdings,Fortune,#52,,,,,115220.5,4324,2585802,-0.012,0.04,245922,-7
千代田区,二番町,-,東京都千代田区二番町8番地8,35.685756,139.7340675,株式会社セブン＆アイ・ホールディングス,Seven & I Holdings,Fortune,#159,,,,,61486.5,1838,52069.2,0.134,0.13,58165,20
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目6番6号,35.6832,139.7657475,株式会社 日立製作所,Hitachi,Fortune,#102,,,,,85507.8,2007.2,86984.7,0.011,-0.387,295941,-23
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目1番2号,35.684982,139.7625255,三井住友フィナンシャルグループ,Sumitomo Mitsui Financial Group,Fortune,#209,,,,,51728,6554.1,1840238.1,-0.006,-0.011,86659,-17
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目1番2号,35.684982,139.7625255,株式会社三井住友銀行,Sumitomo,Fortune,#231,,,,,48155.7,2890.9,71532.7,0.105,0.038,65662,19
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内二丁目7番1号,35.678646,139.7643525,三菱UFJフィナンシャル・グループ,Mitsubishi UFJ Financial Group,Fortune,#166,,,,,60405.3,7871,2811411.4,0.103,-0.119,119390,11
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目1番2号,35.686071,139.762098,ＪＸＴＧホールディングス株式会社,JXTG Holdings,Fortune,#105,,,,,82733.3,2907.1,76604.4,0.08,-0.11,40695,-6
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3丁目10番10号,35.700363,139.750533,KDDI株式会社 ,KDDI,Fortune,#245,,,,,45820.8,5570.9,66236.7,0.007,0.078,41996,-9
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目7番1号　東京日本橋タワー,35.681913,139.774275,丸紅株式会社,Marubeni,Fortune,#147,,,,,66753.5,2082.5,61526,-0.019,0.092,46711,-17
中央区,新川２丁目,-,東京都中央区新川2丁目27番2号 東京住友ツインビルディング西館,35.674245,139.78431,MS&ADインシュアランス グループ ホールディングス株式会社,MS&AD Insurance Group Holdings,Fortune,#222,,,,,49609.6,1738,209022.7,0.053,0.25,41467,-1
中央区,京橋３丁目,日八京,東京都中央区京橋三丁目1番1号 ,35.676072,139.7687625,"	株式会社ブリヂストン",Bridgestone,Fortune,#374,,,,,33062.9,2641.7,35220.6,0.017,0.027,143509,-9
中央区,八重洲２丁目,日八京,東京都中央区八重洲二丁目7番15号,35.677206,139.7682045,株式会社メディパルホールディングス,Medipal Holdings,Fortune,#436,,,,,28698.5,309.9,14619.2,0.011,-0.013,15623,-18
