指標名,病院・診療所・クリニック,,,,,,
出典,病院なび,,,,,,
年次,2020/2/26取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
港区,六本木７丁目,六本木,東京都港区六本木7丁目15-14 塩業ビル4F,35.662482,139.729815,医療法人社団知泉会 鴨下眼科クリニック,眼科
港区,六本木７丁目,六本木,東京都港区六本木7丁目8-9,35.664777,139.730265,深作眼科 六本木院,眼科
港区,六本木７丁目,六本木,東京都港区六本木7丁目21-6,35.663283,139.728168,医療法人社団矯栄会 広瀬矯正歯科 六本木クリニック,矯正歯科
港区,六本木７丁目,六本木,東京都港区六本木7丁目14-7 トリニティビル5F,35.663463,139.73175,医療法人 アヴェニュー六本木クリニック,"形成外科, 皮膚科"
港区,六本木７丁目,六本木,東京都港区六本木7丁目14-8 アーツショップビル4階,35.663409,139.7317995,医療法人社団精密審美会 六本木河野歯科クリニック,歯科
港区,六本木７丁目,六本木,東京都港区六本木7丁目18-12 シーボンビュービル7階,35.662005,139.729014,六本木カマエデンタルオフィス,歯科
港区,六本木７丁目,六本木,東京都港区六本木7-12-2 森野ビル6階,35.664489,139.7305305,森野歯科医院,歯科
港区,六本木７丁目,六本木,東京都港区六本木7丁目3-12 六本木インターナシヨナルビルB1階,35.665938,139.728411,すが歯科クリニック,歯科
港区,六本木７丁目,六本木,東京都港区六本木7丁目11-18 サンフラット六本木101号,35.663211,139.728546,菊地歯科医院,歯科
港区,六本木７丁目,六本木,東京都港区六本木7丁目15-17 ユニ六本木4F,35.662293,139.729626,医療法人社団寿幸会 笠原歯科,"歯科, 矯正歯科"
港区,六本木７丁目,六本木,東京都港区六本木7丁目5-9 FLEG六本木PRIMOビル4階,35.665038,139.7281005,牧山清志オーラルクリニック,"歯科, 歯科口腔外科"
港区,六本木７丁目,六本木,東京都港区六本木7-15-10 クローバービル4F,35.66277,139.7306835,ピュアホワイト あおばデンタルクリニック,"歯科, 歯科口腔外科"
港区,六本木７丁目,六本木,東京都港区六本木7丁目18-5 ソフィア六本木1F,35.662014,139.728699,六本木歯科医院,"歯科, 小児歯科"
港区,六本木７丁目,六本木,東京都港区六本木7-7-13 アトラスタワー2F,35.664921,139.728528,さくら坂クリニック SophyAnce,心療内科
港区,六本木７丁目,六本木,東京都港区六本木7-15-17 ユニ六本木ビル9F,35.662293,139.729626,六本木メンタルクリニック,"心療内科, 精神科"
港区,六本木７丁目,六本木,東京都港区六本木7-15-17 ユニ六本木ビル6階E号,35.662293,139.729626,新六本木クリニック,"精神科, 内科"
港区,六本木７丁目,六本木,東京都港区六本木7丁目18-12 シーボンクイーンビル4階,35.662005,139.729014,医療法人社団えいこう会 赤須医院,内科
港区,六本木７丁目,六本木,東京都港区六本木7丁目14-8 アーツショップビル6F,35.663409,139.7317995,六本木内科・心療内科クリニック,"内科, 心療内科"
港区,六本木７丁目,六本木,東京都港区六本木7丁目15-10 クローバービル6F,35.66277,139.7306835,医療法人社団健徳会 わかばクリニック,皮膚科
港区,六本木７丁目,六本木,東京都港区六本木7丁目18-8 第3大栄ビル6F,35.662122,139.729275,医療法人社団青泉会 六本木今泉スキンクリニック,"美容皮膚科, 皮膚科"
港区,六本木７丁目,六本木,東京都港区六本木7丁目14-7 トリニティビル4階,35.663463,139.73175,アヴェニューウィメンズクリニック,婦人科
港区,六本木７丁目,六本木,東京都港区六本木7丁目8-4 銀嶺ビル4階,35.665119,139.7294505,OKUNO CLINIC.東京ミッドタウン前,放射線科
港区,六本木６丁目,六本木,東京都港区六本木6丁目10-1 六本木ヒルズウェストウォーク6階,35.66043,139.7292615,医療法人社団歯周会 六本木ヒルズ西堀歯科,歯科
港区,六本木６丁目,六本木,東京都港区六本木6丁目10-1 六本木ヒルズ森タワー6F,35.66043,139.7292615,医療法人社団ケアリージェンシー 六本木ヒルズクリニック,"内科, 心療内科, 精神科, 神経内科, 呼吸器科, 消化器科, 循環器科, 整形外科, 皮膚科, 泌尿器科, ...もっと見る"
港区,六本木６丁目,六本木,東京都港区六本木6丁目15-1 六本木ヒルズ けやき坂テラス5F,35.659026,139.728042,医療法人財団青輝会 アオハルクリニック,"皮膚科, 美容皮膚科"
港区,六本木６丁目,六本木,東京都港区六本木6丁目6-9 ピラミデ2階,35.661888,139.731462,聖心美容クリニック東京院,"形成外科, 美容外科, 皮膚科"
港区,六本木６丁目,六本木,東京都港区六本木6丁目7-9 川本ビル1階,35.662293,139.7323575,六本木川本歯科クリニック,歯科
港区,六本木６丁目,六本木,東京都港区六本木6丁目1-26 六本木天城ビル6F,35.662878,139.732083,アキバ歯科,"歯科, 矯正歯科"
港区,六本木６丁目,六本木,東京都港区六本木六丁目1-26 六本木アマンドビル9F,35.662878,139.732083,医療法人社団健誠会 国際歯科クリニック,"歯科, 矯正歯科, 歯科口腔外科"
港区,六本木６丁目,六本木,東京都港区六本木6丁目8-29 六本木シローマンション1F,35.660205,139.731966,野村歯科医院,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
港区,六本木６丁目,六本木,東京都港区六本木六丁目7-10 簗場ビル5F,35.662221,139.7325285,医療法人社団優愛歯会 六本木駅前歯科,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
港区,六本木６丁目,六本木,東京都港区六本木6丁目1-20 六本木電気ビル2F,35.662302,139.731309,あべ耳鼻咽喉科クリニック,耳鼻いんこう科
港区,六本木６丁目,六本木,東京都港区六本木6丁目1-8 六本木グリーンビル7階,35.662518,139.7321955,モーニングクリニック六本木内科耳鼻咽喉科OR,"消化器科, 眼科, 耳鼻いんこう科"
港区,六本木６丁目,六本木,東京都港区六本木6-1-20 六本木電気ビル4階,35.662302,139.731309,六本木駅前メンタルクリニック,"心療内科, 精神科"
港区,六本木６丁目,六本木,東京都港区六本木6丁目5-20 ATホームズ六本木1F,35.661816,139.730877,医療法人社団 那須整形外科医院,"整形外科, 形成外科, リハビリテーション科"
港区,六本木６丁目,六本木,東京都港区六本木6丁目1-26 六本木天城ビル3階,35.662878,139.732083,平石クリニック,"内科, アレルギー科, 消化器科"
港区,六本木６丁目,六本木,東京都港区六本木6-1-20 六本木電気ビル2階,35.662302,139.731309,六本木北浜診療所,"内科, 小児科, 皮膚科, 耳鼻いんこう科, 整形外科"
港区,六本木６丁目,六本木,東京都港区六本木6-7-10 簗場ビル B1階,35.662221,139.7325285,六本木ブレストレディースクリニック,"乳腺外科, 婦人科, 女性内科, 外科"
港区,六本木６丁目,六本木,東京都港区六本木6-1-26 六本木天城ビル7F,35.662878,139.732083,六本木EDクリニック,"皮膚科, 泌尿器科"
港区,六本木６丁目,六本木,東京都港区六本木6丁目1-20 六本木電気ビル2F,35.662302,139.731309,東京ウイメンズクリニック,婦人科
港区,六本木６丁目,六本木,東京都港区六本木6丁目1-8 グリーンビル8F,35.662518,139.7321955,ジェネラルクリニック,"婦人科, 内科, 皮膚科, 美容皮膚科"
港区,六本木５丁目,六本木,東京都港区六本木五丁目1-3 ゴトウビルディング1ST 9F,35.662779,139.7327535,上高井戸歯科六本木,歯科
港区,六本木５丁目,六本木,東京都港区六本木5丁目5-1 ミニヨンビル3階,35.66196,139.7346075,氏家歯科医院,歯科
港区,六本木５丁目,六本木,東京都港区六本木五丁目16-4 4F,35.661726,139.7356425,岸本クリニック,内科
港区,六本木５丁目,六本木,東京都港区六本木5丁目5-1 六本木ロアビル11F,35.66196,139.7346075,新赤坂クリニック,"内科, 消化器内科, 循環器内科, 血液内科, リウマチ科"
港区,六本木５丁目,六本木,東京都港区六本木五丁目17-16,35.66106,139.7364615,サフォクリニック,"内科, 美容外科, 皮膚科"
港区,六本木５丁目,六本木,東京都港区六本木5丁目1番4号 六和ビル5階,35.662716,139.732947,六本木皮膚科クリニック,"皮膚科, 美容皮膚科, アレルギー科"
港区,六本木４丁目,六本木,東京都港区六本木四丁目8-7 六本木嶋田ビル2F,35.663949,139.7330685,ソフィア歯列矯正歯科医院,矯正歯科
港区,六本木４丁目,六本木,東京都港区六本木4丁目10-11,35.663967,139.732047,ロイヤル歯科医院,歯科
港区,六本木４丁目,六本木,東京都港区六本木4丁目5-2 六本木Uビル4F,35.665074,139.7326365,医療法人社団中嶋 中嶋歯科医院,歯科
港区,六本木４丁目,六本木,東京都港区六本木4-5-7,35.664714,139.732875,松井歯科医院,"歯科, 小児歯科, 矯正歯科, 歯科口腔外科"
港区,六本木４丁目,六本木,東京都港区六本木4丁目12-11 竹岡ビル6階,35.664552,139.7314845,医療法人社団恩地会 恩地デンタルクリニック,"歯科, 小児歯科, 歯科口腔外科"
港区,六本木４丁目,六本木,東京都港区六本木4-12-4 アドバンテージ飯田ビル4階,35.664561,139.731777,飯田歯科医院,"歯科, 小児歯科, 歯科口腔外科"
港区,六本木４丁目,六本木,東京都港区六本木四丁目11-13 ランデイツク六本木ビル2階,35.664363,139.73175,医療法人財団額田会 中村クリニック,"内科, 外科, 消化器科"
港区,六本木４丁目,六本木,東京都港区六本木4-12-11 R.Takeoka Bldg. 4F,35.664552,139.7314845,アーバンライフクリニック 六本木,"皮膚科, 形成外科"
港区,六本木４丁目,六本木,東京都港区六本木4-9-5 ISOビル3F,35.663607,139.7325195,さとうクリニック,"皮膚科, 形成外科, アレルギー科, 内科, 美容外科, 美容皮膚科"
港区,六本木４丁目,六本木,東京都港区六本木4丁目10-4 ケーズミヤケビル2F,35.66394,139.7322135,ニュービューティクリニック,美容外科
港区,六本木４丁目,六本木,東京都港区六本木4丁目8-7 六本木嶋田ビル6F,35.663949,139.7330685,DR.アンディーズクリニック,"美容外科, 皮膚科"
港区,六本木４丁目,六本木,東京都港区六本木4-12-11 竹岡ビル5階,35.664552,139.7314845,六本木スキンクリニック,"美容皮膚科, 皮膚科, アレルギー科"
港区,六本木４丁目,六本木,東京都港区六本木4丁目12-8 第6DMJビル2階,35.664372,139.7313,医療法人社団美匠会 シエル美容クリニック,
港区,六本木３丁目,六本木,東京都港区六本木3丁目7-1 THE六本木東京207号,35.664147,139.734873,医療法人社団 六本木境クリニック,"形成外科, 美容外科"
