指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2019,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI2019データ、そのためホテル名や住所が英語表記,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
港区,六本木７丁目,六本木,"Roppongi 7-8-7, Minato-ku, Tokyo, 106-0032, Japan",35.665012,139.730072,PAL Roppongi Apartment,3,4,https://www.hotels.com/ho679749/
港区,六本木７丁目,六本木,"7-17-15 Roppongi, Minato-ku, Tokyo, Tokyo, 106-0032, Japan",35.662397,139.72952,ACT HOTEL ROPPONGI,2.5,68,https://www.hotels.com/ho696559488/
港区,六本木６丁目,六本木,"6-10-3 Roppongi, Minato-Ku, Tokyo, Tokyo-to, 160-0032, Japan",35.659747,139.727865,Grand Hyatt Tokyo,5,387,https://www.hotels.com/ho211493/
港区,六本木６丁目,六本木,"6-1-23 Roppongi, Minato-ku, Tokyo, Tokyo-to, 106-0032, Japan",35.662772,139.731639,Hotel Arca Torre Roppongi,3,76,https://www.hotels.com/ho336250/
港区,六本木６丁目,六本木,"6-7-8, Roppongi, Minato-ku, Tokyo, 106-0032, Japan",35.662454,139.732296,APA HOTEL ROPPONGI-EKIMAE,3,125,https://www.hotels.com/ho556763/
港区,六本木５丁目,六本木,"6-7-11 Roppongi, Minato-ku, Tokyo, Japan",35.662118,139.7328,Candeo Hotels Tokyo Roppongi,3.5,149,https://www.hotels.com/ho613167040/
港区,六本木４丁目,六本木,"7-14-4 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",35.664018,139.7315,remm Roppongi,3.5,400,https://www.hotels.com/ho627102/
港区,六本木４丁目,六本木,"4-1-26, Roppongi, Tokyo, Tokyo, 106-0032, Japan",35.66501,139.73474,The Wardrobe Hostel Roppongi,1,24,https://www.hotels.com/ho739501472/
港区,六本木３丁目,六本木,"3-9-8 Roppongi, Minato-ku, Tokyo, Tokyo-to, 106-0032, Japan",35.663734,139.733559,the b tokyo roppongi,3,114,https://www.hotels.com/ho221667/
港区,六本木３丁目,六本木,"3-10-1 Roppongi, Minato-ku, Tokyo, Tokyo, 106-0032, Japan",35.66326,139.73361,Sotetsu Fresa Inn Tokyo-Roppongi,3,201,https://www.hotels.com/ho699885/
港区,六本木３丁目,六本木,"3-15-17 Roppongi, Minato, Tokyo, Tokyo, 106-0032, Japan",35.662075,139.736111,Mitsui Garden Hotel Roppongi Tokyo Premier,3.5,257,https://www.hotels.com/ho1248736544/
港区,六本木２丁目,六本木,"2-3-9 Roppongi, Minato-ku, Tokyo, Tokyo-to, 106-0032, Japan",35.666353,139.737758,APA Hotel Roppongi Itchome Ekimae,3,142,https://www.hotels.com/ho403191/
港区,六本木２丁目,六本木,"2-4-13 Roppongi, Minato-ku, Tokyo, Tokyo-to, 106-0032, Japan",35.666105,139.736647,Palace Studio Roppongi East II,3,1,https://www.hotels.com/ho442105/
港区,六本木１丁目,虎ノ門,"1-6-2 Roppongi, Minato-ku, Tokyo, Tokyo-to, 106-0032, Japan",35.664366,139.738844,Hotel Villa Fontaine Tokyo-Roppongi,3.5,189,https://www.hotels.com/ho328307/
千代田区,有楽町２丁目,大丸有,"2-2-3 Yurakucho, Tokyo, Tokyo, 1000006, Japan",35.672775,139.761461,THE GATE HOTEL TOKYO by HULIC,3.5,164,https://www.hotels.com/ho940516352/
