指標名,国際会議,,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,,
年次,2018年,,,,,,,,,,,,
URL,https://mice.jnto.go.jp/documents/statistics.html,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,会場数（都心五区外含め）,期間,"参加国数
（日本含）",外国人参加者数,国内 参加者数,参加者総数
港区,六本木７丁目,六本木,"7-chōme-22-1 Roppongi, Minato City, Tōkyō-to 106-0032, Japan",35.6640667,139.7270857,政策研究大学院大学,政府に対する科学助言に関する国際ネットワーク第3回会合,1,"11/06～
11/07",54,180,100,280
港区,六本木７丁目,六本木,"7-chōme-22-1 Roppongi, Minato City, Tōkyō-to 106-0032, Japan",35.6640667,139.7270857,政策研究大学院大学,東京-モスクワ 国際医学フォーラム2018,1,"11/23～
11/25",6,50,200,250
港区,六本木７丁目,六本木,"7-chōme-22-34 Roppongi, Minato City, Tōkyō-to 106-0032, Japan",35.6653757,139.7251681,日本学術会議,第18回アジア学術会議（SCA）,1,"12/05～
12/07",15,85,115,200
港区,六本木６丁目,六本木,"6-chōme-10-3 Roppongi, Minato City, Tōkyō-to 106-0032, Japan",35.6598051,139.7284173,グランドハイアット東京,第15回BIOアジア国際会議,1,"03/19～
03/20",29,29,411,440
港区,六本木６丁目,六本木,"6-chōme-10-3 Roppongi, Minato City, Tōkyō-to 106-0032, Japan",35.6598051,139.7284173,グランドハイアット東京,第3回閣僚級世界患者安全サミット,1,"04/13～
04/14",44,185,303,488
千代田区,平河町２丁目,-,"2-chōme-3-20 Hirakawachō, Chiyoda City, Tōkyō-to 102-0093, Japan",35.681894,139.7404144,城西大学紀尾井町キャンパス,「V4＋日本」BREXITセミナー,1,"02/09～
02/09",5,30,50,80
千代田区,平河町２丁目,-,"2-chōme-4-1 Hirakawachō, Chiyoda City, Tōkyō-to 102-0093, Japan",35.6811408,139.7388277,都市センターホテル,IAFORグローバル・イノベーション＆バリュー・サミット（GIVS）,2,"10/05～
10/07",13,20,80,100
千代田区,富士見２丁目,-,"2-chōme-17-1 Fujimi, Chiyoda City, Tōkyō-to 102-8160, Japan",35.6957661,139.7415222,法政大学,江戸東京研究センター設立記念国際シンポジウム「新・江戸東京研究〜近代を相対化する都市の未来〜」,1,"02/25～
02/25",5,40,460,500
渋谷区,富ケ谷２丁目,-,"2 Chome-28-4 Tomigaya, Shibuya City, Tōkyō-to 151-8677, Japan",35.6644464,139.6845412,東海大学,"第8回Lux Pacifica(ルクスパシフィカ)
（カンファレンス）",1,"03/06～
03/08",11,28,88,116
港区,浜松町２丁目,-,"Japan, 〒105-6103 Tōkyō-to, Minato City, Hamamatsuchō, 2-chōme−4−１, World Trade Center Bldg., 3階",35.6561058,139.7566718,WTCコンファレンスセンター,ビジネス＆テクノロジー インサイトフォーラム東京2018（9月開催）,1,"09/12～
09/13",5,15,95,110
千代田区,飯田橋１丁目,-,"1-chōme-1-1 Iidabashi, Chiyoda City, Tōkyō-to 102-0072, Japan",35.6972333,139.7501197,ホテルグランドパレス,"第13回東アジア教員養成国際シンポジウム
「次世代育成教育に向けて」",3,"10/31～
11/02",4,57,50,107
中央区,日本橋兜町,-,"2-1 Nihonbashikabutochō, Chuo City, Tōkyō-to 103-8220, Japan",35.6826432,139.7787427,株式会社東京証券取引所,RIアジア・ジャパン2018（講演）,1,"04/10～
04/11",23,116,414,530
中央区,日本橋兜町,-,"2-1 Nihonbashikabutochō, Chuo City, Tōkyō-to 103-8220, Japan",35.6826432,139.7787427,株式会社東京証券取引所,サステナビリティ・ボンド（講演）,1,"04/12～
04/12",15,22,196,218
中央区,日本橋蛎殻町２丁目,-,"2-chōme-1-1 Nihonbashikakigarachō, Chuo City, Tōkyō-to 103-0014, Japan",35.6823199,139.7866324,ロイヤルパークホテル,第19回日本国際金融システムフォーラム 2018,1,"02/28～
02/28",3,28,374,402
千代田区,二番町,-,"5-25 Nibanchō, Chiyoda City, Tōkyō-to 102-0084, Japan",35.6855573,139.7360478,独立行政法人国際協力機構本部,第19回法整備支援連絡会,1,"01/19～
01/19",3,2,157,159
千代田区,内幸町２丁目,-,"Japan, 〒100-0011 Tōkyō-to, Chiyoda City, Uchisaiwaichō, 2-chōme−1−１ 飯野ビルディング",35.6709214,139.7526701,イイノホール,質の高いインフラの推進に関するセミナー,1,"04/12～
04/12",3,10,121,131
千代田区,内幸町２丁目,-,"Japan, 〒100-0011 Tōkyō-to, Chiyoda City, Uchisaiwaichō, 2-chōme−1−１ 飯野ビルディング",35.6709214,139.7526701,イイノホール,第12回化粧品規制協力国際会議（ICCR- 12）,1,"07/10～
07/12",11,40,30,70
千代田区,内幸町２丁目,-,"Japan, 〒100-0011 Tōkyō-to, Chiyoda City, Uchisaiwaichō, 2-chōme−1−１ 飯野ビルディング 4F～6F",35.6708929,139.7528449,イイノカンファレンスセンター,国際法模擬裁判「2018年アジア・カップ」,2,"08/28～
08/29",15,64,150,214
千代田区,内幸町１丁目,-,"1 Chome-1-1 Uchisaiwaichō, Chiyoda City, Tōkyō-to 100-8558, Japan",35.6724703,139.7575803,帝国ホテル,カンボジア投資フォーラム   「カンボジアの投資環境と投資機会」,1,"02/19～
02/19",3,11,200,211
千代田区,内幸町１丁目,-,"1 Chome-1-1 Uchisaiwaichō, Chiyoda City, Tōkyō-to 100-8558, Japan",35.6724703,139.7575803,帝国ホテル,ABAC （APECビジネス諮問委員会）第二回会議,1,"04/16～
04/19",21,150,50,200
千代田区,内幸町１丁目,-,"1 Chome-1-1 Uchisaiwaichō, Chiyoda City, Tōkyō-to 100-8558, Japan",35.6724703,139.7575803,帝国ホテル,第1回 持続可能な生産性サミット,1,"07/10～
07/10",22,60,140,200
中央区,築地５丁目,-,"Japan, 〒104-8011 Tōkyō-to, Chuo City, Tsukiji, 5-chōme−3−２ 朝日新聞東京本社 新館 2階",35.664004,139.765712,朝日ホール,化粧品規制に関する国際シンポジウム,1,"07/13～
07/13",11,30,570,600
中央区,築地５丁目,-,"5-chōme-1-1 Tsukiji, Chuo City, Tōkyō-to 104-0045, Japan",35.6655689,139.7677833,国立がん研究センター,ICRP-量研-放影研ワークショップ「電離放射線の個体応答」,1,"12/12～
12/12",7,8,73,81
千代田区,大手町１丁目,大丸有,"Japan, 〒100-0004 Tōkyō-to, Chiyoda City, Ōtemachi, 1-chōme−9−２ 3F",35.6884774,139.7647938,グローバルビジネスハブ東京,IAFORグローバル・イノベーション＆バリュー・サミット（GIVS）,2,"10/05～
10/07",13,20,80,100
千代田区,大手町１丁目,大丸有,"1-chōme-3-4 Ōtemachi, Chiyoda City, Tōkyō-to 100-8122, Japan",35.6896208,139.7617957,気象庁講堂,5回非静力学モデルに関する国際ワークショップ (NHM2018),1,"11/14～
11/16",8,20,100,120
港区,台場２丁目,-,"Japan, 〒135-0091 Tōkyō-to, Minato City, Daiba, 2-chōme−6, グランドニッコー東京台場",35.6251243,139.7711529,グランドニッコー東京台場,第47回日本IVR学会総会,1,"05/31～
06/02",20,200,1500,1700
港区,台場１丁目,-,"Hilton Tokyo Odaiba, 1-chōme-9 Daiba, Minato City, Tōkyō-to 135-0091, Japan",35.62609,139.7708,ヒルトン東京お台場,サステナブル・ブランド 国際会議2018,1,"03/01～
03/02",18,39,1607,1646
港区,台場１丁目,-,"Hilton Tokyo Odaiba, 1-chōme-9 Daiba, Minato City, Tōkyō-to 135-0091, Japan",35.62609,139.7708,ヒルトン東京お台場,国際捜索・救助諮問グループ（INSARAG)アジア太平洋地域会合,1,"08/30～
08/31",22,52,22,74
渋谷区,代々木神園町,-,"3-1 Yoyogikamizonochō, Shibuya City, Tōkyō-to 151-0052, Japan",35.6756251,139.6925538,国立オリンピック記念青少年総合センター,トライボロジー会議   2018春東京,1,"05/21～
05/23",7,12,815,827
渋谷区,代々木神園町,-,"3-1 Yoyogikamizonochō, Shibuya City, Tōkyō-to 151-0052, Japan",35.6756251,139.6925538,国立オリンピック記念青少年総合センター,第64回国際学生会議,1,"08/26～
09/03",24,31,33,64
港区,赤坂１丁目,虎ノ門,"Japan, 〒107-0052 Tōkyō-to, Minato City, Akasaka, 1-chōme−12−３２ アーク森ビル 7F",35.667086,139.739997,ジェトロ本部,西バルカンビジネスセミナー,1,"12/07～
12/07",7,7,122,129
新宿区,西新宿６丁目,-,"Japan, 〒160-0023 Tōkyō-to, Shinjuku City, Nishishinjuku, 6-chōme−6, ヒルトン東京（バス）（羽田空港線・下り）",35.6925157,139.6913643,ヒルトン東京,環太平洋パートナーシップ高級事務レベル会合,1,"01/22～
01/23",11,60,30,90
新宿区,西新宿６丁目,-,"Japan, 〒160-0023 Tōkyō-to, Shinjuku City, Nishishinjuku, 6-chōme−6, ヒルトン東京（バス）（羽田空港線・下り）",35.6925157,139.6913643,ヒルトン東京,IAAPAリーダーシップ会議2018,1,"03/06～
03/09",28,157,161,318
新宿区,西新宿３丁目,-,"3-7-1-2, ３丁目-７ 西新宿 新宿区 東京都 163-1055, Japan",35.6856006,139.6907125,パークハイアット東京,紛争解決委員連盟第18回年次国際会議及びワークショップ,1,"05/23～
05/25",70,100,34,134
新宿区,西新宿２丁目,-,"2-chōme-2-1 Nishishinjuku, Shinjuku City, Tōkyō-to 160-8330, Japan",35.6900509,139.6943636,京王プラザホテル,第1回、第2回Liquid Biopsy 研究会,1,"01/20～
01/21",3,2,291,293
新宿区,西新宿２丁目,-,"2-chōme-2-1 Nishishinjuku, Shinjuku City, Tōkyō-to 160-8330, Japan",35.6900509,139.6943636,京王プラザホテル,第61回日本手外科学会学術集会,1,"04/26～
04/27",5,10,1990,2000
新宿区,西新宿２丁目,-,"2-chōme-2-1 Nishishinjuku, Shinjuku City, Tōkyō-to 160-8330, Japan",35.6900509,139.6943636,京王プラザホテル,第3回日米爆傷フォーラム,1,"05/09～
05/11",6,40,67,107
新宿区,西新宿２丁目,-,"2-chōme-2-1 Nishishinjuku, Shinjuku City, Tōkyō-to 160-8330, Japan",35.6900509,139.6943636,京王プラザホテル,国際生産工学アカデミー第68回総会,2,"08/19～
08/25",35,493,139,632
新宿区,西新宿２丁目,-,"2-chōme-2-1 Nishishinjuku, Shinjuku City, Tōkyō-to 160-8330, Japan",35.6900509,139.6943636,京王プラザホテル,第24回国際喘息学会 (WCA2018),1,"10/03～
10/06",35,263,220,483
新宿区,西新宿２丁目,-,"Japan, 〒163-0247 Tōkyō-to, Shinjuku City, Nishishinjuku, 2-chōme−6−１ 新宿住友ビル47F",35.6912944,139.6926145,新宿住友スカイルーム,ISO/TC 20/SC 16 （会議）,1,"11/26～
11/29",8,55,32,87
新宿区,西新宿１丁目,-,"1-chōme-24-2 Nishishinjuku, Shinjuku City, Tōkyō-to 163-8677, Japan",35.6905062,139.6956855,工学院大学,講演と討論会「温室効果ガスの削減貢献量」,1,"02/09～
02/09",4,5,133,138
千代田区,神田須田町１丁目,-,"1-chōme-25 Kanda Sudachō, Chiyoda City, Tōkyō-to 101-0041, Japan",35.696827,139.770072,ステーションコンファレンス万世橋,第58回   IEC/TC9   総会,1,"11/19～
11/22",13,30,21,51
千代田区,神田駿河台４丁目,-,"4-chōme-6-番地 Kanda Surugadai, Chiyoda City, Tōkyō-to 101-0062, Japan",35.6987454,139.7664262,御茶ノ水ソラシティ   カンファレンスセンター,第33回 日本Shock学会総会,2,"06/29～
06/30",4,10,350,360
千代田区,神田駿河台１丁目,-,"1-chōme-1 Kanda Surugadai, Chiyoda City, Tōkyō-to 101-8301, Japan",35.6972422,139.7615346,明治大学,歴博国際シンポジウム「日本の古墳はなぜ巨大なのか？-古代モニュメントの比較考古学ー」,1,"11/17～
11/18",4,4,464,468
千代田区,神田錦町３丁目,-,"3-chōme-3-28 Kanda Nishikichō, Chiyoda City, Tōkyō-to 101-8459, Japan",35.6932869,139.7588867,学士会館,"第13回東アジア教員養成国際シンポジウム
「次世代育成教育に向けて」",3,"10/31～
11/02",4,57,50,107
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,学び改善のための持続可能かつ包摂的教育システムモデル（シンポジウム）,1,"01/09～
01/09",5,24,34,58
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,中国・韓国における化学物質管理政策最新動向セミナー,1,"01/23～
01/23",3,15,135,150
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,協働ギャザリング2018～環境×協働の未来を考える～ （ワークショップ）,1,"02/17～
02/17",3,8,72,80
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「2018年の人道優先課題：取り残された人ーにまず支援の手を」,1,"02/20～
02/20",5,18,161,179
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「環太平洋パートナーシップ協定（TPP）の復活」,1,"03/14～
03/14",5,46,68,114
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,ミャンマー投資環境フォーラム 新会社法を中心に,1,"03/16～
03/16",3,5,173,178
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「慈善団体の世界：効果的、効率的、そして野心的？」,1,"03/16～
03/16",5,46,68,114
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,UNEPフォーラム2018,1,"03/20～
03/20",3,15,143,158
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「中東紛争の根源：スンニ派とシーア派の分裂」,1,"03/22～
03/22",5,32,47,79
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「インド再考：複雑と混沌が支配する魅力的な国」,1,"03/27～
03/27",5,28,42,70
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「ISIL撤退後のイラク：慎重な楽観主義は妥当か」,1,"03/29～
03/29",5,16,62,78
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「飢饉との闘い：飢餓、栄養不良、死を防ぐために」,1,"04/18～
04/18",5,47,70,117
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「持続可能な開発は可能か」,1,"05/21～
05/21",5,127,190,317
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「サウジアラビアの変革と中東の地政学」,1,"05/23～
05/23",5,45,67,112
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,ASEFパブリックヘルスネットワーク10周年記念イベント「High-level Meeting – Universal Health Coverage as a tool to combat infectious diseases」,1,"05/30～
05/31",53,60,10,70
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「WIN-WINの解決は可能か。モデル国際モビリティ条約の入門編」,1,"05/31～
05/31",5,39,57,96
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「岐路に立つ人権：新たな課題への対応と過去の成果の持続」,1,"06/05～
06/05",5,38,55,93
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「国境と紛争を超えて：アフリカの過激主義に立ち向かう市民たち」,1,"06/08～
06/08",5,38,55,93
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国際サンゴ礁年2018記念セミナー「サンゴと共生する社会とは」,1,"06/20～
06/20",3,27,244,271
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「必要不可欠なつながり：科学を活用した持続可能な解決策による緊急政策課題への取り組み」,1,"07/05～
07/05",5,41,60,101
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,都市の脆弱性を考える： 気候変動とグローバル化の観点から（セミナー）,1,"07/06～
07/06",3,18,68,86
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「ロンドンからジュバへ：南スーダンにおける和平と平和維持の見通し」,1,"08/02～
08/02",5,40,58,98
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,第5回日中韓看護学会,1,"09/16～
09/18",3,162,165,327
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,サステイナビリティ研究が拓く持続可能な未来（セミナー）,1,"09/20～
09/20",3,24,96,120
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,国連大学対談シリーズ「適応の達人：アジア内外におけるインドの戦略地政学的な見通しと姿勢」,1,"10/04～
10/04",5,53,79,132
渋谷区,神宮前５丁目,-,"5-chōme-53-70 Jingūmae, Shibuya City, Tōkyō-to 150-8925, Japan",35.662312,139.7082801,国連大学,セミナー：「2050 年の世界」イニシアティブの展望,1,"10/09～
10/09",3,12,108,120
