指標名,インターナショナルスクール,,,,,,,
出典,PLAZA HOMES,,,,,,,
年次,2020/3/10取得,,,,,,,
URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools/,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象年齢
渋谷区,恵比寿３丁目,-,"東京都渋谷区恵比寿3-9-20, 恵比寿ガーデンイーストビル 2F",35.643996,139.715892,ペガサスインターナショナルスクール,Pegasus International School,共学15ヶ月 - 6歳
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-20-2 恵比寿ガーデンテラス弐番館1F,35.642286,139.714659,ポピンズアクティブラーニングインターナショナルスクール,Poppins Active Learning International School,共学11ヶ月 - 5歳（小学校前）
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-31-18,35.648181,139.705236,エリートオープンスクール,Elite Open School,共学5 - 12年生
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-16-12,35.648856,139.7071665,聖マリアン保育園,St. Marian Nursery School,共学生後45日 - 6歳
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南1-13-2,35.645625,139.7102625,プライムインターナショナルスクール,Prime International School,共学18ヶ月〜6歳
港区,元麻布２丁目,-,東京都港区元麻布2-11-8,35.655435,139.730796,ABCインターナショナルスクール,ABC International School,共学1歳 - 5歳
港区,元麻布２丁目,-,東京都港区元麻布2-12-14,35.654661,139.730832,J's インターナショナルスクール,J's International School,共学15ヶ月 - 6歳
港区,元麻布２丁目,-,東京都港区元麻布2-14-28,35.652393,139.7292975,ウィローブルック インターナショナルスクール,Willowbrook International School,共学15ヶ月 - 5歳
港区,元麻布２丁目,-,東京都港区元麻布2-13-8,35.653995,139.7308185,サマーヒルインターナショナルスクール,Summerhill International School,共学15ヶ月 - 6歳
港区,元麻布２丁目,-,東京都港区元麻布2-14-7,35.653563,139.7303055,西町インターナショナルスクール,Nishimachi International School,共学幼稚園 - 9年生
港区,元麻布３丁目,-,東京都港区元麻布3-12-36,35.656083,139.731183,オハナインターナショナルスクール,Ohana International School,共学18ヶ月 - 5歳
港区,元麻布３丁目,-,東京都港区元麻布3-1-23,35.657154,139.728843,チルドレンズハウス モンテソーリスクール,Children's House MONTESSORI SCHOOL,共学幼児クラス：12 - 36ケ月、プライマリーモンテソーリクラス：3 - 6歳、アフタースクール：6 - 12 歳
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-5-14,35.649297,139.7136645,セサミ・インターナショナル・プリスクール,Sesame International Preschool,共学1 - 6歳
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-3-1,35.651214,139.720455,聖心インターナショナルスクール,International School of the Sacred Heart (ISSH),女子校3 - 18歳
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-3-1,35.651214,139.720455,聖心インターナショナルスクール （幼稚園）,International School of the Sacred Heart ( Kindergarten ),共学3 - 5 歳
新宿区,高田馬場４丁目,-,東京都新宿区高田馬場4-41-1,35.709435,139.6949085,東京早稲田インターナショナルクリスチャンスクール,Tokyo Waseda International Christian School,共学小学部、中学部、高等部
