指標名,ナイトライフ施設,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,
年次,2020/2/20取得,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,
備考,,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,エリア,業種,ジャンル,電話番号,営業時間,定休日
港区,六本木７丁目,六本木,東京都港区六本木7-14-10 山室ビル2F,35.663319,139.731858,GERONIMO SHOT BAR,六本木,Bar ･ Nightclub ･ Party,80s ･ TOP40 ･ Dance ･ Disco ･ HipHop ･ Allmix,03-3478-7449,18:00-05:00,無休
港区,六本木７丁目,六本木,東京都港区六本木7-13-7 1F-B1F,35.664057,139.730616,V2 TOKYO,六本木,CLUB,Allmix ･ House ･ HipHop ･ Live ･ Electro ･ EDM ･ R&B,03-5474-0091,21:00-05:00,無休
港区,六本木７丁目,六本木,東京都港区六本木7-14-23 セントラル六本木1F,35.663589,139.731435,R2 SUPPERCLUB,六本木,ラウンジバー,Soul ･ Jazz ･ Electronic ･ Live ･ Funk ･ Lounge,03-6447-0002,"17:00-05:00 / 日 17:00-03:00
(ハッピーアワー 17:00-20:00)",無休
港区,六本木７丁目,六本木,東京都港区六本木7-8-6 AXALL ROPPONGI B1F,35.664903,139.7297925,SEL OCTAGON TOKYO,六本木,クラブ,EDM ･ Electro ･ Techno ･ House ･ TRAP ･ etc.,03-3405-0088,"木･金･土･祝前 22:00-05:00
月･火･水 ※バー営業",不定 (祝前日でない日曜日は休みとなる場合が多い)
港区,六本木７丁目,六本木,東京都港区六本木7-6-3 喜楽ビル201,35.664633,139.7285595,Funky D,六本木,バー,80s ･ 70s ･ Funk ･ Soul ･ R&B ･ House ･ HipHop,03-3403-5636,平日 20:00-24:00 / 週末 20:00-02:00,日-水 ･ 祝日 (祝前は営業の可能性あり)
港区,六本木７丁目,六本木,東京都港区六本木7-14-5 六本木大和ビル3F,35.663715,139.7314305,TOKYO R Bar&Cafe,六本木,バー,Lounge music ･ Disco ･ House ･ Techno ･ Electronic ･ Jazz ･ Others,03-6434-7325,17:00-03:00 / 週末: 17:00-05:00,日
港区,六本木７丁目,六本木,東京都港区六本木7-5-11 カサグランデミワ2F,35.664876,139.727826,R&B cafe Boo,六本木,カフェ ･ バー,BlackMusic,03-5770-6655,"ランチ 11:00-17:00
ディナー 18:00-23:00
ラウンジ 23:00-05:00 (日･祝 ～23:00)",火
港区,六本木７丁目,六本木,東京都港区六本木7-13-7 2F,35.664057,139.730616,VILLA TOKYO,六本木,CLUB,Allmix ･ EDM ･ House ･ etc.,03-5413-8077,21:00-05:00 変動の可能性あり,
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズウェストウォーク1F,35.66043,139.7292615,TUSK,六本木,バー,Allmix,03-3478-9991,"月-土 11:30-05:00
日･祝 11:30-24:00",無休
港区,六本木６丁目,六本木,東京都港区六本木6-1-3 六門ビル6F,35.662707,139.7323395,MAHARAJA,六本木,クラブ ･ ディスコ,Allmix ･ House ･ Disco ･ Dance ･ R&B ･ POPs,03-6804-1798,"月･火 19:00-24:00
水･木 19:00-02:00
金･土･祝前 19:00-05:00
日･祝 イベントにより変動
目安となります。事前にご確認下さい。",無休
港区,六本木６丁目,六本木,東京都港区六本木6-8-22 イケガミビル1F,35.659827,139.732281,THE PUBLIC SIX,六本木,バー,House ･ Allmix,03-5413-3182,17:00-05:00 / 日･祝 ～03:00,無し
