指標名,保育園,,,認可保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/shisetsuitiran.html,,,,
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,
年次,2020/3/11取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,
URL,複数あり、右に記載,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,
備考,,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,定員備考
港区,六本木６丁目,六本木,東京都港区六本木6-10-1  六本木ヒルズ  ウエストウォ-ク6F,35.66043,139.7292615,キッズスクウェア  六本木ヒルズ,認可外,45,
港区,六本木６丁目,六本木,東京都港区六本木6-7-6六本木アネックス4F,35.662185,139.731975,東京チルドレンズ・センター,認可外,10,
港区,六本木５丁目,六本木,東京都港区六本木５－１６－４６,35.661249,139.735035,麻布保育園,認可,154,
港区,六本木１丁目,虎ノ門,東京都港区六本木１－９－１０　アークヒルズ仙石山森タワー,35.663625,139.7418165,まちの保育園六本木,認可,70,
港区,六本木１丁目,虎ノ門,東京都港区六本木一丁目3-41,35.665875,139.7402325,グローバルキッズアークヒルズ園,認可外,26,
千代田区,六番町,-,東京都千代田区六番町５－１６,35.686908,139.7346975,グローバルキッズ六番町園,認可,60,
新宿区,矢来町,-,東京都新宿区矢来町９８－１　スキップビル１階,35.702289,139.73445,アスク神楽坂保育園,認可,79,
中央区,明石町,-,東京都中央区明石町１２－１,35.666622,139.776768,明石町保育園,認可,128,
中央区,明石町,-,東京都中央区明石町2-14,35.668593,139.7772225,聖路加国際病院  聖路加ナーサリー,認可外,53,
中央区,明石町,-,東京都中央区明石町７番１５号　ぱぱす明石町ビル２・３階,35.667702,139.7790855,ぽけっとランド明石町保育園,認可,91,
中央区,湊３丁目,-,東京都中央区湊3-12-11  マンション築地101,35.669295,139.779351,キッズルームひかり  新富町園,認可外,15,
港区,麻布台２丁目,-,東京都港区麻布台2-1-2,35.658702,139.740237,一般社団法人東京アメリカンクラブチャイルドケアセンター,認可外,21,
港区,麻布十番１丁目,-,東京都港区麻布十番１－１０－３　モンテプラザ２階,35.656236,139.736448,ニチイキッズさわやか白金高輪保育園,認証A,30,
渋谷区,本町６丁目,-,東京都渋谷区本町6-6-2,35.682174,139.679703,本町そよかぜこども園,認定こども園,121,
渋谷区,本町６丁目,-,東京都渋谷区本町6-16-4,35.682723,139.678002,コミュニティハウス保育室ポッポ,認証B,21,
渋谷区,本町５丁目,-,東京都渋谷区本町５－３５－１２,35.683218,139.676094,幡ヶ谷保育園,認可,92,
渋谷区,本町３丁目,-,東京都渋谷区本町3-38-10,35.688726,139.681242,本町きらきらこども園,認定こども園,123,
渋谷区,本町２丁目,-,東京都渋谷区本町2-6-14-2F,35.683155,139.68342,はぐあんどまみー,認可外,3,
渋谷区,本町２丁目,-,東京都渋谷区本町２－６－３　２階,35.682975,139.683366,あい・あい保育園初台本町園,認可,49,
渋谷区,本町１丁目,-,東京都渋谷区本町１－１９－３,35.679132,139.679793,グローバルキッズ幡ヶ谷園,認可,81,
渋谷区,本町１丁目,-,東京都渋谷区本町１－５－５,35.68122,139.6842255,本町第三保育園,認可,117,
新宿区,本塩町,-,東京都新宿区四谷本塩町４－８  パーシモンビルＢ１,35.688393,139.729473,ＫＩＤＳ  ＥＤＵ  インターナショナルプリスクール＆アカデミー,認可外,30,
新宿区,北町,-,東京都新宿区北町17,35.699274,139.7344365,新宿区立あいじつ子ども園,幼保連携型認定こども園,186,
港区,北青山３丁目,-,東京都港区北青山３－４－１４－１０１,35.668188,139.71402,青山保育園,認可,99,
港区,北青山２丁目,-,東京都港区北青山2-3-1,35.672058,139.719996,I-Kids,認可外,15,
新宿区,北新宿４丁目,-,東京都新宿区北新宿四丁目２１番１４号,35.707365,139.692096,東京母子愛育会保育園,認可,100,
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-20-2,35.70282,139.689324,新宿区立北新宿子ども園,認定こども園,116,
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-2-1レグノ・セレーノ１F,35.703045,139.694535,北新宿雲母保育園,認証A,40,
新宿区,北新宿３丁目,-,東京都新宿区北新宿３－９－２０,35.702163,139.692636,ほっぺるランド北新宿,認可,72,
新宿区,北新宿２丁目,-,東京都新宿区北新宿2‐3‐7,35.6985,139.6902465,新宿区立柏木子ども園,認定こども園,121,
新宿区,北新宿２丁目,-,東京都新宿区北新宿２－４－１１,35.699094,139.6897875,アスク北新宿保育園,認可,72,
新宿区,弁天町,-,東京都新宿区弁天町５０,35.703549,139.7268315,弁天町保育園,認可,148,
新宿区,払方町,-,東京都新宿区払方町１９－１　エムジー市ヶ谷ビル２階、３階,35.696628,139.734792,ポピンズナーサリースクール市ヶ谷,認可,80,
千代田区,富士見２丁目,-,東京都千代田区富士見2-14-23,35.696925,139.742379,NPO法人ひまわり育児室,認可外,26,
千代田区,富士見２丁目,-,東京都千代田区富士見２－１４－３６　富士見ウエスト２・３階,35.697411,139.743657,グローバルキッズ飯田橋園,認可,138,
千代田区,富士見２丁目,-,東京都千代田区富士見２－１４－３７,35.697258,139.743909,グローバルキッズ飯田橋こども園,認定こども園,137,
千代田区,富士見２丁目,-,東京都千代田区富士見町1-6-1富士見ビルB1,35.698125,139.7437259,ハイブリッドマムプリスクールナーサリー千代田富士見,認可外,40,
千代田区,富士見１丁目,-,東京都千代田区富士見１－１０－３,35.697231,139.7464335,ふじみこども園,認可,55,
新宿区,富久町,-,東京都新宿区富久町14-1,35.692497,139.7141235,富久ソラのこども園ちいさなうちゅう,認定こども園,244,
新宿区,富久町,-,東京都新宿区富久町13番1号ローレルコート新宿タワー2階,35.692299,139.714686,エデュケアセンター・新宿,認証A,22,
新宿区,富久町,-,東京都新宿区富久町２２－２１,35.694072,139.7156355,富久町保育園,認可,154,
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷２－３０－８,35.665209,139.6850715,富ヶ谷保育園,認可,94,
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷2-7-4リッチバレ-2F,35.665065,139.6875015,キラキラキッズナーサリー代々木園,認可外,41,
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷２－９－１３  ワイズファースト１ ０２,35.66466,139.686453,クレッシュ富ヶ谷,認可外,10,
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷１－３１－３,35.666082,139.688388,富ヶ谷ちとせ保育園,認可,79,
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ヶ谷1－5－3岸ビル2階,35.669547,139.690143,PRINCETON  ACADEMY INTERNATIONAL  SCHOOL,認可外,20,
港区,浜松町１丁目,-,東京都港区浜松町1-21-2  礎会館2階,35.657748,139.7572245,ひかるほし保育園,認可外,18,
港区,浜松町１丁目,-,東京都港区浜松町１－３－１,35.659863,139.7570445,小鳩ナーサリースクール浜離宮,認可,20,
港区,浜松町１丁目,-,東京都港区浜松町１－６－７,35.658792,139.7575665,神明保育園,認可,170,
新宿区,百人町３丁目,-,東京都新宿区百人町３－２１－１４,35.704989,139.699863,新栄保育園,認可,148,
新宿区,百人町２丁目,-,東京都新宿区百人町2-11-24,35.70192,139.6991385,愛嬰幼保学園新宿園,認可外,65,
新宿区,百人町２丁目,-,東京都新宿区百人町２－１８－２１,35.70327,139.698171,百人町保育園,認可,85,
新宿区,百人町２丁目,-,東京都新宿区百人町2-21-22,35.702721,139.6971765,ベビーサロン  きこり,認可外,8,
新宿区,百人町２丁目,-,東京都新宿区百人町２－２２－６,35.703378,139.697253,クオリスキッズおおくぼ保育園,認可,60,
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3-10-3,35.700039,139.750119,東京しごとセンター託児室,認可外,12,
中央区,八丁堀４丁目,-,東京都中央区八丁堀４－５－１０,35.673993,139.7758635,中央区立八丁堀保育園,認可,79,
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷3-31-3,35.67834,139.672107,ヤクルト幡ケ谷保育園,認可外,15,
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷３－４－１,35.679789,139.67595,幡ヶ谷第二保育園,認可,75,
渋谷区,幡ケ谷３丁目,-,東京都渋谷区幡ヶ谷3-49-1中幡小学校内,35.680752,139.673313,渋谷区立のぞみ保育室,認可外,33,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-17-15,35.677539,139.675257,カナリー保育園,認可外,29,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷２－４２－１５,35.678106,139.6743795,まなびの森保育園幡ヶ谷,認可,102,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷２－５６－６,35.67789,139.671621,幡ヶ谷第三保育園,認可,73,
