指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2019.html,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,
年次,2020/3/12取得,,,,,,,
URL,複数あり、右に記載,,,,,,,
備考,国立幼稚園～高校は都心五区に存在しない,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,公私,カテゴリ
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－２－１,35.693118,139.7576745,共立女子高等学校,私立,高等学校（全日制）
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－６－１,35.693721,139.756356,共立女子中学校,私立,中学校
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-6-14,35.694135,139.75677,(神田一橋・通信制）,公立,中学校
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋2-6-14,35.694135,139.75677,神田一橋,公立,中学校
千代田区,一番町,-,東京都千代田区一番町２２－１０,35.68797,139.738545,女子学院高等学校,私立,高等学校（全日制）
千代田区,一番町,-,東京都千代田区一番町２２－１０,35.68797,139.738545,女子学院中学校,私立,中学校
渋谷区,宇田川町,-,東京都渋谷区宇田川町5-1,35.663094,139.6975545,神南,公立,小学校
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-16-1,35.676045,139.739346,日比谷,公立,高等学校
渋谷区,円山町,-,東京都渋谷区円山町28-5,35.655732,139.6942605,山手調理製菓専門学校,私立,専修学校
渋谷区,猿楽町,-,東京都渋谷区猿楽町12-35,35.65107,139.7016765,猿楽,公立,小学校
渋谷区,鴬谷町,-,東京都渋谷区鶯谷町10-9,35.65215,139.7019915,鶯谷さくら幼稚園,私立,幼稚園
渋谷区,鴬谷町,-,東京都渋谷区鶯谷町7-9,35.654067,139.7014875,青山製図専門学校,私立,専修学校
渋谷区,鴬谷町,-,東京都渋谷区鶯谷町9-1,35.653302,139.703184,鉢山,公立,中学校
新宿区,下落合１丁目,-,東京都新宿区下落合1-1-6,35.715285,139.7037735,千駄ヶ谷日本語学校,私立,各種学校
新宿区,下落合１丁目,-,東京都新宿区下落合1-1-8,35.715492,139.704246,東京アニメーションカレッジ専門学校,私立,専修学校
新宿区,下落合１丁目,-,東京都新宿区下落合1-2-4,35.715663,139.7038545,東京美容専門学校,私立,専修学校
新宿区,下落合２丁目,-,東京都新宿区下落合2-15-11,35.719218,139.7037915,目白ケ丘幼稚園,私立,幼稚園
