指標名,スタートアップ企業,,,,,,,,,,
出典,INITIAL,,,,,,,,,,
年次,2019/12/2取得,,,,,,,,,,
URL,https://initial.inc/,,,,,,,,,,
備考,JPC2020データ,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,企業名,業種,事業内容,設立日,詳細URL,調査状況
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル,35.66205,139.7284875,CAPS株式会社,医療・ヘルスケア ICT,ITを活用したフィットネスクラブの運営、セルフメディケーショ...,2014/12/25,https://initial.inc/companies/A-16866,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-15-7 新六本木ビル5F,35.663085,139.731021,株式会社ライバー,ビジネスサービス,「ライブ配信」に特化した営業企画力とキャスティング力、制作能...,2015/4/2,https://initial.inc/companies/A-28791,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-8-6 AXALL ROPPONGI 6・7F,35.664903,139.7297925,株式会社フィルダクト,ビジネスサービス,3Dプリンターを活用した、リーズナブルな透明マウスピース型歯...,2018/3/1,https://initial.inc/companies/A-34306,未評価(会社登録のみ)
港区,六本木７丁目,六本木,東京都港区六本木7-7-7 トライセブンロッポンギ8F,35.665155,139.7292075,株式会社ハヤルカ,金融・保険・不動産,飲食に特化したクラウドファンディングプラットフォーム「HAY...,2018/1/22,https://initial.inc/companies/A-33878,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-18-18 住友不動産六本木通ビル2F,35.66205,139.7284875,株式会社Selan,消費者向けサービス・販売,幼少期に海外経験があり、バイリンガル教育を受けてきた学生が、...,2015/8/20,https://initial.inc/companies/A-28308,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-14-23 ラウンドクロス六本木4F,35.663589,139.731435,株式会社エブリー,消費者向けサービス・販売,広告主とのコラボレーション動画であるブランドコンテンツを提供...,2015/9/1,https://initial.inc/companies/A-25946,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-3-24 goodoffice六本木A-4,35.665965,139.7278485,LENDY株式会社,金融・保険・不動産 ICT,中小企業や個人事業主向けのオンライン融資サービス「LENDY...,2016/7/11,https://initial.inc/companies/A-26426,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-3-12 六本木インターナショナルビル5B,35.665938,139.728411,株式会社Popshoot,コンピューター - ソフトウェア,決済機能を備えた個人間のお金のやりとりをメモして請求するアプ...,2015/10/15,https://initial.inc/companies/A-17073,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-15-7 新六本木ビル803（SENQ六本木）,35.663085,139.731021,株式会社前人未到,ビジネスサービス,非大卒者特化型キャリア支援サービス「サムライキャリア」を提供,2018/8/3,https://initial.inc/companies/A-33802,調査継続
港区,六本木７丁目,六本木,東京都港区六本木７-18-18 住友不動産六本木通ビル2階,35.66205,139.7284875,SEIMEI株式会社,金融・保険・不動産 ICT,生命保険代理店向け業務情報検索・閲覧のための音声辞書ツール「...,2017/5/1,https://initial.inc/companies/A-31242,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-2-29 VORT乃木坂1F,35.666352,139.7262465,キャリア美人株式会社,コンピューター - ITサービス,新卒で総合職を希望する女性の為の就活用WEBサービス「就活美...,2014/3/10,https://initial.inc/companies/A-33297,未評価(会社登録のみ)
港区,六本木７丁目,六本木,東京都港区六本木7-4-8 ウインドビル2F,35.665182,139.728231,株式会社CINC,コンピューター - ソフトウェア,デジタルマーケティング総合情報メディア「Marketing ...,2014/4/1,https://initial.inc/companies/A-16707,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-3-25 エグゼクティブアパートメント201,35.66583,139.727601,Activ8株式会社,コンピューター - ITサービス,「キズナアイ」をはじめとするバーチャルYouTuber事業の...,2016/9/5,https://initial.inc/companies/A-30836,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-15-7 新六本木ビル（SENQ六本木703）,35.663085,139.731021,株式会社オルツ,コンピューター - ソフトウェア,人工知能の学習に必要な大規模な演算処理能力の確保を可能にする...,2014/11/26,https://initial.inc/companies/A-16472,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-3-24 B-1/B-2,35.665965,139.7278485,ブレイカー株式会社,ビジネスサービス,音楽・ファッション等の映像コンテンツを複数集め、YouTub...,2013/8/23,https://initial.inc/companies/A-12584,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-8-6 AXALL ROPPONGI 7階,35.664903,139.7297925,株式会社Gloture,消費者向けサービス・販売,世界中のクラウドファンディング市場から高い評価を受けたプロダ...,2015/4/27,https://initial.inc/companies/A-32672,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-7-7 Tri-Seven Roppongi 8F,35.665101,139.7286315,ティエムファクトリ株式会社,産業・エネルギー,機能性材料を用いた製品の研究開発、製造販売 京都大学と共同で...,2012/11/2,https://initial.inc/companies/A-26108,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-17-33,35.663067,139.7292255,AHR JAPAN株式会社,ビジネスサービス,人材採用サービスの提供、日本語教育事業,2016/4/18,https://initial.inc/companies/A-28363,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-5-6 Kcテラス3F 303,35.66511,139.727745,イントロダクション株式会社,消費者向けサービス・販売,LIVE動画の企画制作 SNSを中心とした様々な映像配信プラ...,2017/8/2,https://initial.inc/companies/A-28724,未評価(会社登録のみ)
港区,六本木７丁目,六本木,東京都港区六本木7-7-7 Tri-Seven Roppongi8F,35.665101,139.7286315,株式会社ケイファーマ,医療・ヘルスケア,再生医療等製品の研究・開発・製造・販売 医薬品の研究・開発・...,2016/11/1,https://initial.inc/companies/A-30428,調査継続
港区,六本木７丁目,六本木,東京都港区六本木7-6-15,35.664129,139.7280195,TXP Medical株式会社,医療・ヘルスケア ICT,救急外来・ER診療に特化したUIを備えた多職種連携と診療情報...,2017/9/5,https://initial.inc/companies/A-29752,未評価(会社登録のみ)
港区,六本木７丁目,六本木,東京都港区六本木7-21-17 東豊エステート 802,35.662941,139.72725,ヴィタネット・ジャパン株式会社,コンピューター - ソフトウェア,個人向けデバイスやゲートウェイによるM2Mからクラウドまでを...,2016/1/15,https://initial.inc/companies/A-29325,未評価(会社登録のみ)
