指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2020/3/11取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数は基本的に1事業者1駅1データ。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数,駅コード（路線別）,駅コード（路線不問）
港区,六本木７丁目,六本木,東京都港区六本木６-１-２５,35.662836,139.731443,六本木,東京メトロ日比谷線,東京メトロ,"134,902",2800318,2800318
港区,六本木４丁目,六本木,東京都港区六本木４-１１-９,35.663921,139.731567,六本木,都営大江戸線,東京都交通局,"100,587",9930124,2800318
港区,六本木１丁目,虎ノ門,東京都港区六本木１-４-５,35.665595,139.739,六本木一丁目,東京メトロ南北線,東京メトロ,"82,823",2800915,2800915
新宿区,揚場町,-,東京都新宿区揚場町１-２０,35.701934,139.743669,飯田橋,東京メトロ有楽町線,東京メトロ,-,2800613,1131316
新宿区,揚場町,-,東京都新宿区揚場町１-２０,35.701934,139.743669,飯田橋,東京メトロ南北線,東京メトロ,-,2800910,1131316
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-９-１２,35.675441,139.763806,有楽町,JR山手線,JR東日本,"339,100",1130225,1130225
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-９-１２,35.675441,139.763806,有楽町,JR京浜東北線,JR東日本,-,1133223,1130225
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-１１-１,35.675714,139.763265,有楽町,東京メトロ有楽町線,東京メトロ,"174,378",2800618,1130225
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-５-２,35.67459,139.76017,日比谷,東京メトロ日比谷線,東京メトロ,"105,614",2800315,2800315
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-５-１,35.674241,139.758732,日比谷,東京メトロ千代田線,東京メトロ,-,2800512,2800315
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-９-２,35.676036,139.759998,日比谷,都営三田線,東京都交通局,"86,185",9930308,2800315
新宿区,矢来町,-,東京都新宿区矢来町１１３-３,35.70379,139.734546,神楽坂,東京メトロ東西線,東京メトロ,"41,257",2800405,2800405
港区,麻布十番４丁目,-,東京都港区麻布十番４-１-７,35.654682,139.737051,麻布十番,東京メトロ南北線,東京メトロ,"49,467",2800916,2800916
港区,麻布十番１丁目,-,東京都港区麻布十番１-３-７,35.656503,139.736116,麻布十番,都営大江戸線,東京都交通局,"38,261",9930123,2800916
渋谷区,本町１丁目,-,東京都渋谷区本町１-１-１６,35.68123,139.686354,初台,京王新線,京王電鉄,"64,347",2400702,2400102
港区,北青山３丁目,-,東京都港区北青山３-５-２２,35.665247,139.712314,表参道,東京メトロ銀座線,東京メトロ,"182,125",2800118,2800118
港区,北青山３丁目,-,東京都港区北青山３-５-２２,35.665247,139.712314,表参道,東京メトロ千代田線,東京メトロ,-,2800517,2800118
港区,北青山３丁目,-,東京都港区北青山３-５-２２,35.665247,139.712314,表参道,東京メトロ半蔵門線,東京メトロ,-,2800802,2800118
港区,北青山１丁目,-,東京都港区北青山１-２-６,35.672765,139.724159,青山一丁目,東京メトロ銀座線,東京メトロ,"117,633",2800116,2800116
港区,北青山１丁目,-,東京都港区北青山１-２-６,35.672765,139.724159,青山一丁目,東京メトロ半蔵門線,東京メトロ,-,2800803,2800116
港区,北青山１丁目,-,東京都港区北青山１-２-６,35.672929,139.72396,青山一丁目,都営大江戸線,東京都交通局,"77,999",9930125,2800116
渋谷区,富ケ谷１丁目,-,東京都渋谷区富ケ谷１-３-８,35.669187,139.689099,代々木公園,東京メトロ千代田線,東京メトロ,"28,031",2800519,2500104
港区,浜松町２丁目,-,東京都港区浜松町２-４-１２,35.655666,139.756747,モノレール浜松町,東京モノレール羽田空港線,東京モノレール,"114,939",9933601,1130227
新宿区,百人町１丁目,-,東京都新宿区百人町１-１０-１１,35.700875,139.700261,新大久保,JR山手線,JR東日本,"87,858",1130209,1130209
新宿区,百人町１丁目,-,東京都新宿区百人町１-２２-１６,35.700784,139.69732,大久保,JR中央・総武緩行線,JR東日本,"52,840",1131309,1131309
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋４-１０-３,35.701835,139.745143,飯田橋,JR中央・総武緩行線,JR東日本,"187,924",1131316,1131316
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋３-６-８,35.701725,139.745986,飯田橋,東京メトロ東西線,東京メトロ,"195,294",2800406,1131316
中央区,八丁堀３丁目,-,東京都中央区八丁堀３-２２-１０,35.674851,139.776982,八丁堀,東京メトロ日比谷線,東京メトロ,"111,924",2800311,1132602
中央区,八丁堀３丁目,-,東京都中央区八丁堀３-２５-１０,35.674617,139.777705,八丁堀,JR京葉線,JR東日本,"66,344",1132602,1132602
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ケ谷２-１４-１９,35.677061,139.676183,幡ヶ谷,京王新線,京王電鉄,"32,314",2400703,2400103
港区,白金台４丁目,-,東京都港区白金台４-７-６,35.637917,139.726133,白金台,東京メトロ南北線,東京メトロ,"18,193",2800918,2800918
港区,白金台４丁目,-,東京都港区白金台４-７-６,35.637917,139.726133,白金台,都営三田線,東京都交通局,-,9930302,2800918
港区,白金台２丁目,-,東京都港区白金台２-２６-１０,35.631679,139.730305,高輪台,都営浅草線,東京都交通局,"14,822",9930206,9930206
中央区,日本橋浜町２丁目,-,東京都中央区日本橋浜町２-４１-６,35.688516,139.788154,浜町,都営新宿線,東京都交通局,"22,335",9930410,9930410
中央区,日本橋馬喰町１丁目,-,東京都中央区日本橋馬喰町１-６-７,35.693365,139.78238,馬喰町,JR総武本線,JR東日本,"50,550",1131403,1131403
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町１-１９-５,35.686307,139.782285,人形町,東京メトロ日比谷線,東京メトロ,"82,583",2800309,2800309
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町１-１９-５,35.686307,139.782285,人形町,都営浅草線,東京都交通局,"52,172",9930214,2800309
中央区,日本橋小伝馬町,-,東京都中央区日本橋小伝馬町１２-４,35.690737,139.778433,小伝馬町,東京メトロ日比谷線,東京メトロ,"39,847",2800308,2800308
中央区,日本橋室町４丁目,日八京,東京都中央区日本橋室町４-４-１,35.688687,139.77323,新日本橋,JR総武本線,JR東日本,"36,614",1131402,1131402
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町２-４-２,35.687101,139.773594,三越前,東京メトロ銀座線,東京メトロ,"129,691",2800108,1131402
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町１-２-３,35.684908,139.773147,三越前,東京メトロ半蔵門線,東京メトロ,-,2800809,1131402
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１-１１-２,35.679752,139.780005,茅場町,東京メトロ日比谷線,東京メトロ,"129,847",2800310,2800310
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１-１１-２,35.679752,139.780005,茅場町,東京メトロ東西線,東京メトロ,-,2800411,2800310
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町１-３７-７,35.682683,139.785377,水天宮前,東京メトロ半蔵門線,東京メトロ,"78,360",2800810,2800810
中央区,日本橋横山町,-,東京都中央区日本橋横山町４-１１,35.69212,139.782768,馬喰横山,都営新宿線,東京都交通局,"115,517",9930409,1131403
中央区,日本橋２丁目,日八京,東京都中央区日本橋２-７-２５,35.682078,139.773516,日本橋,東京メトロ銀座線,東京メトロ,"189,764",2800109,2800109
中央区,日本橋２丁目,日八京,東京都中央区日本橋２-７-２５,35.682078,139.773516,日本橋,東京メトロ東西線,東京メトロ,-,2800410,2800109
中央区,日本橋２丁目,日八京,東京都中央区日本橋２-８-２,35.681688,139.775721,日本橋,都営浅草線,東京都交通局,"96,939",9930213,2800109
港区,南麻布５丁目,-,東京都港区南麻布５-１０-２２,35.652279,139.722202,広尾,東京メトロ日比谷線,東京メトロ,"63,049",2800319,2800319
港区,南青山２丁目,-,東京都港区南青山２-２４-１２,35.670527,139.717857,外苑前,東京メトロ銀座線,東京メトロ,"82,616",2800117,2800117
港区,南青山１丁目,-,東京都港区南青山１-２５-８,35.666572,139.726215,乃木坂,東京メトロ千代田線,東京メトロ,"42,733",2800516,2800516
新宿区,南元町,-,東京都新宿区信濃町２３-６,35.680031,139.720729,信濃町,JR中央・総武緩行線,JR東日本,"50,682",1131313,1131313
千代田区,内幸町１丁目,-,東京都千代田区内幸町１-３-１,35.66975,139.75561,内幸町,都営三田線,東京都交通局,"45,317",9930307,9930307
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂２-１-１,35.659066,139.701,渋谷,東京メトロ銀座線,東京メトロ,"224,784",2800119,1130205
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂２-１-１,35.659066,139.701,渋谷,東京メトロ半蔵門線,東京メトロ,-,2800801,1130205
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂１-１-１,35.6587,139.700872,渋谷,京王井の頭線,京王電鉄,"360,845",2400601,1130205
港区,東麻布１丁目,-,東京都港区東麻布１-３０-１０,35.655007,139.743642,赤羽橋,都営大江戸線,東京都交通局,"40,429",9930122,9930122
中央区,東日本橋３丁目,-,東京都中央区東日本橋３-１１-９,35.692126,139.784821,東日本橋,都営浅草線,東京都交通局,"83,290",9930215,1131403
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１-１-１１,35.665503,139.759644,新橋,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"64,852",9931101,1130102
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１-７-１,35.662871,139.759985,汐留,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"9,045",9931102,9930120
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１-６-３,35.663703,139.760642,汐留,都営大江戸線,東京都交通局,"54,276",9930120,9930120
新宿区,中落合１丁目,-,東京都新宿区中落合１-１９-３,35.715106,139.686967,中井,西武新宿線,西武鉄道,"29,104",2200704,2200704
中央区,築地５丁目,-,東京都中央区築地５-３-１,35.664895,139.766915,築地市場,都営大江戸線,東京都交通局,"32,729",9930119,9930119
中央区,築地２丁目,-,東京都中央区築地２-１１-１１,35.668115,139.772603,築地,東京メトロ日比谷線,東京メトロ,"77,498",2800312,2800312
中央区,築地２丁目,-,東京都中央区築地２-１-４,35.670462,139.773711,新富町,東京メトロ有楽町線,東京メトロ,"41,479",2800620,2800620
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２-１３-６,35.691173,139.770641,神田,JR山手線,JR東日本,"202,680",1130223,1130223
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２-１３-６,35.691173,139.770641,神田,JR中央線(快速),JR東日本,-,1131202,1130223
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２-１３-６,35.691173,139.770641,神田,JR京浜東北線,JR東日本,-,1133221,1130223
新宿区,箪笥町,-,東京都新宿区箪笥町１-２,35.700851,139.735802,牛込神楽坂,都営大江戸線,東京都交通局,"14,841",9930106,9930106
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２-１-２,35.686564,139.7662,大手町,東京メトロ丸ノ内線,東京メトロ,"338,955",2800208,2800208
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２-１-１,35.684801,139.766086,大手町,東京メトロ東西線,東京メトロ,-,2800409,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１-６-３,35.686154,139.763399,大手町,東京メトロ千代田線,東京メトロ,-,2800510,2800208
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１-６-１,35.68686,139.764107,大手町,東京メトロ半蔵門線,東京メトロ,-,2800808,2800208
新宿区,大久保３丁目,-,東京都新宿区大久保３-１４-１,35.708242,139.709101,西早稲田,東京メトロ副都心線,東京メトロ,"38,739",2801011,2801011
港区,台場１丁目,-,東京都港区台場１-５-７,35.629813,139.778607,お台場海浜公園,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"16,944",9931106,9931106
港区,台場１丁目,-,東京都港区台場１-９-１,35.625908,139.771435,台場,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,"23,436",9931107,9931107
