指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2020/2/26取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
新宿区,愛宕１丁目,虎ノ門,東京都新宿区西新宿8-5-10 新宿グロウビル,35.665929,139.749471,まいばすけっと 西新宿8丁目店
新宿区,愛宕２丁目,虎ノ門,東京都新宿区西早稲田1-9-22 ワセダハウス,35.662149,139.748931,まいばすけっと 西早稲田1丁目店
港区,宇田川町,-,東京都港区東麻布1-9-15 東麻布1丁目ビル,35.663607,139.698657,maruetsu(マルエツ) プチ 東麻布店
港区,宇田川町,-,東京都港区白金台(有料)5-2-25,35.663607,139.698657,maruetsu(マルエツ) プチ 白金台(有料)プラチナ通り店
新宿区,宇田川町,-,東京都新宿区上落合3丁目5-16,35.662239,139.6967895,スーパーみらべる中井店
中央区,猿楽町,-,東京都中央区月島3-4-5-101,35.651502,139.703355,ダイエー月島店
千代田区,下宮比町,-,東京都千代田区外神田2-14-10 第二電波ビル 1F,35.702928,139.7434995,ピーコックストア 神田妻恋坂店
渋谷区,歌舞伎町１丁目,-,東京都渋谷区代官山町17-6 代官山アドレス・ディセ 1F,35.69517,139.702509,ピーコックストア 代官山店
港区,歌舞伎町１丁目,-,東京都港区芝2-29-12 トーホー東京芝ビル,35.69379756,139.7034401,まいばすけっと 三田駅東店
新宿区,歌舞伎町２丁目,-,東京都新宿区下落合3-14-21,35.695467,139.703103,ピーコックストア 目白店
渋谷区,霞が関３丁目,虎ノ門広域,東京都渋谷区代々木4-5-7 参宮橋ビル内,35.671266,139.74714,まいばすけっと 参宮橋駅前店
新宿区,海岸１丁目,-,東京都新宿区西早稲田3-20-2 mh西早稲田,35.65701,139.7585475,まいばすけっと 西早稲田3丁目店
新宿区,海岸１丁目,-,東京都新宿区高田馬場1-2-15 早稲田永谷マンション1F,35.65557,139.761432,まいばすけっと 西早稲田駅前店
港区,海岸１丁目,-,東京都港区西麻布3-3-23 フィルドア西麻布,35.65545362,139.7613673,まいばすけっと 西麻布3丁目店
港区,海岸１丁目,-,東京都港区西麻布3-13-14,35.654679,139.762107,まいばすけっと 西麻布店
新宿区,海岸１丁目,-,東京都新宿区西落合2-7-16 プルミエ内,35.653761,139.7623005,まいばすけっと 西落合2丁目店
港区,海岸１丁目,-,東京都港区南青山1-3-2 青山1丁目タワー 1F,35.656794,139.7593305,まいばすけっと 青山一丁目店
渋谷区,海岸１丁目,-,東京都渋谷区千駄ヶ谷3-23-5 第8FMGビル,35.653401,139.757814,まいばすけっと 千駄ヶ谷3丁目店
新宿区,海岸２丁目,-,東京都新宿区早稲田鶴巻町564 ハウゼタカスギ,35.650125,139.760154,まいばすけっと 早稲田鶴巻町店
渋谷区,海岸３丁目,-,東京都渋谷区代々木2-27-16 ハイシティ代々木,35.64027,139.7555685,まいばすけっと 代々木2丁目店
渋谷区,海岸３丁目,-,東京都渋谷区元代々木町5-5 宇佐見ビル,35.640684,139.7547855,まいばすけっと 代々木八幡駅西店
港区,海岸３丁目,-,東京都港区台場1-1-3 都営台場1丁目アパート,35.64468,139.756554,まいばすけっと 台場1丁目店
新宿区,海岸３丁目,-,東京都新宿区百人町2-27-7 ハンドレットサーカス イーストタワー 1F,35.641584,139.754187,まいばすけっと 大久保店
中央区,海岸３丁目,-,東京都中央区築地2-11-9 築地MTビル内,35.643114,139.7564235,まいばすけっと 築地2丁目店
新宿区,海岸３丁目,-,東京都新宿区東五軒町6-31 ライオンズマンション飯田橋,35.642628,139.7562885,まいばすけっと 東五軒町店
新宿区,海岸３丁目,-,東京都新宿区大久保2-6-10 新宿第2アルプスマンション,35.641611,139.757112,まいばすけっと 東新宿駅北店
港区,海岸３丁目,-,東京都港区東麻布1-8-1 東麻布ISビル,35.636364,139.752459,まいばすけっと 東麻布1丁目店
港区,海岸３丁目,-,東京都港区東麻布2-22-5 ベルス麻布,35.638299,139.753287,まいばすけっと 東麻布2丁目店
新宿区,外神田１丁目,-,東京都新宿区山吹町333 江戸川橋アクセス,35.69844014,139.7708969,まいばすけっと 山吹町店
新宿区,外神田２丁目,-,東京都新宿区四谷2-8 新一ビル,35.700039,139.7687985,まいばすけっと 四谷2丁目店
新宿区,外神田３丁目,-,東京都新宿区市谷薬王寺町59 レジディア市谷薬王寺,35.700156,139.7703105,まいばすけっと 市谷薬王寺町店
渋谷区,丸の内１丁目,大丸有,東京都渋谷区代々木1-9-6,35.682813,139.7701395,mini(ミニ)ピアゴ 代々木1丁目店
新宿区,丸の内１丁目,大丸有,東京都新宿区百人町1-11-1,35.682813,139.7701395,mini(ミニ)ピアゴ 百人町1丁目店
渋谷区,丸の内１丁目,大丸有,東京都渋谷区広尾5-1-32,35.681427,139.7689425,miniピアゴ 広尾5丁目店
中央区,丸の内１丁目,大丸有,東京都中央区新川2-21-10,35.681427,139.7689425,miniピアゴ 新川2丁目店
港区,丸の内１丁目,大丸有,東京都港区芝2-12-16 Ocean 1st,35.68353224,139.7651258,まいばすけっと 芝2丁目店
港区,丸の内１丁目,大丸有,東京都港区芝4-10-3 住友生命三田ビル,35.68131,139.768749,まいばすけっと 芝4丁目店
港区,丸の内２丁目,大丸有,東京都港区北青山3-11-7 AoビルB1F,35.681067,139.762566,KINOKUNIYA INTERNATIONAL(紀ノ国屋インターナショナル)
渋谷区,丸の内２丁目,大丸有,東京都渋谷区千駄ヶ谷5-24-2 新宿タカシマヤ B1 食料品フロア,35.681067,139.762566,KINOKUNIYA 新宿高島屋店
中央区,丸の内２丁目,大丸有,東京都中央区入船1-4-10,35.678979,139.762143,miniピアゴ 入船1丁目店
渋谷区,丸の内２丁目,大丸有,東京都渋谷区千駄ヶ谷5丁目22-3,35.678979,139.762143,miniピアゴ代々木駅東口店
港区,丸の内３丁目,大丸有,東京都港区東新橋2丁目8-5,35.676972,139.761324,miniピアゴ東新橋2丁目店
中央区,丸の内３丁目,大丸有,東京都中央区入船3丁目5-10,35.676972,139.761324,miniピアゴ入船3丁目店
港区,丸の内３丁目,大丸有,東京都港区芝5-16-2 芝田町ビル,35.67689025,139.7635104,まいばすけっと 芝5丁目店
港区,丸の内３丁目,大丸有,東京都港区芝浦1-7-14 岡家寿ビル,35.67689025,139.7635104,まいばすけっと 芝浦1丁目店
渋谷区,岩本町２丁目,-,東京都渋谷区本町2-4-12 アルファサイト,35.694189,139.7755035,まいばすけっと 渋谷本町2丁目店
港区,京橋２丁目,日八京,東京都港区北青山3-6-12 地下鉄表参道駅,35.677341,139.769505,OMO KINOKUNIYA エチカ表参道店
渋谷区,京橋２丁目,日八京,東京都渋谷区広尾5-17-10 East Westビル1階,35.677341,139.769505,Picard(ピカール) 広尾店
新宿区,銀座１丁目,-,東京都新宿区百人町2-26-9 三浦ビル,35.674065,139.770522,まいばすけっと 新宿百人町2丁目店
新宿区,銀座４丁目,-,東京都新宿区百人町3-21-11 グリーンコープ,35.670258,139.768128,まいばすけっと 新宿百人町3丁目店
中央区,銀座５丁目,-,東京都中央区新川2-1-5 THE WALL,35.668296,139.7667645,まいばすけっと 新川2丁目店
新宿区,銀座７丁目,-,東京都新宿区百人町1-10-7 一番街ビル,35.666595,139.76523,まいばすけっと 新大久保駅南店
渋谷区,九段南１丁目,-,東京都渋谷区本町6-18-6 レジデンス初台,35.693973,139.7535165,まいばすけっと 渋谷本町6丁目店
渋谷区,九段北１丁目,-,東京都渋谷区本町1-7-16 初台ハイツ,35.69652,139.7520855,まいばすけっと 初台駅西店
渋谷区,恵比寿３丁目,-,東京都渋谷区幡ヶ谷1-3-1,35.64387,139.720653,ダイエー幡ケ谷店
港区,恵比寿南３丁目,-,東京都港区麻布十番2-5,35.645913,139.706406,ダイエー麻布十番店
港区,元赤坂１丁目,赤坂,東京都港区南麻布2-11-10 OJビル内,35.677791,139.7350125,まいばすけっと 南麻布古川橋店
中央区,元赤坂１丁目,赤坂,東京都中央区日本橋横山町1-3 OKK日本橋ビル,35.676945,139.734126,まいばすけっと 日本橋横山町店
中央区,元麻布２丁目,-,東京都中央区日本橋蛎殻町1-37-12 パークアクシス日本橋ステージ,35.654454,139.7263005,まいばすけっと 日本橋蛎殻町店
