指標名,食べログアワード受賞レストラン,,,,,,,,,,,,
出典,The Tabelog Award 2020,,,,,,,,,,,,
年次,2020年,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,
備考,一部レストランは食べログに住所掲載ないため手作業で住所入力,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,アワード追加,星数,夜予算,昼予算,URL
港区,六本木７丁目,六本木,東京都港区六本木7-10-3 小林ビル 2F,35.664651,139.729077,ブーケ・ド・フランス,フレンチ,Bronze,-,3.85,"￥15,000～￥19,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13002082/
港区,六本木７丁目,六本木,東京都港区六本木7-17-16 米久ビル １Ｆ,35.662356,139.7293425,鮨 なかむら,寿司,Bronze,-,3.86,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13003314/
港区,六本木７丁目,六本木,東京都港区六本木7-9-9 リッモーネ六本木1階,35.664426,139.7299455,ル スプートニク,フレンチ,Bronze,-,3.93,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13184105/
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ けやき坂通り 3F,35.66043,139.7292615,すきやばし 次郎 六本木ヒルズ店,寿司,Bronze,-,3.95,"￥30,000～￥39,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1303/A130302/13004426/
港区,六本木６丁目,六本木,東京都港区六本木6-12-2 六本木ヒルズ レジデンスB棟 3F,35.658783,139.729239,茶寮 宮坂,日本料理,Bronze,-,4.05,"￥15,000～￥19,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1303/A130302/13216329/
港区,六本木６丁目,六本木,東京都港区六本木6-12-3 六本木ヒルズけやき坂通り 六本木ヒルズレジデンスＣ棟 3F,35.658783,139.7300715,la Brianza,イタリアン,Bronze,-,4.06,"￥8,000～￥9,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1303/A130302/13194346/
港区,六本木４丁目,六本木,東京都港区六本木4-2-35 アーバンスタイル六本木 B1F,35.664795,139.733298,レストラン リューズ,フレンチ,Bronze,-,4.1,"￥20,000～￥29,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13122126/
港区,六本木４丁目,六本木,東京都港区六本木4-5-11 ランド六本木ビル B1,35.664768,139.7324295,鮨 由う,寿司,Bronze,-,3.99,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13201640/
港区,六本木３丁目,六本木,東京都港区六本木3-1-1 六本木ティーキューブ1F,35.665551,139.7381715,エディション・コウジ シモムラ,フレンチ,Bronze,-,3.89,"￥20,000～￥29,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130302/13042074/
港区,六本木３丁目,六本木,東京都港区六本木3-8-7 PALビル 1F,35.663148,139.734531,虎峰,中華料理,Silver,-,4.36,"￥20,000～￥29,999",-,https://tabelog.com/tokyo/A1303/A130302/13194122/
