指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2020/3/9取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
新宿区,愛住町,-,東京都新宿区愛住町10,35.689725,139.718979,正応寺,寺院
新宿区,愛住町,-,東京都新宿区愛住町10-3,35.690013,139.719096,法雲寺,寺院
新宿区,愛住町,-,東京都新宿区愛住町19-16,35.691399,139.7190645,お茶の水教会,教会
新宿区,愛住町,-,東京都新宿区愛住町21,35.691075,139.7203335,曹洞宗 養国寺,寺院
新宿区,愛住町,-,東京都新宿区愛住町9-3,35.689077,139.7190375,安禅寺,寺院
港区,愛宕１丁目,虎ノ門,東京都港区愛宕1-3-8,35.665785,139.7492685,真福寺,寺院
港区,愛宕１丁目,虎ノ門,東京都港区愛宕1-5-3,35.664984,139.748499,愛宕神社,神社
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2丁目4-7,35.663238,139.7484765,青松寺,寺院
港区,愛宕２丁目,虎ノ門,東京都港区愛宕2丁目8-7,35.662455,139.747626,考寿院,寺院
渋谷区,宇田川町,-,東京都渋谷区宇田川町19-5,35.661438,139.6995615,日本基督教団 東京山手教会,教会
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-10,35.674551,139.7401785,山王稲荷神社,神社
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-10-5,35.674407,139.739715,日枝神社,神社
新宿区,榎町,-,東京都新宿区榎町53,35.703891,139.7286225,大願寺,寺院
新宿区,榎町,-,東京都新宿区榎町56,35.7054039,139.7279698,稲荷神社,神社
新宿区,榎町,-,東京都新宿区榎町57,35.704287,139.729068,宗柏寺,寺院
新宿区,榎町,-,東京都新宿区榎町77,35.705862,139.7277675,済松寺,寺院
新宿区,横寺町,-,東京都新宿区横寺町20,35.701974,139.7349135,長源寺,寺院
渋谷区,鴬谷町,-,東京都渋谷区鶯谷町10-15,35.653077,139.702536,乗泉寺,寺院
新宿区,下落合１丁目,-,東京都新宿区下落合1-3-3,35.715195,139.7026395,国際福音キリスト教会中央チャペル,教会
新宿区,下落合２丁目,-,東京都新宿区下落合2-10-5,35.717796,139.701996,稲荷神社,神社
新宿区,下落合２丁目,-,東京都新宿区下落合2-13-3,35.717463,139.7042145,東京シティチャーチ,教会
新宿区,下落合２丁目,-,東京都新宿区下落合2丁目15-11,35.719218,139.7037915,日本バプテストキリスト教目白ヶ丘教会,教会
新宿区,下落合２丁目,-,東京都新宿区下落合2丁目7-12,35.716716,139.69935,氷川神社,神社
新宿区,下落合３丁目,-,東京都新宿区下落合3-19-4,35.722926,139.7032785,日本聖公会東京教区 目白聖公会,教会
新宿区,下落合３丁目,-,東京都新宿区下落合3丁目14-25,35.722134,139.7005515,日本基督教団 目白教会,教会
新宿区,下落合４丁目,-,東京都新宿区下落合4丁目8-2,35.717967,139.697586,薬王院,寺院
新宿区,歌舞伎町１丁目,-,東京都新宿区坂町22,35.69379756,139.7034401,桝箕稲荷神社,神社
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-17-5,35.697879,139.705299,稲荷鬼王神社,神社
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-19-11,35.698032,139.7042775,日本基督教団 新宿西教会,教会
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2-41-12,35.697906,139.7023785,観音寺,寺院
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2丁目2-19,35.695818,139.706757,純福音東京教会,教会
新宿区,歌舞伎町２丁目,-,東京都新宿区歌舞伎町2丁目42-13,35.697879,139.7016495,大光寺,寺院
新宿区,河田町,-,東京都新宿区河田町2-5,35.696916,139.722804,月桂寺,寺院
新宿区,改代町,-,東京都新宿区改代町11,35.707149,139.733478,田中寺,寺院
新宿区,改代町,-,東京都新宿区改代町9,35.706798,139.7335005,伝久寺,寺院
千代田区,外神田１丁目,-,東京都千代田区外神田1-6-1 外神田ビル,35.699544,139.769316,秋葉原神社,神社
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.702046,139.767939,神田神社(神田明神),寺院
千代田区,外神田２丁目,-,東京都千代田区外神田2丁目16-2,35.702046,139.767939,神田祭,寺院
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-10,35.701056,139.77036,真理舎,教会
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-10,35.701056,139.77036,神田寺,寺院
千代田区,外神田３丁目,-,東京都千代田区外神田3-5-11,35.701902,139.770261,神田キリスト教会,教会
千代田区,外神田５丁目,-,東京都千代田区外神田5丁目5-3,35.704089,139.772709,天理教 分教会 東神長,教会
新宿区,岩戸町,-,東京都新宿区岩戸町14-2,35.701083,139.7369835,稲荷神社,神社
新宿区,岩戸町,-,東京都新宿区岩戸町8,35.701974,139.7364705,法正寺,寺院
新宿区,喜久井町,-,東京都新宿区喜久井町20,35.703486,139.72185,金光教 早稲田教会,教会
新宿区,喜久井町,-,東京都新宿区喜久井町20,35.703486,139.72185,池立神社,神社
新宿区,喜久井町,-,東京都新宿区喜久井町39,35.703576,139.721094,感通寺,寺院
新宿区,喜久井町,-,東京都新宿区喜久井町46,35.704575,139.7201805,来迎寺,寺院
新宿区,喜久井町,-,東京都新宿区喜久井町61,35.704827,139.719483,誓閑寺,寺院
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町7-1,35.683362,139.73202,S.J.ハウス・イエズス会修道院,教会
中央区,銀座１丁目,-,東京都中央区銀座1-14-10,35.672913,139.769505,五法院,教会
中央区,銀座２丁目,-,東京都中央区銀座2-8-7,35.67285,139.7679885,金光教 銀座教会,教会
中央区,銀座３丁目,-,東京都中央区銀座3-8-10,35.671293,139.7672235,朝日稲荷神社,神社
中央区,銀座４丁目,-,東京都中央区銀座4-11-7 第二上原ビル3F,35.669826,139.7687535,手紙寺・證大寺 銀座道場,寺院
中央区,銀座４丁目,-,東京都中央区銀座4-5-1,35.672139,139.765428,東京福音センター,教会
