指標名,ホール・劇場,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,
年次,平成31年3月,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,
備考,野外会場も含む,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯
港区,六本木７丁目,六本木,東京都港区六本木7-14-23 　セントラム六本木ビルB1F,35.663589,139.731435,ｎｉｃｏｆａｒｒｅ,03-3478-3750,http://nicofarre.jp/,,,,,,,,,,
港区,六本木７丁目,六本木,東京都港区六本木7-22-1,35.663832,139.7272365,政策研究大学院大学　想海樓ホール,03-6439-6022,http://www.grips.ac.jp/jp/about/campus/,300,300,オープン形式,シューボックス形式,ロールバックチェア、可動席（スタッキングチェア）（可動席（ワンタッチ上下式並列脚））,映像上映会（試写会など）、講演会,講演会,利用条件を設定している（市・区での活動団体等）,国際機関、国の機関、地方公共団体、教育研究団体、日本学術会議協力学術団体、公益法人その他これに準ずる団体（宗教法人及び政党、政治団体を除く）、その他学長が適切であると認める団体,08:00～21:00
港区,六本木６丁目,六本木,東京都港区六本木6-1-8　グリーンビル 5F,35.662518,139.7321955,JAZZ RESTAURANT SATIN DOLL,03-3401-3080,http://www.leglant.com/satindoll/,,,,,,,,,,
港区,六本木６丁目,六本木,東京都港区六本木６丁目４－１,35.661339,139.7301345,六本木ヒルズ　ハリウッドビューティプラザ〔ハリウッドホール〕,03-3408-5020,https://www.hollywood.ac.jp/hall/,1200,1200,オープン形式,シューボックス形式,可動席（スタッキングチェア）,クラシック、演劇、ミュージカル、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、展示会、その他1（ヘアコンテスト）、その他2（撮影）,クラシック、演劇、ミュージカル、映像上映会（試写会など）、講演会、展示会、その他1（ヘアコンテスト）,一般に貸出している,,09:00～21:00
港区,六本木６丁目,六本木,東京都港区六本木6-10-1,35.66043,139.7292615,【野外】六本木ヒルズアリーナ,03-6406-6611,http://www.roppongihills.com/facilities/arena/,,,,,,,,不明,,07:00～23:00
港区,六本木５丁目,六本木,東京都港区六本木5-11-12,35.659341,139.7332485,Zeppブルーシアター六本木,03-5414-3255,http://www.blue-theater.jp/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5‐11‐16 　国際文化会館,35.658441,139.7334555,国際文化会館 岩崎小彌太記念ホール〔岩崎小彌太記念ホール〕,03-3470-4616,https://www.i-house.or.jp/facilities/banquet/hall/,180,180,,シューボックス形式,可動席（スタッキングチェア）,クラシック、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、オペラ、ダンス・パフォーマンス、映像上映会（試写会など）、講演会、展示会、その他1（パーティー）,クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、能・狂言、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、バレエ、オペラ、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会、その他1（パーティー）,一般に貸出している,,-
港区,六本木５丁目,六本木,東京都港区六本木5-16-45,35.660682,139.7350845,港区立麻布区民センター〔区民ホール〕,03-3583-5487,http://www.azabu-civiccenter.jp/shisetsu/list_1.html,237,237,プロセニアム形式,シューボックス形式,ロールバックチェア,,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、日本の伝統音楽（邦楽等）、世界の民族音楽、お笑い・寄席・演芸、ダンス・パフォーマンス、合唱、映像上映会（試写会など）、講演会、展示会,利用条件を設定している（市・区での活動団体等）,利用登録団体（個人）に限定。,09:00～21:30
港区,六本木５丁目,六本木,東京都港区六本木5-18-2 　大昌第二ビルB1F,35.661213,139.737258,六本木ＶＡＲＩＴ．,03-6441-0825,http://www.r-varit.net/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5-18-21 　FIVE PLAZA B2F,35.660943,139.73697,六本木ＣＬＵＢ ＥＤＧＥ,03-3505-4561,http://www.club-edge.net/,,,,,,ポップス、クラシック、演歌・歌謡曲、ジャズ、演劇、ミュージカル、歌舞伎、お笑い・寄席・演芸、ダンス・パフォーマンス、合唱、講演会,,一般に貸出している,,
港区,六本木５丁目,六本木,東京都港区六本木5-3-1 　第二レーヌビルB1F,35.662077,139.7332755,六本木ケントス,03-3401-5755,http://www.kentos-roppongi.jp/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5-3-4 　レーヌビル2F,35.661969,139.7335545,六本木ＢＡＵＨＡＵＳ,03-3403-0092,http://www.e-bauhaus.jp/,,,,,,,,,,
港区,六本木５丁目,六本木,東京都港区六本木5-5-1　 ロアビル13F,35.66196,139.7346075,V2TOKYO,03-5474-0091,http://www.v2tokyo.com/,,,,,,,,,,
港区,六本木４丁目,六本木,東京都港区六本木4-11-11 　六本木GMビルB1F,35.664237,139.731525,ｍｏｒｐｈ－ｔｏｋｙｏ,03-5414-2683,http://www.morph-tokyo.com/,,,,,,,,,,
港区,六本木４丁目,六本木,東京都港区六本木4-11-5 　六本木ビル アネックスB1F,35.664138,139.731921,ＡＢＢＥＹ ＲＯＡＤ,03-3402-0017,http://www.abbeyroad.ne.jp/,,,,,,,,,,
港区,六本木４丁目,六本木,東京都港区六本木4-9-2,35.66376,139.7325195,俳優座劇場,03-3470-2880,http://www.haiyuzagekijou.co.jp/,300,,プロセニアム形式,シューボックス形式,固定席,演劇,演劇,,,
港区,六本木３丁目,六本木,東京都港区六本木3-13-14ゴトウビル3rd 5F,35.663112,139.7340135,ＢＩＲＤＬＡＮＤ,03-3402-3456,http://www.bird-land.co.jp/,70,120,,,,,,,,
