指標名,観光地,,,,,,,,
出典,Tripadvisor,,,,,,,,
年次,2020/3/10取得,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,
備考,レビュー数やカテゴリでフィルターかけたほうがいい,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,星,レビュー数
港区,六本木７丁目,六本木,東京都 港区六本木 7丁目18-5,35.662014,139.728699,出雲大社 東京分祠,名所・有名スポット,3.5,62
港区,六本木７丁目,六本木,東京都 港区六本木 7-7-7,35.665155,139.7292075,天祖神社 龍土神明宮,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,20
港区,六本木７丁目,六本木,東京都 港区六本木 7-6-13,35.663967,139.72833,法庵寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,5
港区,六本木７丁目,六本木,東京都 港区六本木 7-22-2 国立新美術館地下１階,35.665191,139.7263455,SOUVENIR FROM TOKYO,"美術館・博物館, ショッピング, さらに表示",3.5,7
港区,六本木７丁目,六本木,東京都 港区六本木 7-22-2,35.665191,139.7263455,国立新美術館,美術館・博物館,4.5,1302
港区,六本木７丁目,六本木,東京都 港区六本木 7-14-6,35.663526,139.731336,深広寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3.5,4
港区,六本木７丁目,六本木,東京都 港区六本木 7-14-12,35.663436,139.7314395,光専寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,1
港区,六本木７丁目,六本木,東京都 港区六本木 7-13-2 アーバンビル7階,35.664255,139.730841,バーレスク アネックス ヤバイ,"コンサート・ショー, キャバレー",5,10
港区,六本木６丁目,六本木,東京都 港区六本木 6-6-9 Piramide Bldg. 3F,35.661888,139.731462,OTA FINE ARTS,"ショッピング, 美術館・博物館, アートギャラリー",4,1
港区,六本木６丁目,六本木,東京都 港区六本木 6-9-1,35.659638,139.7308185,テレビ朝日,その他,3.5,153
港区,六本木６丁目,六本木,東京都 港区六本木 6-10-1,35.66043,139.7292615,東京シティビュー (六本木ヒルズ展望台）,"名所・有名スポット, 展望台・タワー",4.5,1745
港区,六本木６丁目,六本木,東京都 港区六本木 6-10-1 六本木ヒルズ森タワー52F 53F,35.66043,139.7292615,森アーツセンターギャラリー,美術館・博物館,4,138
港区,六本木６丁目,六本木,東京都 港区六本木 6丁目11-1 六本木ヒルズ,35.658135,139.732029,六本木ヒルズ盆祭り,"イベント, 文化イベント",3.5,20
港区,六本木６丁目,六本木,東京都 港区六本木 6-10-1,35.66043,139.7292615,六本木ヒルズ ショップ＆レストラン,"ショッピング, ショッピングモール",4,1869
港区,六本木６丁目,六本木,東京都 港区六本木 6-10,35.660331,139.7290275,毛利庭園,"自然・公園, 庭園",4,58
港区,六本木６丁目,六本木,東京都 港区六本木 6丁目7番18号,35.661789,139.732299,法典寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,3
港区,六本木６丁目,六本木,東京都 港区六本木 6丁目15-16,35.658603,139.7281275,妙経寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",2,1
港区,六本木６丁目,六本木,東京都 港区六本木 6-8-15,35.660691,139.73256,六本木トリコロールシアター,"コンサート・ショー, シアター",1,1
港区,六本木６丁目,六本木,東京都 港区六本木 6-7-20,35.661681,139.731939,長耀寺,"名所・有名スポット, 神社/寺院/教会/モニュメントなど",3,3
