指標名,バス停,,,,,注：NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,例：『東京駅〔八重洲南口〕』は中央区の一覧に掲載されているが、バス停の位置は千代田区。,,,,,,,,
年次,2021/2/2取得,,,,,　　『角筈二丁目バス停』は新宿区の一覧に掲載されているが、バス停の位置は渋谷区。,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　『駒場リサーチキャンパス』は渋谷区駒場４丁目と掲載されているが誤りで、目黒区。,,,,,,,,
備考,路線ごとに1データあるので、単純な駅数が知りたい場合は「1÷路線数」を合計,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,路線数,1÷路線数,事業者,路線名,方面①,方面①/URL,方面②,方面②/URL
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-大阪/ドリームルリエ号,[高速バス],大阪駅ＪＲ高速バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00008832/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京・神奈川-京都・大阪・兵庫/ドリーム号〔３列〕,[高速バス],大阪駅ＪＲ高速バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00008835/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京・神奈川-京都・大阪/昼特急〔３列〕,[高速バス],大阪駅ＪＲ高速バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00008836/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-京都・大阪/青春ドリーム号〔４列〕,[高速バス],大阪駅ＪＲ高速バスターミナル方面,https://www.navitime.co.jp/diagram/bus/00025521/00008837/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京・神奈川-京都・大阪/青春昼特急〔４列〕,[高速バス],東名御殿場方面,https://www.navitime.co.jp/diagram/bus/00025521/00008838/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-富山・石川/グランドリーム金沢号,[高速バス],富山駅前/金沢駅西口方面,https://www.navitime.co.jp/diagram/bus/00025521/00008885/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-福島/いわき号,[高速バス],小名浜/いわき駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00008902/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-岩手/ドリーム盛岡号,[高速バス],盛岡駅前〔東口〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00008904/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-青森/ドリーム青森・東京号,[高速バス],青森駅前方面,https://www.navitime.co.jp/diagram/bus/00025521/00008905/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-福島/夢街道会津号,[高速バス],若松駅前〔会津若松〕方面,https://www.navitime.co.jp/diagram/bus/00025521/00008906/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-福島/ドリーム福島・東京号,[高速バス],郡山駅前（福島県）/福島駅方面,https://www.navitime.co.jp/diagram/bus/00025521/00008928/1/,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目９　,35.679823,139.768071,東京駅〔八重洲南口〕,74,0.01 ,東京-秋田/ドリーム秋田・東京号,[高速バス],秋田駅東口方面,https://www.navitime.co.jp/diagram/bus/00025521/00008930/1/,,
