指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2021/2/3取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2019年度：1,758件、2020年度：2,130件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
品川区,二葉１丁目,-,東京都品川区二葉町1ー10ー8,35.607843,139.72903,セブンイレブン 二葉町店,,千代田区,340,109,72,107,52
品川区,荏原６丁目,-,東京都品川区荏原6丁目1-23,35.612675,139.70108,セブンイレブン 西小山桜並木通り店,,中央区,61,49,1,2,9
品川区,北品川２丁目,-,東京都品川区北品川2-17-1,35.617096,139.74137,セブンイレブン 新馬場駅前店,,港区,441,122,123,148,48
品川区,南大井３丁目,-,東京都品川区南大井3丁目14-2,35.590529,139.73481,セブンイレブン しながわ水族館西店,,新宿区,397,122,90,145,40
品川区,西大井３丁目,-,東京都品川区西大井3丁目1-18,35.597727,139.72304,セブンイレブン 品川西大井3丁目店,,江東区,322,102,85,85,50
品川区,東品川３丁目,-,東京都品川区東品川3丁目18-1,35.613917,139.75011,セブンイレブン 東品川3丁目店,,品川区,260,80,74,84,22
品川区,東品川４丁目,-,東京都品川区東品川4-11-36,35.607776,139.74780,セブンイレブン 品川シーサイド店,,渋谷区,309,89,80,96,44
品川区,南大井３丁目,-,東京都品川区南大井3丁目32番,35.588388,139.73566,セブンイレブン 京急ST大森海岸店,,合計,"2,130",673,525,667,265
品川区,南大井６丁目,-,東京都品川区南大井6-11-13,35.590752,139.73289,ローソン 南大井六丁目店,,,,,,,
品川区,南大井４丁目,-,東京都品川区南大井4-9-9,35.596220,139.73629,ローソン 品川南大井四丁目店,,,,,,,
品川区,南大井５丁目,-,東京都品川区南大井5-10-25,35.597194,139.73471,ローソン 品川南大井五丁目店,,,,,,,
品川区,東五反田２丁目,-,東京都品川区東京都品川区東五反田2-2-6,35.625162,139.72536,ローソン 三井ガーデンホテル五反田店,,,,,,,
品川区,東品川４丁目,-,東京都品川区東品川4-5-22,35.609731,139.74700,ナチュラルローソン NL東品川四丁目店,,,,,,,
品川区,西五反田６丁目,-,東京都品川区西五反田6丁目24,35.619691,139.71779,ファミリーマート 西五反田六丁目店,,,,,,,
品川区,二葉１丁目,-,東京都品川区二葉1丁目7番13号,35.608627,139.72954,ファミリーマート 品川区役所前店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1丁目31-1,35.605500,139.73083,ファミリーマート シティタワー大井町店,,,,,,,
品川区,上大崎２丁目,-,東京都品川区上大崎2 目黒駅 ホーム 五反田方,35.633913,139.71556,NEWDAYS MINI(ニューデイズ ミニ) 目黒2号店,,,,,,,
品川区,大井１丁目,-,東京都品川区大井1丁目3,35.607275,139.73407,ニューデイズりんかい大井町,,,,,,,
品川区,東五反田１丁目,-,東京都品川区東五反田1丁目26,35.626143,139.72385,ニューデイズ五反田,,,,,,,
品川区,小山６丁目,-,東京都品川区小山6-6-20,35.614669,139.69930,セブンイレブン 西小山江戸見坂通り店,,,,,,,
品川区,小山６丁目,-,東京都品川区小山6-8-12ヒルプラザ,35.613852,139.70015,ローソンストア100 LS品川小山店,,,,,,,
品川区,旗の台２丁目,-,東京都品川区旗の台2-11-6,35.605732,139.70077,セブンイレブン 品川西旗の台店,,,,,,,
品川区,旗の台２丁目,-,東京都品川区旗の台2-9-18,35.605870,139.70303,セブンイレブン 品川旗の台駅前店,,,,,,,
品川区,小山４丁目,-,東京都品川区小山4-8-20,35.618477,139.70312,セブンイレブン 品川小山4丁目店,,,,,,,
品川区,旗の台５丁目,-,東京都品川区旗の台5-8-3,35.604061,139.70335,ファミリーマート 旗の台五丁目店,,,,,,,
品川区,旗の台３丁目,-,東京都品川区旗の台3丁目12-5,35.605029,139.70342,ファミリーマート 旗の台駅前店,,,,,,,
品川区,旗の台２丁目,-,東京都品川区旗の台2-9-19,35.605900,139.70350,ファミリーマート 旗の台二丁目店,,,,,,,
品川区,旗の台１丁目,-,東京都品川区旗の台1-5-8,35.608364,139.70362,ナチュラルローソン NLS昭和大病院中央棟店,,,,,,,
品川区,旗の台１丁目,-,東京都品川区旗の台1-4-13,35.607632,139.70377,ローソン 昭和大病院入院棟店,,,,,,,
品川区,小山３丁目,-,東京都品川区小山3-4-14,35.620426,139.70390,ファミリーマート サンズ武蔵小山駅前店,,,,,,,
品川区,小山４丁目,-,東京都品川区小山4丁目4番地5号,35.618654,139.70411,ファミリーマート 武蔵小山店,,,,,,,
品川区,旗の台１丁目,-,東京都品川区旗の台1丁目2-20,35.609223,139.70424,ファミリーマート 昭和大学病院前店,,,,,,,
品川区,小山３丁目,-,東京都品川区小山3-4-8,35.620533,139.70437,LAWSON+toks武蔵小山店,,,,,,,
品川区,小山３丁目,-,東京都品川区小山3-15-1,35.620528,139.70490,ローソン 武蔵小山駅前店,,,,,,,
品川区,旗の台２丁目,-,東京都品川区旗の台2丁目4-22,35.607151,139.70512,セブンイレブン 品川旗の台2丁目店,,,,,,,
品川区,小山台１丁目,-,東京都品川区小山台1-20-20,35.622554,139.70547,ローソン・スリーエフ 品川小山台店,,,,,,,
