指標名,コンベンション施設,,,,,,
出典,公益財団法人 東京観光財団（TCVB）,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://businesseventstokyo.org/ja/venues/convention-venues/,,,,,,
備考,部屋数、収容人数などは各URLを参照。（2019年度：179件、2020年度：203件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
品川区,西五反田７丁目,-,東京都品川区西五反田7-22-17,35.621871,139.71903,五反田TOC 催事会場,http://www.toc.co.jp
品川区,東大井５丁目,-,東京都品川区東大井5-18-1,35.606223,139.73589,品川区立総合区民会館 きゅりあん,http://www.shinagawa-culture.or.jp/
品川区,東品川２丁目,-,東京都品川区東品川2-3-16 ｼｰﾌｫｰﾄｽｸｴｱ1階,35.623452,139.75130,ザ・クルーズクラブ東京,https://cctokyo.co.jp
品川区,東品川２丁目,-,東京都品川区東品川2-3-15,35.624409,139.75127,第一ホテル東京シーフォート,http://www.seafort.d-h.co.jp
品川区,北品川４丁目,-,東京都品川区北品川4-7-36,35.621404,139.73716,東京マリオットホテル,http://www.tokyo-marriott.com/
中央区,京橋２丁目,日八京,東京都中央区京橋2-1-3京橋ﾄﾗｽﾄﾀﾜｰ4階,35.677979,139.76983,トラストシティ カンファレンス・京橋,http://www.tcc-kaigishitsu.com/tcc-k/
中央区,京橋２丁目,日八京,東京都 中央区京橋2-2-1 京橋ｴﾄﾞｸﾞﾗﾝ 22F (事務所:22F),35.677310,139.76953,TKP Garden City Premium 京橋,https://www.kashikaigishitsu.net/facilitys/gcp-kyobashi/
中央区,京橋３丁目,日八京,東京都中央区京橋3-1-1 東京ｽｸｴｱｶﾞｰﾃﾞﾝ5階,35.676100,139.76838,東京コンベンションホール,http://tokyo.conventionhall.jp/
中央区,銀座２丁目,-,東京都中央区銀座2-15-6,35.671249,139.77119,銀座ブロッサム 中央会館,http://ginza-blossom.jp/
中央区,銀座３丁目,-,東京都中央区銀座3-9-11,35.671243,139.76755,銀座フェニックスプラザ,http://www.phoenixplaza.co.jp
中央区,銀座５丁目,-,東京都中央区銀座5-15-8,35.668104,139.76726,時事通信ホール,http://www.jiji.com/hall/
中央区,銀座６丁目,-,東京都中央区銀座6-14-10,35.668517,139.76489,コートヤード・マリオット銀座東武ホテル,http://www.tobuhotel.co.jp/ginza/
中央区,銀座８丁目,-,東京都中央区銀座8-21-1 住友不動産汐留浜離宮ﾋﾞﾙB1･1F･2F,35.664221,139.76399,ベルサール汐留,http://www.bellesalle.co.jp
中央区,晴海３丁目,-,東京都中央区晴海3-8-1,35.654783,139.77958,晴海グランドホテル,http://www.kensyu.jp
中央区,晴海４丁目,-,東京都中央区晴海4-7-28,35.652949,139.77911,ホテルマリナーズコート東京,http://www.hotel-mariners.co.jp
中央区,晴海５丁目,-,東京都中央区晴海5-7-1,35.646855,139.77339,晴海客船ターミナル,http://www.tptc.co.jp/tabid/344/Default.aspx
中央区,築地５丁目,-,東京都中央区築地5-3-2 朝日新聞東京本社新館2階,35.664203,139.76661,浜離宮朝日ホール,http://www.asahi-hall.jp/hamarikyu/
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-3-13 東京建物日本橋ﾋﾞﾙ2階,35.683042,139.77328,コングレスクエア日本橋,http://congres-square.jp/nihonbashi/
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-3-4 日本橋ﾌﾟﾗｻﾞﾋﾞﾙ3F,35.681379,139.77212,日本橋プラザ展示ホール・会議室,http://www.nihonbashiplaza.co.jp
中央区,日本橋２丁目,日八京,東京都 中央区日本橋2-7-1 東京日本橋ﾀﾜｰB2･4F･5F,35.681871,139.77429,ベルサール東京日本橋,https://www.bellesalle.co.jp/shisetsu/tokyo/bs_nihonbashi
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-1-1,35.682318,139.78693,ロイヤルパークホテル,http://www.rph.co.jp
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-2-1 COREDO室町1 5階,35.686706,139.77420,日本橋三井ホール,http://www.nihonbashi-hall.jp/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3 日本橋室町野村ﾋﾞﾙ5F･6F,35.687305,139.77394,野村コンファレンスプラザ日本橋,http://www.nomura-nihonbashi.com/conference/index.html
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.686796,139.77298,マンダリン オリエンタル 東京,http://www.mandarinoriental.co.jp/tokyo/
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-3-7 八重洲ﾌｧｰｽﾄﾌｨﾅﾝｼｬﾙﾋﾞﾙ2F･3F,35.682848,139.77186,ベルサール八重洲,http://www.bellesalle.co.jp/bs_yaesu/
中央区,八重洲２丁目,日八京,東京都 中央区八重洲2-4-1 ﾕﾆｿﾞ八重洲ﾋﾞﾙ3階,35.678421,139.76852,フクラシア　八重洲,https://www.fukuracia.jp
千代田区,一ツ橋２丁目,-,東京都千代田区一ﾂ橋2-6-2,35.694277,139.75614,日本教育会館,http://www.jec.or.jp
千代田区,一ツ橋２丁目,-,東京都千代田区一ﾂ橋2-1-1,35.692030,139.75837,如水会館,http://www.kaikan.co.jp/josui
千代田区,麹町６丁目,-,東京都千代田区麹町6-6,35.685092,139.73167,スクワール麹町,http://www.square.or.jp
千代田区,麹町５丁目,-,東京都千代田区麹町5-1,35.683803,139.73452,弘済会館,http://www.kousaikai.or.jp/hall/
千代田区,六番町,-,東京都千代田区六番町15,35.686035,139.73169,主婦会館プラザエフ,http://www.plaza-f.or.jp
千代田区,神田駿河台３丁目,-,東京都千代田区神田駿河台3-6,35.697202,139.76585,全電通労働会館,http://www.zhall.or.jp/index.html
千代田区,神田練塀町,-,東京都千代田区神田練塀町3 富士ｿﾌﾄﾋﾞﾙ,35.700306,139.77407,富士ソフト アキバプラザ,http://www.fsi.co.jp/akibaplaza/
