指標名,コワーキング施設,,,参考情報,「TOKYOテレワークアプリ」に掲載されているサテライトオフィス一覧も公開されている。,,
出典,コワーキングスペース検索,,,,https://catalog.data.metro.tokyo.lg.jp/dataset/t000012d0000000019/resource/26213e3e-9275-4208-b7e7-be71a6d35a60,,
年次,2021/1/15取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,より掲載数の多い出典に変更。,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
港区,六本木７丁目,六本木,東京都港区六本木7-14-23 ラウンドクロス六本木4，5階,35.6638424,139.7309943,クロスオフィス六本木注目物件,https://coworking-search.jp/space/2049/
港区,六本木７丁目,六本木,東京都港区六本木7-15-7 新六本木ビル5〜9F（受付9F）,35.6630848,139.7310779,SENQ 六本木,https://coworking-search.jp/space/2026/
港区,六本木６丁目,六本木,東京都港区六本木6-2-31 六本木ヒルズノースタワー17階,35.6617988,139.7301965,エグゼクティブセンター 六本木ヒルズノースタワー,https://coworking-search.jp/space/160/
港区,六本木６丁目,六本木,東京都港区六本木6-10-1 六本木ヒルズ森タワー ウェストウォーク6F,35.6606636,139.728988,PARK6 powered by bondolfi boncaffē 六本木,https://coworking-search.jp/space/1251/
港区,六本木６丁目,六本木,東京都港区六本木6丁目10番1号 六本木ヒルズ森タワー49Ｆ,35.6604864,139.7288467,六本木ヒルズライブラリー,https://coworking-search.jp/space/1553/
港区,六本木３丁目,六本木,東京都港区六本木3-4-33 マルマン六本木ビル3F,35.6648405,139.7361235,六本木ビジネスセンター,https://coworking-search.jp/space/191/
港区,六本木２丁目,六本木,東京都港区六本木2-2-6 福吉町ビル6F,35.667448,139.7389574,Katana 六本木オフィス,https://coworking-search.jp/space/1556/
港区,麻布十番２丁目,,東京都港区麻布十番2-20-7 麻布十番髙木ビル 8F/9F,35.654751,139.7367289,BIRTH 麻布十番,https://coworking-search.jp/space/2103/
