指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2021/2/15取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2019年度：889件、2020年度：1,315件）",,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
中央区,銀座８丁目,-,"東京都中央区銀座8-7

",35.668264,139.760895,銀座ビューティーライフ,https://byoinnavi.jp/pharm/202250
中央区,銀座１丁目,-,"東京都中央区銀座1-1-1

",35.673810,139.769361,シェトワ,https://byoinnavi.jp/pharm/202223
中央区,銀座２丁目,-,"東京都中央区銀座2-1

",35.672406,139.768722,(株)大成堂 西銀座支店,https://byoinnavi.jp/pharm/202226
中央区,京橋１丁目,日八京,"東京都中央区八重洲2-1

",35.679398,139.771044,マルゼン八重洲北口店,https://byoinnavi.jp/pharm/202216
千代田区,神田小川町３丁目,-,"東京都千代田区神田小川町3-8

",35.696154,139.761719,アイセイ薬局 駿河台店,https://byoinnavi.jp/pharm/264591
千代田区,神田錦町１丁目,-,"東京都千代田区神田錦町1-5

",35.691782,139.763628,田辺薬局 神田錦町店,https://byoinnavi.jp/pharm/255644
千代田区,神田三崎町２丁目,-,"東京都千代田区三崎町2-17-5

",35.701314,139.753164,水道橋薬局,https://byoinnavi.jp/pharm/202880
千代田区,神田佐久間町１丁目,-,"東京都千代田区神田佐久間1-25 秋葉原鴻池ビル1階

",35.698478,139.775152,トモズ 秋葉原店,https://byoinnavi.jp/pharm/202942
千代田区,神田和泉町,-,"東京都千代田区神田和泉町1番地 住友商事神田和泉町ビル1階

",35.699897,139.778569,トモズ 神田和泉町店,https://byoinnavi.jp/pharm/202957
千代田区,麹町３丁目,-,"東京都千代田区麹町3-7

",35.684469,139.738698,麹町調剤薬局,https://byoinnavi.jp/pharm/203003
千代田区,神田須田町１丁目,-,"東京都千代田区神田紺屋町5T・Mビル1F

",35.696979,139.768901,神田いちご薬局,https://byoinnavi.jp/pharm/202939
千代田区,六番町,-,"東京都千代田区六番町7金澤ビル1F

",35.687428,139.733513,アップル薬局六番町店,https://byoinnavi.jp/pharm/202977
千代田区,神田淡路町２丁目,-,"東京都千代田区神田淡路町2-23Hビル1F

",35.697005,139.766330,薬局淡路町ファーマシー,https://byoinnavi.jp/pharm/252786
千代田区,神田駿河台４丁目,-,"東京都千代田区神田駿河台4-3新お茶の水ビルB1F

",35.698961,139.765284,新お茶の水薬局,https://byoinnavi.jp/pharm/202975
千代田区,麹町３丁目,-,"東京都千代田区麹町3-4

",35.684524,139.737886,(株)一本堂 麹町店,https://byoinnavi.jp/pharm/203002
千代田区,麹町２丁目,-,"東京都千代田区麹町2-4

",35.684324,139.739927,三誠堂ビル,https://byoinnavi.jp/pharm/203000
千代田区,麹町３丁目,-,"東京都千代田区麹町3-2

",35.684337,139.738818,くすりの福太郎麹町店,https://byoinnavi.jp/pharm/203001
千代田区,二番町,-,"東京都千代田区二番町14

",35.687228,139.736508,ニュードラッグ二番町日テレ通り店,https://byoinnavi.jp/pharm/202994
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2-4

",35.699608,139.763483,二六堂薬局お茶の水店,https://byoinnavi.jp/pharm/202972
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2-3

",35.699777,139.764459,お茶の水駅前薬局,https://byoinnavi.jp/pharm/202971
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2-2

",35.698845,139.763501,(有)三崎薬局,https://byoinnavi.jp/pharm/202968
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2-10

",35.700322,139.761055,コトブキ調剤薬局お茶の水店,https://byoinnavi.jp/pharm/202965
千代田区,神田練塀町,-,"東京都千代田区神田練塀町68

",35.700975,139.774817,(株)ファーコス,https://byoinnavi.jp/pharm/202962
千代田区,神田松永町,-,"東京都千代田区神田松永町11

",35.699562,139.774540,ファーコスアキバ薬局,https://byoinnavi.jp/pharm/202956
千代田区,神田淡路町２丁目,-,"東京都千代田区神田淡路町2-6

",35.696747,139.767947,ロイヤル薬局神田淡路町店,https://byoinnavi.jp/pharm/202961
千代田区,神田平河町,-,"東京都千代田区神田平河町1

",35.697656,139.775856,あつみ調剤薬局,https://byoinnavi.jp/pharm/202955
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2-9

",35.695333,139.756014,セガミ薬局神保町店,https://byoinnavi.jp/pharm/202954
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2-26

",35.697866,139.756981,裕堂,https://byoinnavi.jp/pharm/202953
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2-21-9

",35.695061,139.756379,(株)イムノ・ジャパン,https://byoinnavi.jp/pharm/202951
千代田区,神田神保町１丁目,-,"東京都千代田区神田神保町1-48

",35.698001,139.758905,(有)興生堂薬局,https://byoinnavi.jp/pharm/202949
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2-1

",35.695626,139.757771,マツモトキヨシMediプラスマツキヨ都営神保町店,https://byoinnavi.jp/pharm/202950
千代田区,神田神保町１丁目,-,"東京都千代田区神田神保町1-3

",35.695437,139.759693,コスメティック&ドラッグサクラ神保町店,https://byoinnavi.jp/pharm/202947
千代田区,神田紺屋町,-,"東京都千代田区神田紺屋町47

",35.692930,139.772963,コーエイドラッグ神田店,https://byoinnavi.jp/pharm/202938
千代田区,神田佐久間町１丁目,-,"東京都千代田区神田佐久間町1-23

",35.698300,139.775143,シティドラック,https://byoinnavi.jp/pharm/202941
千代田区,神田佐久間町１丁目,-,"東京都千代田区神田佐久間町1-21

",35.697762,139.775189,あつみ薬品(株),https://byoinnavi.jp/pharm/202940
千代田区,神田紺屋町,-,"東京都千代田区神田紺屋町34

",35.692797,139.773395,トータルサポート(株),https://byoinnavi.jp/pharm/202937
千代田区,神田錦町３丁目,-,"東京都千代田区神田錦町3-9

",35.692156,139.759550,(有)後藤薬局,https://byoinnavi.jp/pharm/202936
千代田区,神田錦町１丁目,-,"東京都千代田区神田錦町1-1

",35.692079,139.764616,(株)ファーマシー企画,https://byoinnavi.jp/pharm/202933
千代田区,神田北乗物町,-,"東京都千代田区神田北乗物町16

",35.692468,139.773483,(有)エースメディカル,https://byoinnavi.jp/pharm/202931
千代田区,神田錦町１丁目,-,"東京都千代田区神田錦町1-4

",35.692730,139.763990,東京中薬針灸研究所,https://byoinnavi.jp/pharm/202934
千代田区,神田小川町１丁目,-,"東京都千代田区神田小川町1-1

",35.694728,139.766825,薬ヒグチ淡路町店,https://byoinnavi.jp/pharm/202926
千代田区,神田小川町２丁目,-,"東京都千代田区神田小川町2-1

",35.694203,139.765068,くすりの福太郎 神田小川町店,https://byoinnavi.jp/pharm/202928
千代田区,神田須田町２丁目,-,"東京都千代田区神田須田町2-15

",35.696284,139.773880,若草漢方薬局,https://byoinnavi.jp/pharm/202925
千代田区,神田須田町１丁目,-,"東京都千代田区神田須田町1-16

",35.695538,139.770662,のぞみ薬局須田町店,https://byoinnavi.jp/pharm/202924
千代田区,神田須田町１丁目,-,"東京都千代田区神田須田町1-12

",35.695436,139.769458,神田宝仙堂,https://byoinnavi.jp/pharm/202923
千代田区,神田三崎町３丁目,-,"東京都千代田区三崎町3-4-8

",35.701176,139.752237,(株)山田真薬局,https://byoinnavi.jp/pharm/202883
千代田区,神田三崎町３丁目,-,"東京都千代田区三崎町3-1-8

",35.699249,139.752862,(株)クリエイティブサービス,https://byoinnavi.jp/pharm/202882
千代田区,神田三崎町２丁目,-,"東京都千代田区三崎町2-9-1

",35.700917,139.755262,薬ヒグチ 水道橋駅前店,https://byoinnavi.jp/pharm/202881
千代田区,神田三崎町２丁目,-,"東京都千代田区三崎町2-11-10

",35.701197,139.753835,フクダ薬品,https://byoinnavi.jp/pharm/202879
千代田区,神田三崎町１丁目,-,"東京都千代田区三崎町1-4-8

",35.701111,139.755676,第一薬局,https://byoinnavi.jp/pharm/202878
新宿区,左門町,-,"東京都新宿区左門町20四谷メディカルビル1F

",35.685326,139.720603,株式会社ファーマみらい 共創未来 左門町薬局,https://byoinnavi.jp/pharm/205815
新宿区,市谷田町２丁目,-,"東京都新宿区市ヶ谷田町2-31-2

",35.695085,139.736962,(株)エスシーグループ 鈴薬局市ヶ谷店,https://byoinnavi.jp/pharm/271042
新宿区,南元町,-,"東京都新宿区南元町19

",35.679456,139.720938,ヒカリ薬局信濃町店,https://byoinnavi.jp/pharm/205799
新宿区,納戸町,-,"東京都新宿区納戸町13

",35.698309,139.734118,薬局ラクトファーマシー,https://byoinnavi.jp/pharm/253784
新宿区,矢来町,-,"東京都新宿区矢来町108

",35.703825,139.734018,矢来町薬局,https://byoinnavi.jp/pharm/205801
新宿区,四谷３丁目,-,"東京都新宿区四谷3-5

",35.687892,139.721704,快生堂小林薬局,https://byoinnavi.jp/pharm/205796
新宿区,馬場下町,-,"東京都新宿区馬場下町61吉村ビル1F

",35.706253,139.720286,吉村薬局,https://byoinnavi.jp/pharm/205740
新宿区,須賀町,-,"東京都新宿区須賀町1サンコート四谷1F

",35.687444,139.722036,サン薬局,https://byoinnavi.jp/pharm/252752
新宿区,早稲田鶴巻町,-,"東京都新宿区早稲田鶴巻町545

",35.707305,139.727538,ウラノ薬局,https://byoinnavi.jp/pharm/205820
新宿区,早稲田鶴巻町,-,"東京都新宿区早稲田鶴巻町518

",35.708184,139.722417,けやき薬局,https://byoinnavi.jp/pharm/205819
新宿区,早稲田町,-,"東京都新宿区早稲田町67

",35.706005,139.721101,(株)サクラドラッグ,https://byoinnavi.jp/pharm/205818
新宿区,早稲田町,-,"東京都新宿区早稲田町66

",35.705890,139.721766,フクロ薬局早稲田店,https://byoinnavi.jp/pharm/205817
新宿区,早稲田町,-,"東京都新宿区早稲田町12

",35.705505,139.722969,(有)花梨堂薬局,https://byoinnavi.jp/pharm/205816
新宿区,矢来町,-,"東京都新宿区矢来町57

",35.703863,139.732571,中川薬局神楽坂店,https://byoinnavi.jp/pharm/205802
新宿区,信濃町,-,"東京都新宿区信濃町11

",35.681784,139.719861,シナノ薬局,https://byoinnavi.jp/pharm/205798
新宿区,四谷３丁目,-,"東京都新宿区四谷3-9

",35.687533,139.719980,サンドラッグ四谷三丁目店,https://byoinnavi.jp/pharm/205797
新宿区,四谷１丁目,-,"東京都新宿区四谷1-9

",35.686010,139.728264,(有)ナカ薬局,https://byoinnavi.jp/pharm/205793
新宿区,四谷２丁目,-,"東京都新宿区四谷2-1

",35.687118,139.725288,くすりセイジョー四谷店,https://byoinnavi.jp/pharm/205794
新宿区,原町１丁目,-,"東京都新宿区原町1-55

",35.700896,139.724679,ひかり薬局・薬膳新宿原町,https://byoinnavi.jp/pharm/205739
新宿区,原町１丁目,-,"東京都新宿区原町1-21

",35.700009,139.726131,ニュードラッグ 柳町店,https://byoinnavi.jp/pharm/205738
新宿区,西新宿５丁目,-,"東京都新宿区西新宿5-5-3

",35.693489,139.686873,伊賀薬局,https://byoinnavi.jp/pharm/205718
新宿区,西新宿５丁目,-,"東京都新宿区西新宿5-5-2

",35.693578,139.686840,鶴薬局,https://byoinnavi.jp/pharm/205717
新宿区,西新宿２丁目,-,"東京都新宿区西新宿2-8-2

",35.689588,139.691457,ウエルシア薬局都庁第二庁舎店,https://byoinnavi.jp/pharm/205709
新宿区,西新宿１丁目,-,"東京都新宿区西新宿1-1

",35.689710,139.698716,エース薬局,https://byoinnavi.jp/pharm/205691
