指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2021/3/1取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2019年度：144件、2020年度：159件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,エリア
新宿区,榎町,-,東京都新宿区榎町72番地 神楽坂榎ビル3階,35.705352,139.727842,モルドバ共和国大使館,Embassy of the Republic of Moldova in Japan,欧州
港区,白金４丁目,-,東京都港区白金4-14-12 Shirokane K. House,35.640619,139.727436,リベリア共和国大使館,Embassy of the Republic of Liberia in Japan,アフリカ
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-11-36 Residence Viscountess #220,35.668717,139.741642,ジョージア大使館,Embassy of Georgia in Japan,欧州
港区,南麻布１丁目,-,東京都港区南麻布1-26-15B,35.650337,139.732037,在東京バルバドス名誉領事館,Honorary Consulate of Barbados in Tokyo,中南米
中央区,築地６丁目,-,東京都中央区築地6丁目4-8、北國新聞ビル4階,35.664887,139.772612,アルバニア共和国大使館,Embassy of the Republic of Albania in Japan,欧州
千代田区,一番町,-,東京都千代田区一番町1,35.687056,139.741572,英国大使館,Her Britannic Majesty's Embassy in Japan,欧州
千代田区,二番町,-,東京都千代田区二番町3,35.686066,139.737279,イスラエル国大使館,Embassy of Israel in Japan,中東
千代田区,麹町１丁目,-,東京都千代田区麹町1-4 半蔵門ファーストビル4階,35.684263,139.743728,南アフリカ共和国大使館,Embassy of the Republic of South Africa in Japan,アフリカ
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-3-1 三菱商事株式会社（PM-E）内,35.681096,139.762553,在東京モナコ公国名誉総領事館,Honorary Consulate-General of the Principality of Monaco in Tokyo,欧州
千代田区,一番町,-,東京都千代田区一番町2-2 一番町第二TGビル7階,35.688416,139.744269,パラグアイ共和国大使館,Embassy of the Republic of Paraguay in Japan,中南米
品川区,荏原１丁目,-,東京都品川区荏原1丁目10-2,35.620623,139.715294,ザンビア共和国大使館,Embassy of the Republic of Zambia in Japan,アフリカ
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2丁目15-1,35.676947,139.739570,メキシコ合衆国大使館,Embassy of the United Mexican States in Japan,中南米
渋谷区,猿楽町,-,東京都渋谷区猿楽町29-6,35.648361,139.699819,デンマーク王国大使館,Royal Danish Embassy in Japan,欧州
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町3-29,35.681494,139.737480,バングラデシュ人民共和国大使館,Embassy of the People's Republic of Bangladesh in Japan,アジア
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町4-1 新紀尾井町ビル3階 一般社団法人 アフリカ開発協会内,35.680910,139.734041,在東京セーシェル共和国名誉領事館,Honorary Consulate of the Republic of Seychelles in Tokyo,アフリカ
中央区,銀座１丁目,-,東京都中央区銀座1-9-2 北野建設（株）東京本社7階,35.674317,139.769272,在東京ソロモン諸島名誉領事館,Honorary Consulate of Solomon Islands in Tokyo,大洋州
千代田区,九段南２丁目,-,東京都千代田区九段南2-2-11,35.694015,139.747188,インド大使館,Embassy of India in Japan,アジア
千代田区,九段南３丁目,-,東京都千代田区九段南3-6-6,35.692689,139.743525,チュニジア共和国大使館,Embassy of the Republic of Tunisia in Japan,アフリカ
渋谷区,元代々木町,-,東京都渋谷区元代々木町50-11,35.672820,139.685909,ベトナム社会主義共和国大使館,Embassy of the Socialist Republic of Viet Nam in Japan,アジア
港区,元麻布１丁目,-,東京都港区元麻布1丁目1-20,35.655857,139.732740,オーストリア共和国大使館,Embassy of the Republic of Austria in Japan,欧州
港区,元麻布２丁目,-,東京都港区元麻布2丁目14-14,35.652659,139.730510,アルゼンチン共和国大使館,Embassy of the Argentine Republic in Japan,中南米
港区,元麻布２丁目,-,東京都港区元麻布2丁目3-28,35.653675,139.727429,カタール国大使館,Embassy of the State of Qatar in Japan,中東
港区,元麻布２丁目,-,東京都港区元麻布2丁目3-23,35.653646,139.727774,マダガスカル共和国大使館,Embassy of the Republic of Madagascar in Japan,アフリカ
港区,元麻布２丁目,-,東京都港区元麻布2-11-33,35.654322,139.730481,スロバキア共和国大使館,Embassy of the Slovak Republic in Japan,欧州
港区,元麻布２丁目,-,東京都港区元麻布2丁目13-1,35.654280,139.730777,ジャマイカ大使館,Embassy of Jamaica in Japan,中南米
港区,元麻布３丁目,-,東京都港区元麻布3-7-18,35.656321,139.729745,リトアニア共和国大使館,Embassy of the Republic of Lithuania in Japan,欧州
港区,元麻布３丁目,-,東京都港区元麻布3丁目4-33,35.656340,139.727173,中華人民共和国大使館,Embassy of the People's Republic of China in Japan,アジア
港区,元麻布３丁目,-,東京都港区元麻布3-5-1,35.656878,139.728324,サンマリノ共和国大使館,Embassy of the Republic of San Marino in Japan,欧州
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目6-1,35.666624,139.745385,ナイジェリア連邦共和国大使館,Embassy of the Federal Republic of Nigeria in Japan,アフリカ
港区,虎ノ門４丁目,虎ノ門,東京都港区虎ノ門4-3-20 神谷町MTビル14階 41～43号室,35.663522,139.744543,マルタ共和国大使館,Embassy of the Republic of Malta to Japan,欧州
渋谷区,広尾２丁目,-,東京都渋谷区広尾2丁目16-14,35.651969,139.717003,チェコ共和国大使館,Embassy of the Czech Republic in Japan,欧州
渋谷区,広尾２丁目,-,東京都渋谷区広尾2-3-1,35.652434,139.714056,ペルー共和国大使館,Embassy of the Republic of Peru in Japan,中南米
渋谷区,広尾３丁目,-,東京都渋谷区広尾3丁目3-10,35.655335,139.714974,クロアチア共和国大使館,Embassy of the Republic of Croatia in Japan,欧州
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-2-17,35.654255,139.721577,オマーン国大使館,Embassy of the Sultanate of Oman in Japan,中東
港区,高輪２丁目,-,東京都港区高輪2-1-52,35.639628,139.737088,ウズベキスタン共和国大使館,Embassy of the Republic of Uzbekistan in Japan,欧州
港区,高輪２丁目,-,東京都港区高輪2丁目1-54,35.639865,139.736867,スリランカ民主社会主義共和国大使館,Embassy of the Democratic Socialist Republic of Sri Lanka in Japan,アジア
港区,高輪３丁目,-,東京都港区高輪3丁目4-1 高輪偕成ビル7階,35.634821,139.731662,マラウイ共和国大使館,Embassy of the Republic of Malawi in Japan,アフリカ
港区,高輪３丁目,-,東京都港区高輪3丁目4-1 高輪偕成ビル2階,35.634821,139.731662,エチオピア連邦民主共和国大使館,Embassy of the Federal Democratic Republic of Ethiopia in Japan,アフリカ
港区,高輪４丁目,-,東京都港区高輪4丁目16-12,35.626479,139.733078,セルビア共和国大使館,Embassy of the Republic of Serbia in Japan,欧州
港区,高輪４丁目,-,東京都港区高輪4-18-26,35.626413,139.733776,アイスランド共和国大使館,Embassy of the Republic of Iceland in Japan,欧州
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-7 アイルランドハウス,35.685644,139.740594,アイルランド大使館,Embassy of Ireland in Japan,欧州
千代田区,麹町３丁目,-,東京都千代田区麹町3丁目10-3 神浦麹町ビル5階,35.685579,139.739040,ポルトガル大使館,Embassy of Portugal in Japan,欧州
港区,三田１丁目,-,東京都港区三田1-5-7,35.653402,139.740198,キルギス共和国大使館,Embassy of the Kyrgyz Republic in Japan,欧州
港区,三田２丁目,-,東京都港区三田2丁目5-4,35.650729,139.742565,イタリア大使館,Embassy of Italy in Japan,欧州
港区,三田２丁目,-,東京都港区三田2丁目1-14,35.651735,139.739087,オーストラリア大使館,Australian Embassy in Japan,大洋州
港区,三田２丁目,-,東京都港区三田2-17-14,35.648455,139.741073,ハンガリー大使館,Embassy of Hungary in Japan,欧州
港区,三田４丁目,-,東京都港区三田4丁目13-12,35.645366,139.741574,クウェート国大使館,Embassy of the State of Kuwait in Japan,中東
千代田区,三番町,-,東京都千代田区三番町9-2,35.689660,139.741871,バチカン大使館 ローマ法王庁大使館,Apostolic Nunciature in Japan,欧州
千代田区,四番町,-,東京都千代田区四番町8-9 ルクセンブルクハウス1階,35.689784,139.737493,ルクセンブルク大公国大使館,Embassy of the Grand-Duchy of Luxembourg in Japan,欧州
港区,芝３丁目,-,東京都港区芝3丁目1-14 芝公園阪神ビル8階,35.654142,139.745562,チリ共和国大使館,Embassy of the Republic of Chile in Japan,中南米
港区,芝３丁目,-,東京都港区芝3丁目1-14 芝公園阪神ビル8階,35.654142,139.745562,在東京チリ共和国総領事館,Consulate-General of the Republic of Chile in Tokyo,中南米
港区,芝３丁目,-,東京都港区芝3-6-9 芝公園プラザ3階,35.652024,139.749290,在東京ブータン王国名誉総領事館,Honorary Consulate-General of the Kingdom of Bhutan in Tokyo,アジア
港区,芝４丁目,-,東京都港区芝4丁目5-10 EDGE芝4丁目ビル6階,35.648715,139.750972,ボツワナ共和国大使館,Embassy of the Republic of Botswana in Japan,アフリカ
