指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,
年次,2020年,,,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000/list/#country:Japan、https://fortune.com/global500/2020/search/,,,,,,,,,,,,,,,,,,,
備考,昨年157件。今年165件。（品川区、江東区追加）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,Fortune,,,,,,
区,町丁,エリア,住所,緯度,経度,企業名（英語）,企業名,ランキング名,Rank,Sales,Profits,Assets,Market Value,Revenues ($M),Profits ($M),Assets ($M),Revenue Percent Change,Profits Percent Change,Employees,Change in Rank
港区,六本木１丁目,虎ノ門,東京都港区六本木１丁目６番１号,35.6645616,139.7394963,SBI Holdings,SBIホールディングス株式会社,Forbes Global 2020,1750,$3.4 B,$344.8 M,$51.1 B,$4.4 B,-,-,-,-,-,-,-
港区,六本木１丁目,虎ノ門,東京都港区六本木１丁目４番５号,35.6656942,139.7394446,NEXON,株式会社ネクソン,Forbes Global 2020,1233,$2.3 B,$1.1 B,$6.6 B,$14.1 B,-,-,-,-,-,-,-
港区,北青山２丁目,-,東京都港区北青山２丁目５番１号,35.6715567,139.7193213,Itochu,伊藤忠商事株式会社,Forbes Global 2020,135,$103.1 B,$4.9 B,$104.6 B,$29.6 B,-,-,-,-,-,-,-
港区,浜松町２丁目,-,東京都港区浜松町２丁目４番１号　世界貿易センタービル,35.6561711,139.7564438,Orix,オリックス株式会社,Forbes Global 2020,292,$21.3 B,$3 B,$118.2 B,$15.4 B,-,-,-,-,-,-,-
港区,南青山２丁目,-,東京都港区南青山２丁目１－１　,35.6720911,139.723793,Honda Motor,本田技研工業株式会社,Fortune Global 2020,-,-,-,-,-,137331.5,4191.8,189335.3,-4.2,-23.8,218674,-5
港区,南青山２丁目,-,東京都港区南青山２丁目１－１,35.6720911,139.723793,Honda Motor,本田技研工業株式会社,Forbes Global 2020,83,$142.4 B,$4.3 B,$188.5 B,$42.6 B,-,-,-,-,-,-,-
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目９番３号,35.6616677,139.760736,Nippon Express,日本通運株式会社,Forbes Global 2020,1611,$19.1 B,$160.1 M,$14.1 B,$4.6 B,-,-,-,-,-,-,-
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目９－１　,35.6630416,139.7613097,SoftBank Group,ソフトバンク株式会社,Fortune Global 2020,-,-,-,-,-,87439.5,-8844.3,344751.5,1,-169.5,80909,4
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目７－１,35.6630521,139.7594459,Sony,ソニー株式会社,Fortune Global 2020,-,-,-,-,-,75972.3,5354.8,213189.1,-2.8,-35.2,111700,-6
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５番２号,35.6656193,139.7607973,Mitsui Chemicals,三井化学株式会社,Forbes Global 2020,1598,$12.5 B,$415.8 M,$13.7 B,$3.9 B,-,-,-,-,-,-,-
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目５－２　,35.6656193,139.7607973,Fujitsu,富士通株式会社,Fortune Global 2020,-,-,-,-,-,35483,1472,29494.3,-0.5,56.1,129609,-7
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１丁目８－１,35.6649842,139.7623649,Dentsu,株式会社 電通,Forbes Global 2020,1340,$9.6 B,$-742 M,$34.9 B,$5.9 B,-,-,-,-,-,-,-
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－９－１,35.6630416,139.7613097,Softbank,ソフトバンク株式会社,Forbes Global 2020,66,$87.4 B,$2.9 B,$362.6 B,$89.7 B,-,-,-,-,-,-,-
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－５－２　汐留シティセンター,35.6654972,139.7608806,Fujitsu,富士通株式会社,Forbes Global 2020,422,$35.7 B,$1.4 B,$28.7 B,$20 B,-,-,-,-,-,-,-
港区,東新橋１丁目,虎ノ門広域,東京都港区東新橋１－５－２　汐留シティセンター,35.6654972,139.7608806,All Nippon Airways,全日本空輸株式会社,Forbes Global 2020,1137,$18.2 B,$254.4 M,$23.7 B,$7.2 B,-,-,-,-,-,-,-
