指標名,ギャラリー,,,,,,
出典,Tokyo Art Beat（ギャラリー）,,,,,,
年次,2021/2/08取得,,,,,,
URL,http://www.tokyoartbeat.com/venues/Gallery,,,,,,
備考,（2019年度：520件、2020年度：577件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ウェブサイト
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ４Ｆ,35.619262,139.746602,ANOMALY,http://anomalytokyo.com/top/
品川区,北品川６丁目,-,東京都品川区北品川６－２－１０島津山ペアシティ２０１,35.62697,139.730765,gallery 201,http://gallery201.jimdo.com/
品川区,東五反田２丁目,-,東京都品川区東五反田２－５－１５,35.624911,139.72846,ギャラリー テオ,http://www.galleryteo.com/
品川区,東品川１丁目,-,東京都品川区東品川１－３２－８ＴＥＲＲＡＤＡＡＲＴＣＯＭＰＬＥＸＩＩ２Ｆ,35.619891,139.746203,gallery UG Tennoz,http://gallery-ug.com/ja/
品川区,戸越５丁目,-,東京都品川区戸越５－８－１９,35.609693,139.719272,Hasu no hana,http://www.hasunohana.net/
品川区,東品川２丁目,-,東京都品川区東品川２－２－４３Ｔ３３ビル１Ｆ,35.624599,139.7517,IMA gallery,https://imaonline.jp/imaproject/ima-gallery/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ３Ｆ,35.619262,139.746602,児玉画廊｜天王洲,http://www.kodamagallery.com/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ５Ｆ,35.619262,139.746602,KOSAKU KANECHIKA,http://kosakukanechika.com/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ３Ｆ,35.619262,139.746602,KOTARO NUKAGA,https://www.kotaronukaga.com/
品川区,西五反田３丁目,-,東京都品川区西五反田３－５－２０　ＤＮＰ五反田ビル１Ｆ,35.628215,139.718823,Louvre DNP Museum Lab,http://museumlab.jp/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ１Ｆ,35.619262,139.746602,MAKI,https://www.makigallery.com/ja/
品川区,上大崎４丁目,-,東京都品川区上大崎３－１－１ＪＲ東急目黒ビル１２Ｆ,35.633423,139.715644,PUBLICIS WALL GALLERY (PWG),https://www.pinterest.jp/publiciswallgallery/
品川区,西五反田２丁目,-,東京都品川区西五反田２－２－１０ポーラ第２五反田ビル１Ｆ,35.627402,139.721178,ポーラ文化研究所 / ポーラ化粧文化情報センター,https://www.cosmetic-culture.po-holdings.co.jp/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ５Ｆ,35.619262,139.746602,スカイパーク,http://www.scaithebathhouse.com/park/ja/
品川区,荏原４丁目,-,東京都品川区荏原４－６－７,35.613696,139.707273,same gallery,https://samegallery.com/
品川区,東品川２丁目,-,東京都品川区東品川２－６－１０寺田倉庫株式会社本社ビル２Ｆ,35.621069,139.748642,T-Art Hall,https://www.terrada.co.jp/ja/service/space/t-art_hall/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ３Ｆ，５Ｆ,35.619167,139.746585,Takuro Someya Contemporary Art (TSCA),http://tsca.jp/
品川区,北品川２丁目,-,東京都品川区北品川２－２５－１７,35.618365,139.744476,TATARABA,https://tataraba-tataraba.jimdo.com/
品川区,東品川１丁目,-,東京都品川区東品川１－３２－８ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘＩＩ２Ｆ,35.619891,139.746203,TOKYO INTERNATIONAL GALLERY (TIG),https://tokyointernationalgallery.co.jp/ja/
品川区,東品川１丁目,-,東京都品川区東品川１－３３－１０ＴＥＲＲＡＤＡＡｒｔＣｏｍｐｌｅｘ３Ｆ,35.619262,139.746602,YUKA TSURUNO GALLERY,http://yukatsuruno.com/
品川区,東品川１丁目,-,東京都品川区東品川１－３２－８ＴＥＲＲＡＤＡＡＲＴＣＯＭＰＬＥＸＩＩ１Ｆ,35.619891,139.746203,YUKIKO MIZUTANI,https://yukikomizutani.com/japanese/
中央区,銀座７丁目,-,東京都中央区銀座７－５－４毛利ビル５Ｆ,35.670253,139.761655,77 Gallery,http://www.77gallery.com/
中央区,銀座１丁目,-,東京都中央区銀座１－９－８奥野ビル５１１号室,35.67374,139.768782,a piece of space APS,http://www.a-piece-of-space.com/
中央区,銀座８丁目,-,東京都中央区銀座８－１８－１１銀座エスシービル,35.665875,139.764689,AJC TOKYO,-
中央区,銀座１丁目,-,東京都中央区銀座１－５－２西勢ビル２Ｆ,35.67505,139.767412,藍画廊,http://igallery.sakura.ne.jp/
中央区,銀座４丁目,-,東京都中央区銀座４－９－５銀昭ビル６Ｆ,35.670612,139.767065,Akio Nagasawa Gallery Ginza,http://www.akionagasawa.com
中央区,銀座３丁目,-,東京都中央区銀座３－５－１６島田ビル２Ｆ，３Ｆ,35.672573,139.766117,青木画廊,http://www.aokigallery.jp/
中央区,銀座８丁目,-,東京都中央区銀座８－１０－４和孝銀座８丁目ビル１Ｆ,35.667962,139.762545,ART FOR THOUGHT,http://artforthought.jp/
中央区,銀座２丁目,-,東京都中央区銀座２－１１－４富善ビル１Ｆ,35.672409,139.769221,アートギャラリー銀座,-
中央区,銀座４丁目,-,東京都中央区銀座４－１１－３ウインド銀座ビル５Ｆ,35.670191,139.768343,Art Gallery M84,http://artgallery-m84.com
