指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2021/2/15取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2019年度：4,597件、2020年度：6,158件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,晴海１丁目,-,"東京都中央区東京都中央区晴海1-8-16 晴海トリトンスクエア3F

",35.6573718,139.7827814,医療法人社団 新未来 晴海トリトン 夢未来クリニック,"小児科, 皮膚科, 耳鼻いんこう科, アレルギー科",https://byoinnavi.jp/clinic/263579
中央区,京橋２丁目,日八京,"東京都中央区京橋2丁目17-3 芳沢ビル1階

",35.675647,139.773061,京橋デンタルクリニック,歯科,https://byoinnavi.jp/clinic/284
中央区,八重洲１丁目,日八京,"東京都中央区八重洲2丁目1 八重洲地下街中1号

",35.6806485,139.7689783,医療法人有歯会 八重洲歯科診療所,歯科,https://byoinnavi.jp/clinic/122459
中央区,八重洲１丁目,日八京,"東京都中央区八重洲二丁目1 八重洲地下街中1号

",35.6806485,139.7689783,八重洲南口歯科,"歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/428
中央区,日本橋人形町１丁目,-,"東京都中央区人形町1-6-10 ユニコム人形町ビル1F

",35.6846059,139.7822022,内科総合クリニック人形町,"内科, 糖尿病内科, 循環器内科, 脂質代謝内科, 内分泌内科, 感染症内科",https://byoinnavi.jp/clinic/274914
千代田区,有楽町２丁目,大丸有,"東京都中央区銀座4丁目1番先 北数寄屋ビルB1F

",35.673145,139.762988,銀座有楽町内科,"内科, 糖尿病内科, 内分泌内科, 代謝内科",https://byoinnavi.jp/clinic/274104
中央区,日本橋２丁目,日八京,"東京都中央区東京都中央区日本橋2-2-2 マルヒロ日本橋ビル 5階

",35.6821119,139.7725762,ブレインクリニック東京,"精神科, 神経内科",https://byoinnavi.jp/clinic/275034
中央区,銀座４丁目,-,"東京都中央区4-12-15 歌舞伎座タワー16F

",35.6697503,139.7680034,東銀座クリニック,"内科, 心療内科, 精神科",https://byoinnavi.jp/clinic/95
中央区,日本橋堀留町２丁目,-,"東京都中央区日本橋堀留町2-1-15-2F

",35.6875463,139.7816277,日本橋人形町ジェム矯正歯科,矯正歯科,https://byoinnavi.jp/clinic/162724
中央区,銀座４丁目,-,"東京都中央区東京都中央区銀座4-10-15 三幸ビル別館2階

",35.6704345,139.7672492,医療法人松崎病院 銀座メディカルクリニック,"心療内科, 神経科",https://byoinnavi.jp/clinic/69572
中央区,銀座３丁目,-,"東京都中央区銀座3丁目10-16 マルイト銀座第三ビル10F

",35.6713729,139.7682031,武本ホーム・ドクター・クリニック,"内科, 消化器科",https://byoinnavi.jp/clinic/520
中央区,八重洲１丁目,日八京,"東京都中央区八重洲2丁目1 八重洲地下街地下2階

",35.6806485,139.7689783,医療法人社団紀夢会 八重洲大島眼科,眼科,https://byoinnavi.jp/clinic/256937
中央区,勝どき５丁目,-,"東京都中央区勝どき五丁目3-2 205

",35.656267,139.7727219,医療法人社団ITS 勝どきザ・タワー歯科,"歯科, 矯正歯科, 小児歯科",https://byoinnavi.jp/clinic/277243
中央区,銀座１丁目,-,"東京都中央区銀座1丁目14-4 プレリー銀座ビル2F

",35.673271,139.7699403,医療法人社団慈愛会 東京銀座国際醫院,"整形外科, 腫瘍内科, 消化器内科",https://byoinnavi.jp/clinic/276080
中央区,銀座１丁目,-,"東京都中央区銀座一丁目14-4 プレリー銀座ビル3F

",35.673271,139.7699403,池野皮膚科形成外科クリニック,皮膚科,https://byoinnavi.jp/clinic/723
中央区,銀座４丁目,-,"東京都中央区銀座4丁目2-17 銀座川レジャービル12F

",35.67276,139.764236,LETICIA CLINIC,皮膚科,https://byoinnavi.jp/clinic/258372
中央区,銀座８丁目,-,"東京都中央区銀座八丁目11-3 銀座露木ビル7F、8F

",35.6676429,139.7622385,医療法人聖美会 ジョウクリニック銀座院,美容外科,https://byoinnavi.jp/clinic/277568
中央区,銀座４丁目,-,"東京都中央区銀座4丁目1 NISHIGINZA B1階

",35.6730671,139.763526,CLINIC EMMA the ginza,"美容外科, 美容皮膚科",https://byoinnavi.jp/clinic/275291
中央区,銀座７丁目,-,"東京都中央区銀座7丁目13-12 サクセス銀座第7ビル11階

",35.667422,139.7639263,一般社団法人ウェルケア Ai Medical Clinic Ginza,"内科, 内分泌内科, 代謝内科",https://byoinnavi.jp/clinic/275311
千代田区,神田小川町２丁目,-,"東京都千代田区神田小川町2-6 大宮第二ビル2階

",35.6954813,139.763698,東京外科クリニック,"内科, 外科",https://byoinnavi.jp/clinic/260205
千代田区,神田駿河台４丁目,-,"東京都千代田区神田駿河台4-3 新お茶の水ビルディング18・19・20F

",35.698775,139.765017,医療法人社団済安堂 お茶の水・井上眼科クリニック,眼科,https://byoinnavi.jp/clinic/1054
千代田区,神田佐久間町２丁目,-,"東京都千代田区神田佐久間町2-20

",35.698665,139.7761357,秋葉原中央クリニック,"形成外科, 美容外科",https://byoinnavi.jp/clinic/169450
千代田区,神田駿河台１丁目,-,"東京都千代田区神田駿河台1丁目8 タニグチビル5F

",35.6980305,139.7626214,下肢矯正 アイレッグクリニック,小児科,https://byoinnavi.jp/clinic/261964
千代田区,一番町,-,"東京都千代田区一番町4-26 相模屋第五ビル2階

",35.6876473,139.7425551,一番町レディースクリニック,"婦人科, 内科, リハビリテーション科, 皮膚科, 精神科, 心療内科",https://byoinnavi.jp/clinic/343
千代田区,麹町３丁目,-,"東京都千代田区麹町3丁目7 東急ドエルグラフィオ1階

",35.6834406,139.7392739,浅井医院,"皮膚科, 小児皮膚科, 内科, 外科, アレルギー科",https://byoinnavi.jp/clinic/3483
中央区,銀座１丁目,-,"東京都千代田区有楽町0番地 銀座インズ3・1階

",35.6754365,139.7656263,医療法人社団中興会 内外クリニック,"内科, 消化器内科, 皮膚科",https://byoinnavi.jp/clinic/919
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2丁目4番地 お茶の水日建ビル3階

",35.6995527,139.7634573,ユアクリニックお茶の水,"内科, 循環器内科, リウマチ科",https://byoinnavi.jp/clinic/257991
千代田区,麹町６丁目,-,"東京都千代田区麹町6丁目2 ニュー弥彦ビル1F

",35.6852008,139.7333295,医療法人社団新生会 麹町歯科医院,"歯科, 矯正歯科, 小児歯科",https://byoinnavi.jp/clinic/3420
千代田区,神田佐久間町３丁目,-,"東京都千代田区神田佐久間町3-35 178ビル2階

",35.698636,139.777507,医療法人社団 千矯会 秋葉原矯正歯科,"矯正歯科, 小児矯正歯科",https://byoinnavi.jp/clinic/264096
千代田区,神田松永町,-,"東京都千代田区神田松永町11 AT第一ビル2F

",35.6995393,139.7745332,グレイスデンタルクリニック,"歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/1364
千代田区,神田佐久間町１丁目,-,"東京都千代田区神田佐久間町1丁目19 山中ビル3F

",35.6979343,139.7750924,秋葉原歯科,歯科,https://byoinnavi.jp/clinic/1285
千代田区,神田松永町,-,"東京都千代田区神田松永町23 NC島商ビルB1

",35.7013171,139.7752164,ハセベデンタルクリニック,"歯科, 矯正歯科",https://byoinnavi.jp/clinic/1992
千代田区,神田小川町３丁目,-,"東京都千代田区神田小川町3丁目2-18 チェスターコート御茶ノ水1階

",35.6947019,139.7627506,野地デンタルクリニック,歯科,https://byoinnavi.jp/clinic/5836
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2丁目14 魚住ビル2階

",35.6970173,139.7571735,飯塚歯科,歯科,https://byoinnavi.jp/clinic/122441
千代田区,神田東松下町,-,"東京都千代田区神田東松下町18 高正ビル2F

",35.6941068,139.7741338,加賀山歯科医院,"歯科, 歯科口腔外科",https://byoinnavi.jp/clinic/1997
千代田区,麹町３丁目,-,"東京都千代田区麹町3-12 麹町MSビル

",35.685836,139.738795,グローバルヘルスケアクリニック,"内科, 感染症内科, 小児科, アレルギー科, 性感染症内科",https://byoinnavi.jp/clinic/271099
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2丁目24 神保町KNビル3F

",35.6975137,139.7569906,黒岩歯科,"歯科, 矯正歯科, 小児歯科",https://byoinnavi.jp/clinic/5855
千代田区,鍛冶町２丁目,-,"東京都千代田区区鍛冶町2-8-6 メディカルプライム神田 5F

",35.6926111,139.7726534,ココロモクリニック神田,"精神科, 心療内科",https://byoinnavi.jp/clinic/274502
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台4-3

",35.6997774,139.7644592,医療法人社団済安堂 井上眼科病院,"眼科, 麻酔科",https://byoinnavi.jp/clinic/1062
千代田区,麹町１丁目,-,"東京都千代田区麹町1丁目10

",35.6851229,139.7423685,医療法人社団茂恵会 半蔵門病院,"内科, アレルギー科, 外科, 呼吸器科, 消化器外科, 循環器科, 心臓血管外科, 泌尿器科, 糖尿病内科",https://byoinnavi.jp/clinic/221
千代田区,麹町３丁目,-,"東京都千代田区麹町4丁目3 麹町富士ビル2階

",35.6842463,139.7387029,山岡クリニック,"内科, 循環器科, 小児科, 皮膚科",https://byoinnavi.jp/clinic/1843
千代田区,神田鍛冶町,-,"東京都千代田区神田鍛冶町3丁目2 神田サンミビル 8F

",35.6933647,139.7713159,ベスリクリニック,"心療内科, 内科, 精神科",https://byoinnavi.jp/clinic/255714
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2丁目9 神保町メディカルモール5階

",35.6953592,139.7558921,神保町メンタルクリニック,"心療内科, 精神科, 神経科",https://byoinnavi.jp/clinic/98
千代田区,神田神保町１丁目,-,"東京都千代田区神田神保町1-7-15 源興號ビル4F

",35.6957693,139.7592975,神保町十河医院,漢方内科,https://byoinnavi.jp/clinic/250885
千代田区,麹町５丁目,-,"東京都千代田区麹町5丁目4 セタニビルB1

",35.6848471,139.7337749,紀尾井町メディカルクリニック,"リウマチ科, 整形外科, リハビリテーション科",https://byoinnavi.jp/clinic/697
千代田区,五番町,-,"東京都千代田区五番町2 横山ビル

",35.690641,139.7352254,市ケ谷駅前診療所,"内科, 胃腸科, 循環器科, 皮膚科",https://byoinnavi.jp/clinic/2558
千代田区,麹町３丁目,-,"東京都千代田区麹町4丁目3 麹町富士ビル2F

",35.6842463,139.7387029,医療法人社団 大政クリニック,"消化器科, 胃腸科, 肛門科",https://byoinnavi.jp/clinic/1042
千代田区,六番町,-,"東京都千代田区六番町15 主婦会館プラザエフ

",35.6859782,139.7319668,一般財団法人 主婦会館クリニック,婦人科,https://byoinnavi.jp/clinic/316
千代田区,神田多町,-,"東京都千代田区神田多町2丁目9

",35.6939532,139.7689831,奥田医院,"内科, 消化器科, 胃腸科, 循環器科, 小児科, 放射線科",https://byoinnavi.jp/clinic/374
千代田区,神田東松下町,-,"東京都千代田区神田東松下町19 秋元ビル1F

",35.6944175,139.774014,秋元医院,"内科, 循環器科, 泌尿器科",https://byoinnavi.jp/clinic/197
千代田区,神田駿河台１丁目,-,"東京都千代田区神田駿河台1丁目8

",35.6979655,139.7623328,公益財団法人 佐々木研究所附属 杏雲堂病院,"内科, リウマチ科, 呼吸器科, 呼吸器外科, 消化器外科, 消化器科, 循環器科, 整形外科, 形成外科, 皮膚科, ...もっと見る泌尿器科, 婦人科, 糖尿病内科, リハビリテーション科, 放射線科, 麻酔科, 乳腺外科",https://byoinnavi.jp/clinic/207
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2丁目8 瀬川ビル2階

",35.6992804,139.764264,小児神経学クリニック,"内科, 精神科, 神経内科, 小児科",https://byoinnavi.jp/clinic/163856
千代田区,五番町,-,"東京都千代田区五番町2 横山ビルB1F

",35.690641,139.7352254,医療法人社団授生会 杉村レディースクリニック,婦人科,https://byoinnavi.jp/clinic/2586
千代田区,神田駿河台１丁目,-,"東京都千代田区神田駿河台1-1 明治大学駿河台キャンパス研究棟

",35.6976606,139.7610417,明治大学子どものこころクリニック,"児童精神科, 精神科, 心療内科",https://byoinnavi.jp/clinic/278373
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2丁目5

",35.7001957,139.7619459,社団法人 東京都教職員互助会 三楽病院,"内科, 血液内科, 外科, 精神科, 神経科, 神経内科, 呼吸器科, 消化器科, 循環器科, 小児科, ...もっと見る整形外科, 皮膚科, 泌尿器科, 産婦人科, 糖尿病内科, 眼科, 耳鼻いんこう科, リハビリテーション科, 放射線科, 麻酔科",https://byoinnavi.jp/clinic/69566
千代田区,神田和泉町,-,"東京都千代田区神田和泉町1

",35.6990836,139.7784685,社会福祉法人 三井記念病院,"内科, 血液内科, リウマチ科, 外科, 精神科, 神経内科, 脳神経外科, 呼吸器科, 呼吸器外科, 消化器外科, ...もっと見る消化器科, 腎臓内科, 循環器科, 心臓血管外科, 小児科, 小児外科, 整形外科, 皮膚科, 泌尿器科, 産婦人科, 内分泌内科, 糖尿病内科, 眼科, 耳鼻いんこう科, 放射線科, 歯科, 歯科口腔外科, 麻酔科, 乳腺外科",https://byoinnavi.jp/clinic/72759
千代田区,神田駿河台４丁目,-,"東京都千代田区神田駿河台4丁目3 新お茶の水ビルディング1階

",35.6988719,139.7651107,メディカルスキャニングお茶の水,放射線科,https://byoinnavi.jp/clinic/1143
千代田区,神田駿河台１丁目,-,"東京都千代田区神田駿河台1丁目6

",35.697346,139.762752,学校法人 日本大学病院,"内科, 精神科, 脳神経外科, 呼吸器外科, 消化器外科, 心臓血管外科, 小児科, 整形外科, 皮膚科, 泌尿器科, ...もっと見る婦人科, 眼科, 耳鼻いんこう科, リハビリテーション科, 放射線科, 麻酔科, 乳腺外科, 循環器内科, 消化器内科, 内分泌外科, 病理診断科",https://byoinnavi.jp/clinic/321
千代田区,神田須田町１丁目,-,"東京都千代田区神田須田町1丁目18

",35.6954114,139.7709857,医療法人財団同仁記念会 明和病院,"内科, 皮膚科, リハビリテーション科, ペインクリニック内科, 呼吸器内科, 消化器内科, 人工透析内科",https://byoinnavi.jp/clinic/831
千代田区,神田佐久間町３丁目,-,"東京都千代田区神田佐久間町3-28 星野ビル2F

",35.6985737,139.7785673,秋葉原DEM内科クリニック,"内科, 糖尿病内科, 内分泌・代謝内科",https://byoinnavi.jp/clinic/266672
千代田区,神田神保町１丁目,-,"東京都千代田区神田神保町1丁目105 神保町三井ビルディング1階・2階

",35.6942485,139.7605759,医療法人社団 こころとからだの元氣プラザ,"内科, 精神科, 泌尿器科, 婦人科, 乳腺外科, 呼吸器内科, 循環器内科, 消化器内科, 糖尿病内科, 漢方内科",https://byoinnavi.jp/clinic/1230
千代田区,神田駿河台２丁目,-,"東京都千代田区神田駿河台2-4 お茶の水日健ビル4階

",35.6995527,139.7634573,お茶の水メンタルクリニック,"心療内科, 精神科",https://byoinnavi.jp/clinic/259168
千代田区,神田鍛冶町,-,"東京都千代田区神田鍛冶町3丁目3 栄立ビル

",35.6938359,139.7706392,メラクリニック,"内科, 心療内科, 消化器科, 皮膚科",https://byoinnavi.jp/clinic/1928
千代田区,神田淡路町２丁目,-,"東京都千代田区神田淡路町2-105 ワテラス アネックス5階

",35.6975346,139.7679626,医療法人社団清湘会 聖橋クリニック,"内科, 糖尿病内科, 腎臓内科",https://byoinnavi.jp/clinic/373
千代田区,神田神保町２丁目,-,"東京都千代田区神田神保町2丁目9 神田神保町メディカルモール2F

",35.6953962,139.7558851,医療社団法人審和会 KAZ矯正歯科,矯正歯科,https://byoinnavi.jp/clinic/5852
千代田区,神田三崎町１丁目,-,"東京都千代田区三崎町1丁目3-12

",35.7008314,139.755981,財団法人結核予防会 第一健康相談所 総合健診センター,"内科, 呼吸器科, 消化器科, 循環器科",https://byoinnavi.jp/clinic/199
千代田区,神田平河町,-,"東京都千代田区神田平河町4 渡辺ビル6階

",35.6982941,139.7758113,秋葉原メンタルクリニック,"心療内科, 精神科",https://byoinnavi.jp/clinic/71
