指標名,国際会議,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,
年次,2019年,,,,,,,,,,,
URL,https://mice.jnto.go.jp/documents/statistics.html,,,,,,,,,,,
備考,（2018年：164件、2019年：110件）,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,期間（2019年）,"参加国数
（日本含）",外国人参加者数,国内 参加者数,参加者総数
中央区,日本橋室町２丁目,日八京,"2-chome-2-1 Nihonbashimuromachi, Chuo City, Tokyo 103-0022, Japan",35.686673,139.774382,Health 2.0 Japan Conference,日本橋三井ホール,"12/09～
12/10",4,10,71,81
中央区,京橋３丁目,日八京,"3-chome-1-1 Kyōbashi, Chuo City, Tokyo 104-0031, Japan",35.676097,139.768709,"第3回日本循環器学会基礎研究フォーラム
(BCVR2019)",東京コンベンションホール,"09/06～
09/08",10,30,370,400
中央区,日本橋１丁目,日八京,"Japan, 〒103-0027 Tokyo, Chuo City, Nihonbashi, 1-chome-3-13 東京建物日本橋ﾋﾞﾙ 2 F",35.683007,139.773329,第36回日本TDM学会学術大会,コングレスクエア日本橋,"05/25～
05/26",3,2,798,800
千代田区,内幸町１丁目,-,"1-chome-1-1 Uchisaiwaichō, Chiyoda City, Tokyo 100-8558, Japan",35.67247,139.75758,"ARES国際不動産投資フォーラム2019
（講演）",帝国ホテル東京,"03/08～
03/08",12,44,1199,1243
千代田区,内幸町１丁目,-,"1-chome-1-1 Uchisaiwaichō, Chiyoda City, Tokyo 100-8558, Japan",35.67247,139.75758,台風に関するハイレベル東京会議、熱帯低気圧RSMC東京センター30周年記念式典,帝国ホテル東京,"10/10～
10/11",16,29,35,64
千代田区,内幸町１丁目,-,"1-chome-1-1 Uchisaiwaichō, Chiyoda City, Tokyo 100-8558, Japan",35.67247,139.75758,第45回日本･ASEAN経営者会議,帝国ホテル東京,"12/12～
12/14",8,99,87,186
千代田区,飯田橋１丁目,-,"1-chome-1-1 Iidabashi, Chiyoda City, Tokyo 102-0072, Japan",35.697353,139.750061,G20首席農業研究者会議,ホテルグランドパレス,"04/25～
04/26",22,70,25,95
千代田区,霞が関１丁目,虎ノ門広域,"1-chome-1-1 Kasumigaseki, Chiyoda City, Tokyo 100-8977, Japan",35.675836,139.754734,刑事政策公開講演会,法務省,"01/25～
01/25",9,11,128,139
千代田区,有楽町１丁目,大丸有,"1-chome-1-2 Yūrakuchō, Chiyoda City, Tokyo 100-0006, Japan",35.67364,139.759171,G20新潟農業大臣会合 第1回準備会合,東京ミッドタウン日比谷,"03/05～
03/07",32,92,30,122
千代田区,丸の内１丁目,大丸有,"1-chome-5-1 Marunouchi, Chiyoda City, Tokyo 100-6590, Japan",35.682621,139.764244,Fintech & Regtech Summit（シンポジウム、講演）,丸の内ビルディング･大手町ビル,"09/03～
09/06",17,145,1707,1852
千代田区,丸の内１丁目,大丸有,"1-chome-7-12 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",35.683718,139.768611,第11回IHRA会議,サピアタワー,"11/28～
11/29",12,31,69,100
千代田区,有楽町１丁目,大丸有,"1-chome-8-1 Yūrakuchō, Chiyoda City, Tokyo 100-0006, Japan",35.674759,139.76047,Asia Pacific Mergers and Acquisitions Conference,ザ・ペニンシュラ東京,"11/25～
11/26",12,32,21,53
千代田区,九段南２丁目,-,"2-chome-1-5 Kudanminami, Chiyoda City, Tokyo 102-0074, Japan",35.692655,139.747043,G20首席農業研究者会議(MACS)関連｢持続可能な農業のための気候変動対応技術･農法の導入･拡大に関する国際ワークショップ｣,農林水産省三番町共用会議所,"11/05～
11/07",14,21,37,58
千代田区,霞が関２丁目,虎ノ門広域,"2-chome-2-1 Kasumigaseki, Chiyoda City, Tokyo 100-8919, Japan",35.674181,139.749949,OSCEアジア共催会議,外務省,"09/02～
09/03",37,80,20,100
千代田区,永田町２丁目,赤坂,"2-chome-2-1 Nagatachō, Chiyoda City, Tokyo 100-0014, Japan",35.674371,139.742931,直訳:第4回アジア太平洋水フォーラム (APWF)第1回合同執行委員会会議,衆議院第一議員会館,"06/04～
06/04",5,4,90,94
千代田区,平河町２丁目,-,"2-chome-4-1 Hirakawachō, Chiyoda City, Tokyo 102-0093, Japan",35.681141,139.738828,第26回TAFISAワールドコングレス,都市センターホテル,"11/13～
11/16",80,200,200,400
千代田区,霞が関３丁目,虎ノ門広域,"3-chome-2-2 Kasumigaseki, Chiyoda City, Tokyo 100-8959, Japan",35.671397,139.748624,第16回持続可能な開発目標達成に向けた国際教育協力日本フォーラム｢持続可能な成長を担う次世代の教育の現状と課題 -乳幼児期を中心に-｣,文部科学省,"02/22～
02/22",4,25,138,163
千代田区,丸の内３丁目,大丸有,"3-chome-5-1 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",35.676743,139.763753,第５２回原産年次大会「原子力のポテンシャルを最大限に引き出すには」,東京国際フォーラム,"04/09～
04/10",30,80,730,810
千代田区,丸の内３丁目,大丸有,"3-chome-5-1 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",35.676743,139.763753,NIMS WEEK 2019 NIMS学術シンポジウム、NIMS Award 2019授賞式/受賞記念講演,東京国際フォーラム,"10/30～
10/30",5,6,699,705
千代田区,丸の内３丁目,大丸有,"3-chome-5-1 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",35.676743,139.763753,第40回 日本肥満学会、第37回 日本肥満症治療学会学術集会,東京国際フォーラム,"11/02～
11/03",6,14,1836,1850
千代田区,紀尾井町,赤坂,"7-1 Kioichō, Chiyoda City, Tokyo 102-8554, Japan",35.683563,139.732589,第15回 ASEFクラスルーム･ネットワーク会議,上智大学,"11/25～
11/29",51,60,20,80
千代田区,有楽町２丁目,大丸有,"Japan, 〒100-0006 Tokyo, Chiyoda City, Yūrakuchō, 2-chome-5-1 有楽町ﾏﾘｵﾝ 11F",35.673634,139.763075,第44回日本香粧品学会,有楽町朝日ホール,"06/28～
06/29",3,55,501,556
千代田区,内幸町２丁目,-,"Japan, 〒100-0011 Tokyo, Chiyoda City, Uchisaiwaichō, 2-chome-1-1 飯野ﾋﾞﾙﾃﾞｨﾝｸﾞ",35.670921,139.75267,｢国連海洋科学の10年｣北太平洋地域計画会合,イイノホール&カンファレンスセンター,"07/31～
08/02",18,100,60,160
