指標名,インターナショナルスクール,,,,,,,
出典,PLAZA HOMES,,,,,,,
年次,2021/2/23取得,,,,,,,
URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools/,,,,,,,
備考,（2019年度：53件、2020年度：59件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象年齢
港区,西麻布３丁目,-,東京都港区西麻布3-17-3,35.658619,139.72662,CHATEAU SCHOOL,CHATEAU SCHOOL,共学0歳 - 6歳　（アフタースクール　3 - 12歳）
港区,元麻布２丁目,-,東京都港区元麻布2-12-14,35.654680,139.73083,J's インターナショナルスクール,J's International School,共学15ヶ月 - 6歳
港区,元麻布２丁目,-,東京都港区元麻布2-11-8,35.655435,139.73080,ABCインターナショナルスクール,ABC International School,共学1歳 - 5歳
港区,南麻布３丁目,-,東京都港区南麻布3-11-4,35.648894,139.72919,Ivy Prep インターナショナルスクール,Ivy Prep International School,共学6ヶ月から6歳
港区,白金台５丁目,-,東京都港区白金台5-13-39,35.638811,139.72223,Kスペース インターナショナル プリスクール アンド キンダーガーテン,Kspace International Preschool and Kindergarten,共学14ヶ月 - 6歳
港区,芝公園２丁目,-,東京都港区芝公園2-8-2,35.654591,139.75117,Star Kids International Preschool,Star Kids International Preschool,共学1歳 - 6歳  (English Club: 7 -12 歳)
港区,白金台５丁目,-,東京都港区白金台5-13-28-102,35.637677,139.72251,アイラ・インターナショナルスクール,Ayla International School,共学1 - 6 歳
港区,六本木２丁目,六本木,東京都港区六本木2-1-1,35.667770,139.73870,Mitsui Gardens International Preschool,Mitsui Gardens International Preschool,共学15ヶ月 - 5歳
港区,三田５丁目,-,東京都港区三田5-4-1,35.647842,139.73867,アイインターナショナルスクール,ai International School,共学18ヶ月 - 6 歳
港区,東麻布１丁目,-,東京都港区東麻布1-26-2　セラフテン麻布　3F,35.655482,139.74479,Tokyo International Kindercare （麻布）,Tokyo International Kindercare (Azabu),共学18ケ月 - 6歳
港区,六本木６丁目,六本木,東京都港区六本木6-16-5,35.658223,139.72979,アメリカンスクールインジャパン　アーリーラーニングセンター,"American School in Japan, Early Learning Center",共学3歳 - 6歳
港区,赤坂９丁目,六本木,東京都港区赤坂9-2-16,35.667739,139.73236,イートンハウス インターナショナルプリスクール東京,Eton House International Pre-school Tokyo,共学15ヶ月 - 6歳
港区,元麻布２丁目,-,東京都港区元麻布2-14-28,35.652416,139.72930,ウィローブルック インターナショナルスクール,Willowbrook International School,共学15ヶ月 - 5歳
港区,元麻布３丁目,-,東京都港区元麻布3-12-36,35.656074,139.73120,オハナインターナショナルスクール,Ohana International School,共学18ヶ月 - 5歳
港区,南青山３丁目,-,東京都港区南青山3-9-5,35.665977,139.71571,クラレンスインターナショナルスクール,Clarence International School,共学2 - 6歳
港区,元麻布２丁目,-,東京都港区元麻布2-13-8,35.654057,139.73081,サマーヒルインターナショナルスクール,Summerhill International School,共学15ヶ月 - 6歳
港区,南麻布２丁目,-,東京都港区南麻布2-8-18,35.648444,139.73560,シャトー・デ・バンビーニ・モンテッソーリ・スクール,Chateau des Bambini Montessori School,共学12ヶ月 - 6歳
港区,赤坂２丁目,赤坂,東京都港区赤坂2-18-12,35.668861,139.73962,ムーミン・インターナショナル幼稚園,Moomin International Kindergarten,共学0歳 - 6歳　（アフタースクール　3 - 12歳）
