指標名,ミシュラン掲載レストラン,,,,,,,,,,,,
出典,ミシュランガイド東京 2021,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,
URL,https://japanguide.michelin.co.jp/restaurant/tokyo/,,,,,,,,,,,,
備考,,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,星数,カテゴリ,エリア,URL,価格帯,電話番号,その他
品川区,小山３丁目,-,東京都品川区小山 3-22-7,35.618803,139.70635,もち豚とんかつ たいよう,ビブグルマン,とんかつ ,不動前・武蔵小山,http://mochibutataiyou.web.fc2.com/,"昼＝1,500-3,000円　夜＝2,000-3,000円",-,カウンター席が主体
品川区,上大崎２丁目,-,東京都品川区上大崎 2-15-5,35.634764,139.71676,和酒庵 穂むら,ビブグルマン,居酒屋 ,目黒,https://homura-0141wa.com/,"夜＝5,000-7,000円",要予約,-
品川区,上大崎２丁目,-,東京都品川区上大崎 2-14-12,35.634265,139.71690,鳥しき,★,焼鳥 ,目黒,-,"夜＝8,000-10,000円",要予約,カウンター席が主体
品川区,上大崎３丁目,-,東京都品川区上大崎 3-3-4,35.633970,139.71816,やきとり 阿部,ビブグルマン,焼鳥 ,目黒,-,"夜＝5,000-7,000円",要予約,カウンター席が主体
品川区,西五反田５丁目,-,東京都品川区西五反田 5-6-11,35.624244,139.71700,不動前 すし 岩澤,★,寿司 ,不動前・武蔵小山,-,"夜＝22,000円",要予約,カウンター席が主体
品川区,東五反田１丁目,-,東京都品川区東五反田 1-12-9 イルヴィアーレ五反田ビル 2F,35.626746,139.72495,よし鳥,ビブグルマン,焼鳥 ,五反田,-,"夜＝5,000-7,000円",要予約,-
品川区,南大井３丁目,-,東京都品川区南大井 3-11-5,35.590830,139.73544,まき村,★★★,日本料理 ,大森,-,"夜＝25,000円",要予約,カウンター席が主体
品川区,南大井６丁目,-,東京都品川区南大井 6-11-10,35.590825,139.73277,Homemade Ramen 麦苗,ビブグルマン,ラーメン ,大森,-,"昼＝1,500円以下　夜＝1,500円以下",-,カウンター席が主体
品川区,北品川６丁目,-,東京都品川区北品川 6-7-29 ガーデンシティ品川御殿山 1F,35.623788,139.73387,カンテサンス,★★★,フランス料理 ,品川,https://www.quintessence.jp/,"夜＝33,000円",要予約,-
中央区,有楽町２丁目,大丸有,東京都中央区銀座西 2-2 銀座インズ2 2F,35.674824,139.76499,バンゲラズ キッチン,ビブグルマン,インド料理 ,銀座,-,"昼＝1,000-5,000円　夜＝2,000-5,000円",要予約,-
中央区,京橋２丁目,日八京,東京都中央区京橋 2-5-2,35.676457,139.77045,京橋 てんぷら 深町,★,天ぷら ,京橋,-,"昼＝9,000-15,000円　夜＝17,000-22,000円",要予約,カウンター席が主体
