指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2021/3/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間・備考
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-21,35.691623,139.761349,A2-04.ちよだプラットフォームスクウェア / Chiyoda Platform Square,休止日時：5月10日（金） 23:00 ～ 5月13日（月） 10:00,営業時間 24時間 / Open for 24 hours
千代田区,神田錦町１丁目,-,東京都千代田区神田錦町1－29,35.689654,139.763974,A2-05.神田橋公園 / Kandabashi Park,-,営業時間 24時間 / Open for 24 hours
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-9,35.700477,139.759518,A2-08.KDX御茶ノ水ビル / KDX Ochanomizu Building,-,営業時間 24時間 / Open for 24 hours
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-22,35.693393,139.760021,A2-09.テラススクエア / TERRACE SQUARE,-,営業時間 24時間 / Open for 24 hours
千代田区,西神田１丁目,-,東京都千代田区西神田1-2-4,35.699223,139.757039,"A2-06.東光電気工事 別館（屋内駐輪場） / TOKO CO., LTD Annex(Indoor Parking)",-,営業時間 / Open 月 / Mon. 0:00-20:00火~木 / Tue.-Thu. 7:00-20:00金 / Fri. 7:00-24:00土･日 / Sat. Sun. 24時間 / Open for 24 hours祝日 / Holiday 休止 /Closed※祝日の場合は､曜日にかかわらず祝前日の20:00から祝翌日の7:00まではご利用/返却出来ません｡
千代田区,神田神保町１丁目,-,東京都千代田区神田神保町1-105,35.694257,139.760282,A2-12.神保町三井ビルディング / JINBOCHO MITSUI BUILDING,-,営業時間 24時間 / Open for 24 hours
千代田区,神田錦町２丁目,-,東京都千代田区神田錦町2-2-1,35.693125,139.763204,A2-20.神田スクエア / KANDA SQUARE,-,営業時間 24時間 / Open for 24 hours
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町3-27,35.694547,139.754860,A2-21.神田神保町3丁目 / Kanda Jimbocho 3,-,営業時間 24時間 / Open for 24 hours
千代田区,神田猿楽町１丁目,-,東京都千代田区神田猿楽町1-5-15猿楽町SSビル,35.698638,139.759538,A2-18.猿楽町SSビル東 / Sarugakucho SS Bldg. east,-,営業時間 24時間 / Open for 24 hours
千代田区,神田猿楽町１丁目,-,東京都千代田区神田猿楽町1-5-15猿楽町SSビル,35.698638,139.759538,A2-19.猿楽町SSビル西 / Sarugakucho SS Bldg. west,-,営業時間 24時間 / Open for 24 hours
千代田区,神田司町,-,東京都千代田区神田司町2-2,35.693129,139.767444,A3-01.神田児童公園（西側交番横） / Kanda Children Park(West Side Next to the Police Box),-,営業時間 24時間 / Open for 24 hours
千代田区,神田三崎町２丁目,-,東京都千代田区神田三崎町2-22,35.702307,139.753309,A2-24.水道橋駅西口前 / Suidobashi Station in front of West exit,-,営業時間 24時間 / Open for 24 hours
千代田区,神田司町,-,東京都千代田区神田司町2-16,35.692672,139.768646,A3-03.NTT東日本神田ビル / NTT-East Kanda Build,-,営業時間 24時間 / Open for 24 hours
千代田区,神田淡路町２丁目,-,東京都千代田区神田淡路町2-107,35.697254,139.766717,A3-07.淡路公園 / Awaji Park,-,営業時間 24時間 / Open for 24 hours
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699084,139.778469,A3-05.和泉公園（西側入口） / Izumi Park(Western Entrance),-,営業時間 24時間 / Open for 24 hours
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-18,35.697885,139.774736,A3-04.秋葉原公園 / Akihabara Park,-,営業時間 24時間 / Open for 24 hours
