指標名,スポーツ施設,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/3取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：430件、2020年度：423件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,種類
品川区,八潮５丁目,-,東京都品川区八潮5-11-16,35.6003449,139.7536982,八潮公園多目的広場,スポーツ施設/運動公園
品川区,荏原２丁目,-,東京都品川区荏原2-2-3,35.617893,139.713191,かわら割道場 東京支部,スポーツ施設/運動公園
品川区,荏原４丁目,-,東京都品川区荏原4-4-2 グリーンプラザ武蔵小山1F・2F,35.616115,139.708552,ワールド+ジム 武蔵小山店,スポーツクラブ/フィットネスクラブ
品川区,旗の台３丁目,-,東京都品川区旗の台3-14-12,35.604608,139.704702,スポーツスパアスリエ旗の台,スポーツクラブ/フィットネスクラブ
品川区,旗の台３丁目,-,東京都品川区旗の台3-2-9 ガーディアン・プレイスフラッグ3,35.605038,139.706828,フィットネス・ラボP2M(ピーツーエム),スポーツクラブ/フィットネスクラブ
品川区,旗の台４丁目,-,東京都品川区旗の台4-4-4 サンユー旗の台ビル2F,35.603613,139.706219,スポーツクラブJOYFIT(ジョイフィット) 旗の台,スポーツクラブ/フィットネスクラブ
品川区,戸越６丁目,-,東京都品川区戸越6-23-17,35.606087,139.714312,メガロスクロス 中延24店,スポーツクラブ/フィットネスクラブ
品川区,広町２丁目,-,東京都品川区広町2-1-19,35.612176,139.732641,SPORU(スポル),スポーツ施設/運動公園
品川区,小山３丁目,-,東京都品川区小山3-4-8 武蔵小山駅ビル 武蔵小山駅ビル 3F,35.620533,139.704374,フィットネスクラブ アトリオドゥーエ武蔵小山,スポーツクラブ/フィットネスクラブ
品川区,小山４丁目,-,東京都品川区小山4-8-20グローブホームズ武蔵小山2F,35.618477,139.703115,エニタイムフィットネス 武蔵小山店,スポーツクラブ/フィットネスクラブ
品川区,小山５丁目,-,東京都品川区小山5-24-14 コーポラスワタナベ1階,35.615127,139.699911,FASTGYM24(ファストジム トゥエンティフォー) 西小山店,スポーツクラブ/フィットネスクラブ
品川区,上大崎３丁目,-,東京都品川区上大崎3-5-4 第一田中ビル301,35.634468,139.719422,ファイトフィットガール 目黒白金店,スポーツクラブ/フィットネスクラブ
品川区,西五反田３丁目,-,東京都品川区西五反田3-10-12 2F,35.626857,139.71564,エニタイムフィットネス 不動前店,スポーツクラブ/フィットネスクラブ
品川区,西五反田７丁目,-,東京都品川区西五反田7-18-3,35.623307,139.718657,エニタイムフィットネス 五反田店,スポーツクラブ/フィットネスクラブ
品川区,西大井２丁目,-,東京都品川区西大井2-5-21,35.599172,139.722257,ウェルカムセンター原・交流施設,スポーツ施設/運動公園
品川区,大井１丁目,-,東京都品川区大井1-2-1,35.606124,139.734845,ジェクサー・フィットネスクラブ大井町,スポーツ施設/運動公園
品川区,大井１丁目,-,東京都品川区大井1-3-6 イトーヨーカドー大井町屋上,35.607215,139.733897,コミュニティアリー大井町,スポーツ施設/運動公園
品川区,大井４丁目,-,東京都品川区大井4-6-1 サクラビル 1F,35.603415,139.733113,エニタイムフィットネス 大井町店,スポーツクラブ/フィットネスクラブ
品川区,大崎２丁目,-,東京都品川区大崎2-1-1,35.618359,139.727513,ThinkPark Arena (シンクパークアリーナ),スポーツ施設/運動公園
品川区,東五反田１丁目,-,東京都品川区東五反田1-18-3 竹田ビル501,35.626677,139.726192,パーソナルトレーニングジムJOHNNY STYLE(ジョニースタイル) 五反田店,スポーツクラブ/フィットネスクラブ
品川区,東五反田２丁目,-,東京都品川区東五反田2-11-2,35.624531,139.728195,品川区総合体育館,スポーツ施設/運動公園
品川区,東五反田２丁目,-,東京都品川区東五反田2-3-3,35.625441,139.725799,TIPNESS(ティップネス) 五反田店,スポーツクラブ/フィットネスクラブ
品川区,東五反田２丁目,-,東京都品川区東五反田2-2-3 五反田ハタビル 1・2F,35.62554,139.72534,FEELCYCLE(フィールサイクル) 五反田,スポーツクラブ/フィットネスクラブ
品川区,東五反田４丁目,-,東京都品川区東五反田4-7-20 相生ビル 1F,35.630361,139.727955,エニタイムフィットネス 高輪台店,スポーツクラブ/フィットネスクラブ
品川区,東五反田５丁目,-,東京都品川区東五反田5-25-19 東京デザインセンター2階,35.627649,139.724354,Magma spastudio insea(マグマ スパスタジオ インシー)五反田店,スポーツクラブ/フィットネスクラブ
品川区,東大井５丁目,-,東京都品川区東大井5-2-1 おおい元気館4F,35.608029,139.735668,ゴールドジム サウス東京,スポーツクラブ/フィットネスクラブ
品川区,東中延２丁目,-,東京都品川区東中延2-1-5 ヴェルコート荏原中延壱番館1階,35.609255,139.712666,FASTGYM24(ファストジム トゥエンティフォー) 荏原中延店,スポーツクラブ/フィットネスクラブ
品川区,東八潮,-,東京都品川区東八潮3-1,35.620893,139.771378,日本財団パラアリーナ,スポーツ施設/運動公園
品川区,東品川２丁目,-,東京都品川区東品川2-2-8 スフィアタワー天王洲 24F,35.622825,139.749695,セントラルフィットネスクラブ 天王洲,スポーツクラブ/フィットネスクラブ
品川区,東品川３丁目,-,東京都品川区東品川3-14-9,35.613779,139.746417,東品川公園弓道場,スポーツ施設/運動公園
品川区,東品川３丁目,-,東京都品川区東品川3-14-9,35.613779,139.746417,品川区立弓道場,スポーツ施設/運動公園
品川区,東品川４丁目,-,東京都品川区東品川4-11-34,35.607681,139.747405,FUT MESSE品川店(フットメッセシナガワテン),スポーツ施設/運動公園
品川区,東品川４丁目,-,東京都品川区東品川4丁目10-1,35.607946,139.745872,コナミスポーツクラブ,スポーツ施設/運動公園
品川区,南大井６丁目,-,東京都品川区南大井6-27-25 西友大森店地下1F,35.588229,139.730137,アクトスWill(ウィル)大森,スポーツクラブ/フィットネスクラブ
品川区,南大井６丁目,-,東京都品川区南大井6-3-8 ガーデニア大森 2F,35.592248,139.733475,エニタイムフィットネス 大森店,スポーツクラブ/フィットネスクラブ
品川区,南品川２丁目,-,東京都品川区南品川2-2-7 南品川Jビル B1,35.612215,139.742182,エニタイムフィットネス 南品川店,スポーツクラブ/フィットネスクラブ
品川区,二葉４丁目,-,東京都品川区二葉4-1-20 MC中延ビル 1・3F,35.603518,139.713565,JOY FIT(ジョイ フィット)24 中延,スポーツクラブ/フィットネスクラブ
品川区,八潮４丁目,-,東京都品川区八潮4丁目1番19号他,35.592498,139.75231,大井ホッケー競技場,スポーツ施設/運動公園
品川区,八潮４丁目,-,東京都品川区八潮4丁目1番19号,35.592498,139.75231,大井第二球技場 (大井ふ頭中央海浜公園スポーツの森),スポーツ施設/運動公園
品川区,八潮４丁目,-,東京都品川区八潮4-2-1,35.593384,139.749833,やしおスケートパーク,スポーツ施設/運動公園
品川区,八潮５丁目,-,東京都品川区八潮5-5-3,35.599607,139.750252,フットサルコート品川,スポーツ施設/運動公園
品川区,豊町２丁目,-,東京都品川区豊町2-1-17,35.610818,139.720619,戸越体育館,スポーツ施設/運動公園
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-7-6 日本橋日興美装ビル2F,35.683283,139.775622,ヨガスタジオ シャンティ201,スポーツクラブ/フィットネスクラブ
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋S.C.新館4F,35.681338,139.773793,ニュートラルワークス.ニホンバシ 日本橋高島屋S.C.店,スポーツクラブ/フィットネスクラブ
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-2-20 日本橋仲通りビル 6F,35.68203,139.771968,CREBIQ(クレビック) 東京日本橋店,スポーツクラブ/フィットネスクラブ
中央区,日本橋本町１丁目,日八京,東京都中央区日本橋本町1-4-9 ミヤギ日本橋ビル 1-2F,35.686475,139.776352,エニタイムフィットネス 日本橋本町店,スポーツクラブ/フィットネスクラブ
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町2-1-1 武田グローバル本社ビルB1F,35.687614,139.774535,ティップネス日本橋スタイル,スポーツクラブ/フィットネスクラブ
中央区,晴海５丁目,-,東京都中央区晴海5丁目9番,35.6490356,139.7741538,中央区立晴海運動場,スポーツ施設/運動公園
中央区,銀座７丁目,-,東京都中央区銀座7-13-12 サクセス銀座7ビル2F,35.667422,139.7639263,ライザップ  汐留店,スポーツクラブ/フィットネスクラブ
中央区,銀座４丁目,-,東京都中央区銀座4-2-17 銀座111レジャービル 11-13F,35.67276,139.764236,美健LABO フィットネス館,スポーツクラブ/フィットネスクラブ
中央区,勝どき１丁目,-,東京都中央区勝どき1-1 プラザ勝どき A棟2F,35.6612312,139.7764703,スポーツクラブNAS 勝どき,スポーツクラブ/フィットネスクラブ
中央区,銀座４丁目,-,東京都中央区銀座4-1 西銀座 B2F,35.6733837,139.7638581,エクササイズコーチ 銀座店,スポーツクラブ/フィットネスクラブ
中央区,月島１丁目,-,東京都中央区月島1-22-1 ミッドタワーグランド1F 112区画,35.6635508,139.7819026,【12/23オープン】Dr.stretch(ドクターストレッチ) 月島店,スポーツクラブ/フィットネスクラブ
中央区,銀座１丁目,-,東京都中央区銀座1-8-19 3F,35.674202,139.768671,Face Lift Lesson(フェイス レフト レッスン) スタジオ,スポーツクラブ/フィットネスクラブ
中央区,銀座１丁目,-,東京都中央区銀座1-6-2 山口興産銀座Aビル B1,35.674831,139.767926,jump one Ginza.1 (ジャンプワン 銀座),スポーツ施設/運動公園
中央区,銀座１丁目,-,東京都中央区銀座1丁目2-1,35.67521,139.767748,ゴールドジム銀座東京店,スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-11-14 銀座SLCビル,35.672094,139.768672,FiNC Fit(フィンクフィット) 銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-11-8 デュープレックス銀座タワー2/11 5F.6F,35.672162,139.768982,ライザップ  銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-8-12 ユニデン銀座ビル 9F・10F,35.672502,139.767681,b-monster GINZA studio(ビーモンスター ギンザ スタジオ),スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-9-13 GINZA-2ビル7F,35.672615,139.768165,APFCLUB 銀座 (エーピーエフクラブ),スポーツクラブ/フィットネスクラブ
中央区,銀座２丁目,-,東京都中央区銀座2-6-5 銀座トレシャス8F,35.673648,139.76715,サーフフィットスタジオ,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3-12-5 宏和ビル 3F,35.670781,139.769263,パーソナルトレーニングジム JOHNNY STYLE(ジョニー スタイル) 銀座店,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3-9-2,35.671922,139.768118,ヨガ教室ノア 銀座校,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3丁目4-12 文祥堂銀座ビルB1・2F,35.672634,139.765421,ゴールドジム銀座中央,スポーツクラブ/フィットネスクラブ
中央区,銀座３丁目,-,東京都中央区銀座3-2-1 マロニエゲート銀座2 RF,35.673702,139.765167,The 銀座 de フットサル マロニゲート銀座2屋上,スポーツ施設/運動公園
中央区,銀座４丁目,-,東京都中央区銀座4-14-6 ウイント銀座8ヒル4F,35.669158,139.768906,RDC GYM(アールディーシージム),スポーツクラブ/フィットネスクラブ
