指標名,駅,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,
年次,2021/2/25取得,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,
備考,新幹線駅除く。乗降客数データは昨年から更新無し。,,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,乗降客数（2018年度）,駅コード（路線別）,駅コード（路線不問）
品川区,東大井２丁目,-,東京都品川区東大井２-２３-１,35.598489,139.738886,立会川,京急本線,京浜急行電鉄株式会社,"19,096",2700107,2700107
品川区,上大崎２丁目,-,東京都品川区上大崎二丁目16-9,35.633923,139.715775,目黒,JR山手線,東日本旅客鉄道株式会社,"220,438",1130203,1130203
品川区,上大崎４丁目,-,東京都品川区上大崎四丁目2-1,35.633272,139.715500,目黒,東急目黒線,東京急行電鉄株式会社,"276,680",2600201,1130203
品川区,上大崎４丁目,-,東京都品川区上大崎四丁目2-1,35.633272,139.715500,目黒,東京メトロ南北線,東京地下鉄株式会社,データ無し,2800919,1130203
品川区,上大崎４丁目,-,東京都品川区上大崎四丁目2-1,35.633272,139.715500,目黒,都営三田線,東京都交通局,データ無し,9930301,1130203
品川区,北品川１丁目,-,東京都品川区北品川１-１-４,35.622458,139.739191,北品川,京急本線,京浜急行電鉄株式会社,"9,612",2700103,2700103
品川区,小山３丁目,-,東京都品川区小山３-４-８,35.620538,139.704524,武蔵小山,東急目黒線,東京急行電鉄株式会社,"53,186",2600203,2600203
品川区,西五反田５丁目,-,東京都品川区西五反田５-１２-１,35.626526,139.714690,不動前,東急目黒線,東京急行電鉄株式会社,"30,805",2600202,2600202
品川区,東品川４丁目,-,東京都品川区東品川４-１２-２２,35.608524,139.749549,品川シーサイド,東京臨海高速鉄道りんかい線,東京臨海高速鉄道株式会社,"46,200",9933706,9933706
品川区,東品川２丁目,-,東京都品川区東品川２-５-１９,35.622908,139.750675,天王洲アイル,東京モノレール羽田空港線,東京モノレール株式会社,"31,303",9933602,9933602
品川区,東品川２丁目,-,東京都品川区東品川２-５-１９,35.620562,139.750793,天王洲アイル,東京臨海高速鉄道りんかい線,東京臨海高速鉄道株式会社,"39,100",9933705,9933602
品川区,中延４丁目,-,東京都品川区中延４-５-５,35.605710,139.712526,中延,東急大井町線,東京急行電鉄株式会社,"23,071",2600404,2600404
品川区,豊町６丁目,-,東京都品川区中延４-５-５,35.605769,139.713736,中延,都営浅草線,東京都交通局,"31,144",9930203,2600404
品川区,南大井３丁目,-,東京都品川区南大井３-３２-１,35.587576,139.735440,大森海岸,京急本線,京浜急行電鉄株式会社,"14,642",2700108,2700108
品川区,大崎４丁目,-,東京都品川区大崎４-１-１,35.622244,139.722339,大崎広小路,東急池上線,東京急行電鉄株式会社,"8,421",2600502,2600502
品川区,大崎１丁目,-,東京都品川区大崎一丁目21-4,35.619772,139.728439,大崎,JR山手線,東日本旅客鉄道株式会社,"321,640",1130201,1130201
