指標名,スーパー,,,,,
出典,NAVITIME,,,,,
年次,2021/2/3取得,,,,,
URL,https://www.navitime.co.jp/,,,,,
備考,（2019年度：327件、2020年度：458件）,,,,,
,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名
品川区,大井６丁目,-,東京都品川区大井6-9-34,35.5976364,139.7315136,トップパルケ 鹿島店
品川区,西大井５丁目,-,東京都品川区西大井5-5-34 ベルヴィル品川西大井,35.5996692,139.7155561,まいばすけっと 西大井5丁目店
品川区,西大井１丁目,-,東京都品川区西大井1-16-19 ザ・パークハビオ西大井,35.6006569,139.7259824,まいばすけっと 西大井1丁目店
品川区,北品川１丁目,-,東京都品川区北品川1-3-16,35.6227183,139.740095,マルエツプチ北品川一丁目店
品川区,南大井６丁目,-,東京都品川区南大井6-27-25,35.588229,139.730137,西友 大森店
品川区,南大井６丁目,-,東京都品川区南大井6-6-4 メゾンクレマツ,35.592281,139.732374,まいばすけっと 南大井6丁目店
品川区,西大井４丁目,-,東京都品川区西大井4-25-2 平井ビル内,35.592343,139.719224,まいばすけっと 山王銀座店
品川区,勝島１丁目,-,東京都品川区勝島1-6-16 ウィラ大井2F,35.597046,139.744576,スーパーマーケット文化堂 ウィラ大井店
品川区,南大井５丁目,-,東京都品川区南大井5-9-6 寺澤南大井ビル内,35.598174,139.73552,まいばすけっと 立会川駅西店
品川区,東大井２丁目,-,東京都品川区東大井2-22-13,35.599502,139.738816,まいばすけっと 立会川駅北店
品川区,八潮５丁目,-,東京都品川区八潮5-5-3 パトリア品川店内,35.599607,139.750252,SuperValue(スーパーバリュー) 品川八潮店
品川区,西大井２丁目,-,東京都品川区西大井2-3-4,35.600038,139.721814,文化堂西大井店
品川区,西大井１丁目,-,東京都品川区西大井1-4-25 コアスターレ西大井第一ビル,35.602078,139.722422,maruetsu(マルエツ) プチ 西大井駅前店
品川区,二葉４丁目,-,東京都品川区二葉4-16-2,35.602124,139.718412,まいばすけっと 二葉4丁目店
品川区,二葉４丁目,-,東京都品川区二葉4-9-10 柏木ビル1F,35.602416,139.717271,丸正食品 二葉町店
品川区,旗の台４丁目,-,東京都品川区旗の台4-4-1 カーサ旗の台 1F,35.603664,139.705836,まいばすけっと 旗の台店
品川区,大井４丁目,-,東京都品川区大井4-1-3 TOKOビル,35.603907,139.733177,まいばすけっと 大井町駅南店
品川区,八潮５丁目,-,東京都品川区八潮5丁目2-2,35.604468,139.7535,全日食チェーン品川八潮店
品川区,二葉２丁目,-,東京都品川区二葉2-4-20 グレイスビル,35.604955,139.725768,まいばすけっと 二葉2丁目店
品川区,豊町６丁目,-,東京都品川区豊町6-11-9,35.605255,139.718116,ビッグ・エー 品川豊町店
品川区,中延４丁目,-,東京都品川区中延4-5-7,35.605807,139.71297,東急ストアフードステーション 中延店
品川区,東大井５丁目,-,東京都品川区東大井5-18-1,35.606223,139.735889,西友 大井町店
品川区,大井２丁目,-,東京都品川区大井2-1-5,35.606539,139.729875,まいばすけっと 大井2丁目店
品川区,旗の台２丁目,-,東京都品川区旗の台2-7-12 アベイト103号室,35.606596,139.704199,まいばすけっと 旗の台2丁目店
品川区,中延３丁目,-,東京都品川区中延3-11-10,35.606678,139.710125,プロマート 文化堂 荏原店
品川区,西中延３丁目,-,東京都品川区西中延3-6-20 鏑木第一マンション,35.607128,139.708768,まいばすけっと 西中延3丁目店
品川区,二葉１丁目,-,東京都品川区二葉1-11-5,35.607134,139.728,丸正食品 大井町店
品川区,大井１丁目,-,東京都品川区大井1丁目3-6,35.607215,139.733897,イトーヨーカドー大井町店
品川区,南品川３丁目,-,東京都品川区南品川3-4-1,35.608172,139.743482,OK(オーケー) 青物横丁店
品川区,戸越５丁目,-,東京都品川区戸越5-15-4,35.609615,139.715317,OK(オーケー) 戸越店
品川区,東中延１丁目,-,東京都品川区中延2-8-1,35.610207,139.712082,荏原中延 東急ストア
品川区,東品川４丁目,-,東京都品川区東品川4-12-5,35.610727,139.749026,AEON STYLE(イオン スタイル) 品川シーサイド店
品川区,南品川２丁目,-,東京都品川区南品川2丁目7-12,35.61079,139.743809,株式会社平野屋堀江商店
品川区,南品川５丁目,-,東京都品川区南品川5-3-13 コスモグランス南品川内,35.611239,139.741799,まいばすけっと 青物横丁店
品川区,南品川５丁目,-,東京都品川区南品川5丁目3-29,35.61176,139.740344,miniピアゴ南品川5丁目店
品川区,戸越３丁目,-,東京都品川区戸越3-9-20,35.61212,139.71581,まいばすけっと戸越3丁目店
品川区,平塚３丁目,-,東京都品川区平塚3-13-10 福井マンション内,35.613454,139.712159,まいばすけっと 品川平塚3丁目店
品川区,荏原４丁目,-,東京都品川区荏原4-17-6,35.61398,139.705684,サミットストア 荏原4丁目店
品川区,戸越１丁目,-,東京都品川区戸越1-17-8,35.614933,139.719533,文化堂戸越銀座店
品川区,小山６丁目,-,東京都品川区小山6-4-5,35.615214,139.699411,サミットストア 西小山店
品川区,小山５丁目,-,東京都品川区小山5-22-11 松正ビル,35.615622,139.699498,まいばすけっと 西小山駅前店
品川区,小山６丁目,-,東京都品川区小山6-3-11,35.615671,139.698866,東急ストアフードステーション 西小山店
品川区,南品川１丁目,-,東京都品川区南品川1-4-20,35.61605,139.744506,まいばすけっと 南品川1丁目店
品川区,荏原２丁目,-,東京都品川区荏原2-17-19,35.616281,139.708899,業務スーパー 武蔵小山店
品川区,荏原３丁目,-,東京都品川区荏原3-5-4,35.616979,139.70809,パルム武蔵小山 東急ストア
品川区,大崎２丁目,-,東京都品川区大崎2-11-1,35.617031,139.729602,まいばすけっと 大崎駅前店
品川区,北品川２丁目,-,東京都品川区北品川2-24-7 クレヴィアリグゼ北品川,35.617963,139.743593,まいばすけっと 北品川2丁目店
品川区,大崎４丁目,-,東京都品川区大崎4-13-2,35.618185,139.719204,ライフ 大崎百反通店
品川区,大崎１丁目,-,東京都品川区大崎1-11-1 ゲートシティプラザ B1F,35.619368,139.730809,成城石井 ゲートシティ大崎店
品川区,大崎１丁目,-,東京都品川区大崎1-6-4-5,35.620256,139.729054,ライフ 大崎ニューシティ店
品川区,小山３丁目,-,東京都品川区小山3-4-8武蔵小山駅ビル2F,35.620533,139.704374,武蔵小山駅ビル 東急ストア
品川区,小山２丁目,-,東京都品川区小山2-7-14,35.620768,139.707978,ライフ 武蔵小山店
品川区,北品川５丁目,-,東京都品川区北品川5-4-1,35.621779,139.731793,LIFE DRUG+(ライフドラッグプラス) 品川御殿山店
品川区,東品川２丁目,-,東京都品川区東品川2-2-20 天王洲郵船ビル内,35.622123,139.75014,まいばすけっと 天王洲アイル店
品川区,北品川１丁目,-,東京都品川区北品川1-2-9,35.622288,139.739711,まいばすけっと 北品川駅東店
品川区,東品川１丁目,-,東京都品川区東品川1-5-10 Kiinu Blanc,35.622446,139.743907,まいばすけっと 東品川1丁目店
品川区,東五反田２丁目,-,東京都品川区東五反田2-10-1,35.624222,139.727269,foodium東五反田店
品川区,東五反田２丁目,-,東京都品川区東五反田2丁目19-6,35.624934,139.729725,ライフ東五反田店
品川区,東五反田２丁目,-,東京都品川区東五反田2-1-2,35.625516,139.724534,五反田 東急ストア
品川区,西五反田５丁目,-,東京都品川区西五反田5-9-2,35.62557,139.714586,maruetsu(マルエツ) プチ 不動前店
品川区,東五反田１丁目,-,東京都品川区東五反田1-24-2 東五反田1丁目ビル,35.62588,139.727366,maruetsu(マルエツ) プチ 五反田店
品川区,西五反田４丁目,-,東京都品川区西五反田4-8-8,35.626364,139.712439,Ozeki(オオゼキ) 目黒不動前店
品川区,西五反田２丁目,-,東京都品川区西五反田2-18-2 五反田KYビル,35.626637,139.720967,まいばすけっと 西五反田2丁目店
品川区,西五反田５丁目,-,東京都品川区西五反田5-1-28,35.626681,139.714794,不動前 東急ストア
品川区,東五反田１丁目,-,東京都品川区東五反田1-13-12 COI五反田ビル6F-601,35.626755,139.724574,キョウダイ マーケット
品川区,西五反田３丁目,-,東京都品川区西五反田3-6-20 西五反田アクセス,35.627874,139.71918,まいばすけっと 西五反田3丁目店
