指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2021/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2019年度：685件。2020年度：609件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
品川区,上大崎２丁目,-,東京都品川区上大崎2丁目18-18,35.63765,139.71546,日本基督教団 白金教会,教会
品川区,上大崎４丁目,-,東京都品川区上大崎4-6-22,35.63106,139.71547,カトリック東京大司教区 目黒教会,教会
品川区,東五反田５丁目,-,東京都品川区東五反田5-25-1,35.62935,139.72275,天理教 大教会 日本橋,教会
品川区,北品川６丁目,-,東京都品川区北品川6丁目5-26,35.62609,139.73122,ドイツ語福音教会,教会
品川区,小山台１丁目,-,東京都品川区小山台1丁目7-6,35.62343,139.70641,正法会,教会
品川区,北品川４丁目,-,東京都品川区北品川4-7-40,35.62043,139.73662,キリスト品川教会,教会
品川区,大崎４丁目,-,東京都品川区大崎4丁目2-47,35.62027,139.72233,天理教 分教会 本品川,教会
品川区,荏原１丁目,-,東京都品川区荏原1-6-10,35.61999,139.71377,天理教品川分教会,教会
品川区,北品川２丁目,-,東京都品川区北品川2-9-17,35.61818,139.74304,聖書友の会北品川教会,教会
品川区,小山４丁目,-,東京都品川区小山4丁目4-13,35.61818,139.70311,日本基督教団 むさし小山教会,教会
品川区,西品川３丁目,-,東京都品川区西品川3丁目18-6,35.61588,139.72656,天元教,教会
品川区,西品川３丁目,-,東京都品川区西品川3丁目12-6,35.61588,139.72656,日本聖公会東京教区 東京聖マリア教会,教会
品川区,荏原４丁目,-,東京都品川区荏原4丁目11-15,35.61575,139.70681,天理教 分教会 東瑞,教会
品川区,荏原６丁目,-,東京都品川区荏原6丁目9-12,35.61221,139.70406,品川ベテル教会,教会
品川区,東中延１丁目,-,東京都品川区東中延1丁目4-11,35.61104,139.7138,天理教 分教会 城京,教会
品川区,荏原７丁目,-,東京都品川区荏原7丁目17-9,35.61097,139.70085,宗教法人天理教平形分教会,教会
品川区,戸越５丁目,-,東京都品川区戸越5-17-10,35.60996,139.71744,聖イエス会栄光教会,教会
品川区,戸越５丁目,-,東京都品川区戸越5丁目13-10,35.60996,139.71744,金光教大崎教会,教会
品川区,旗の台１丁目,-,東京都品川区旗の台1-9-19,35.60911,139.7033,パーフェクトリバティー教団品川教会,教会
品川区,戸越６丁目,-,東京都品川区戸越6丁目16-12,35.60756,139.71648,天理教 分教会 南荏原,教会
品川区,旗の台６丁目,-,東京都品川区旗の台6丁目22-24,35.60696,139.69898,日本聖公会東京教区 三光教会,教会
品川区,旗の台２丁目,-,東京都品川区旗の台2-8-3,35.60692,139.70439,日本基督教団洗足教会,教会
品川区,大井２丁目,-,東京都品川区大井2-5-17,35.60507,139.72902,天理教 大教会 本荏,教会
品川区,旗の台５丁目,-,東京都品川区旗の台5-27-11,35.60329,139.70121,旗の台キリスト教会,教会
品川区,旗の台４丁目,-,東京都品川区旗の台4-15-8,35.60296,139.70494,天理教 分教会 東平,教会
品川区,東大井３丁目,-,東京都品川区東大井3-10-5,35.60164,139.73807,大井町教会,教会
品川区,東大井３丁目,-,東京都品川区東大井3丁目7-10,35.60164,139.73807,天理教 分教会 本品,教会
品川区,大井５丁目,-,東京都品川区大井5丁目10-12,35.59865,139.72798,大井バプテスト教会,教会
品川区,西大井４丁目,-,東京都品川区西大井4-6-18,35.5951,139.7196,日本基督教団 西大井教会,教会
品川区,上大崎１丁目,-,東京都品川区上大崎1丁目10-32,35.6341,139.72328,浄土宗本願寺,寺院
品川区,上大崎１丁目,-,東京都品川区上大崎1-9-24,35.6341,139.72328,隆崇院,寺院
品川区,上大崎１丁目,-,東京都品川区上大崎1丁目10-30,35.6341,139.72328,常光寺,寺院
品川区,上大崎１丁目,-,東京都品川区上大崎1丁目5-24,35.6341,139.72328,宝蔵寺,寺院
品川区,上大崎１丁目,-,東京都品川区上大崎1丁目9-11,35.6341,139.72328,戒法寺,寺院
品川区,上大崎１丁目,-,東京都品川区上大崎1-5-15,35.6341,139.72328,清岸寺,寺院
品川区,上大崎１丁目,-,東京都品川区上大崎1丁目5-10,35.6341,139.72328,光取寺,寺院
品川区,上大崎１丁目,-,東京都品川区上大崎1丁目5-13,35.6341,139.72328,月窓院,寺院
品川区,東五反田５丁目,-,東京都品川区東五反田5-15-17,35.62935,139.72275,薬師寺東京別院,寺院
品川区,東五反田３丁目,-,東京都品川区東五反田3丁目6-17,35.62797,139.72931,本立寺,寺院
品川区,西五反田４丁目,-,東京都品川区西五反田4丁目12-1,35.62614,139.71117,安養院,寺院
品川区,大崎３丁目,-,東京都品川区大崎3丁目8-12,35.61943,139.72567,観音寺,寺院
品川区,北品川３丁目,-,東京都品川区北品川3-7-22,35.61922,139.73906,清徳寺,寺院
品川区,北品川２丁目,-,東京都品川区北品川2-4-18,35.61818,139.74304,一心寺,寺院
品川区,北品川２丁目,-,東京都品川区北品川2丁目20-25,35.61818,139.74304,本照寺,寺院
品川区,南品川１丁目,-,東京都品川区南品川1丁目10-17,35.61587,139.74322,本榮寺,寺院
品川区,南品川１丁目,-,東京都品川区南品川1-1-1,35.61587,139.74322,妙蓮寺,寺院
品川区,南品川１丁目,-,東京都品川区南品川1丁目10-18,35.61587,139.74322,蓮長寺,寺院
品川区,南品川１丁目,-,東京都品川区南品川1-10-11,35.61587,139.74322,本覚寺,寺院
品川区,南品川４丁目,-,東京都品川区南品川4-2-17,35.61413,139.73867,天龍寺,寺院
品川区,南品川４丁目,-,東京都品川区南品川4丁目2-35,35.61413,139.73867,清光院,寺院
品川区,南品川４丁目,-,東京都品川区南品川4丁目4-2,35.61413,139.73867,海蔵寺,寺院
