指標名,ホール・劇場,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,
年次,2020年7月,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯
品川区,北品川３丁目,-,品川区北品川3-11-22 　品川保健センター4-7F,35.616524,139.740676,品川健康センター〔ホール〕,03-5782-8507,http://www.shinagawa.esforta.jp/02_shinagawa.html,150,, ,平タイプ,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ダンス・パフォーマンス,合唱,講演会",,利用条件の設定,<NULL>,
品川区,北品川２丁目,-,品川区北品川2-32-3,35.616886,139.742457,一般財団法人六行会〔六行会ホール〕,03-3471-3200,https://www.rikkoukai.com,248,248,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,講演会","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会",一般に貸出している,,
品川区,北品川１丁目,-,品川区北品川1-3-5 　吉川ビル,35.623676,139.739438,SUR'S CLUB,03-5796-2278,http://www.studio-sur.jp/,,, ,,,,,,,
品川区,八潮５丁目,-,品川区八潮5-10-27,35.600184,139.751450,八潮区民集会所〔レクホール〕,03-3799-2000,http://www.city.shinagawa.tokyo.jp/hp/menu000007300/hpg000007246.htm,110,110, ,ｱﾘｰﾅ・平土間形式,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"お笑い・寄席・演劇,バレエ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","お笑い・寄席・演劇,バレエ,講演会",利用条件の設定,区民集会所利用登録をしている団体,
品川区,東品川２丁目,-,品川区東品川2-3-16　シーフォートスクエア2F,35.623452,139.751301,天王洲　銀河劇場,03-5769-0030,https://www.gingeki.jp/,746,746,ﾌﾟﾛｾﾆｱﾑ形式,,"固定席,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)","ポップス,演劇,ミュージカル,お笑い・寄席・演劇,ダンス・パフォーマンス","演劇,ミュージカル",一般に貸出している,,
品川区,東大井５丁目,-,品川区東大井5-18-1,35.606223,139.735889,品川区立総合区民会館　きゅりあん〔大ホール〕,03-5479-4112,http://www.shinagawa-culture.or.jp/hp/menu000000300/hpg000000242.htm,1088,1088,ﾌﾟﾛｾﾆｱﾑ形式,扇型形式,固定席,"ポップス,クラシック,演歌・歌謡曲,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会",一般に貸出している,,
品川区,東大井５丁目,-,品川区東大井5-18-1,35.606223,139.735889,品川区立総合区民会館　きゅりあん〔小ホール〕,03-5479-4112,http://www.shinagawa-culture.or.jp/hp/menu000000300/hpg000000242.htm,282,341,ﾌﾟﾛｾﾆｱﾑ形式,扇型形式,"固定席,ﾛｰﾙﾊﾞｯｸﾁｪｱ","ポップス,クラシック,演歌・歌謡曲,演劇,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","ポップス,クラシック,演歌・歌謡曲,演劇,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会",一般に貸出している,,
品川区,中延３丁目,-,品川区中延3-8-7 　サンハイツ中延B1F,35.607722,139.712016,ボナペティ,03-3787-3634,http://bonappetit-live.com/,60,60, ,,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,クラシック,演歌・歌謡曲,ジャズ,ミュージカル,世界の民族音楽,お笑い・寄席・演劇,オペラ,ダンス・パフォーマンス,合唱","ポップス,クラシック,ジャズ,世界の民族音楽,オペラ,合唱",一般に貸出している,,<NULL>
品川区,中延１丁目,-,品川区中延1-9-15,35.612166,139.710676,品川区立荏原文化センター〔大ホール〕,03-3785-1241,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,437,500,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","ポップス,演歌・歌謡曲,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,講演会",一般に貸出している,,<NULL>
品川区,中延１丁目,-,品川区中延1-9-15,35.612166,139.710676,品川区立荏原文化センター〔レクリエーションホール〕,03-3785-1241,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,135,135, ,"ｱﾘｰﾅ・平土間形式,扇型形式",可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"演劇,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","演劇,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会",一般に貸出している,,<NULL>
