指標名,観光地,,,,,,,,
出典,Tripadvisor,,,,,,,,
年次,2021/2/17 取得,,,,,,,,
URL,https://www.tripadvisor.jp/,,,,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件）",,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,星,レビュー数
品川区,勝島１丁目,-,東京都品川区勝島１丁目・八潮５丁目,35.600189,139.748734,かもめ橋,名所・有名スポット,3,1件
品川区,北品川１丁目,-,東京都品川区北品川１－２２－１６,35.531483,139.701536,問屋場,,3,6件
品川区,西五反田５丁目,-,東京都品川区西五反田５－６－３,35.916705,139.629772,氷川神社,名所・有名スポット,4,7件
品川区,東品川２丁目,-,東京都品川区東品川２丁目,35.618221,139.749405,アイル橋,名所・有名スポット,3.5,3件
品川区,東品川５丁目,-,東京都品川区東品川５－９,35.621895,139.752518,品川ふ頭橋,名所・有名スポット,3,2件
品川区,八潮４丁目,-,東京都品川区八潮４丁目,35.595768,139.747879,勝島橋,名所・有名スポット,3,1件
品川区,荏原１丁目,-,東京都品川区荏原２－９－１８,35.619766,139.716049,旧中原街道供養塔群,名所・有名スポット,3,6件
品川区,荏原１丁目,-,東京都品川区荏原１－１６－４,35.619507,139.716309,荏原金刀比羅神社,名所・有名スポット,4,2件
品川区,荏原１丁目,-,東京都品川区荏原１－１－２,35.621738,139.712921,霊源寺,名所・有名スポット,2.5,2件
品川区,荏原６丁目,-,東京都品川区荏原６－２－１３,35.612694,139.702835,葛原神社,名所・有名スポット,3,4件
品川区,荏原７丁目,-,東京都品川区荏原７－６－９,35.611763,139.700348,摩耶寺,名所・有名スポット,3,10件
品川区,荏原７丁目,-,東京都品川区荏原７－５－１４,35.611889,139.699432,小山八幡神社,名所・有名スポット,3,9件
品川区,旗の台３丁目,-,東京都品川区旗の台３－６－１２,35.604653,139.707929,旗岡八幡神社,,3.5,13件
品川区,戸越１丁目,-,東京都品川区戸越１－１５－２３,35.615707,139.717590,戸越台中学校温水プール,,5,1件
品川区,戸越２丁目,-,東京都品川区戸越２－６－２３,35.613789,139.720245,戸越八幡神社,,4,26件
品川区,戸越２丁目,-,東京都品川区戸越２－９,35.612720,139.720642,笠森稲荷神社,名所・有名スポット,4,2件
品川区,戸越２丁目,-,東京都品川区戸越２－６－３１,35.613342,139.719864,行慶寺,名所・有名スポット,3,1件
品川区,戸越６丁目,-,東京都江東区南砂６－７－１５,35.608748,139.714551,正光 画廊,美術館・博物館,,
品川区,広町２丁目,-,東京都品川区広町２－１－１８,35.608265,139.733355,積水ハウスミュージカルシアター四季劇場[夏],シアター,4.5,39件
品川区,広町２丁目,-,東京都品川区広町２－１－１８,35.608246,139.732590,キャッツシアター,シアター,4,22件
品川区,広町２丁目,-,東京都品川区広町２－１－１９,35.608494,139.731857,スポル 品川大井町,,3.5,15件
品川区,勝島２丁目,-,東京都品川区勝島２－１－２,35.593803,139.743515,大井競馬場,,4,132件
品川区,勝島２丁目,-,東京都品川区勝島２－１－２,35.595871,139.743515,大井競馬場 フリーマーケット,,4,52件
品川区,勝島２丁目,-,東京都品川区勝島２－１－２大井競馬場,35.593704,139.744781,TOKYO MEGA ILLUMINATION,名所・有名スポット,3.5,5件
品川区,勝島３丁目,-,東京都品川区勝島３－２－１しながわ区民公園内,35.588474,139.737503,しながわ水族館,自然・公園,4,436件
品川区,勝島３丁目,-,東京都品川区勝島３－２－２,35.592062,139.739099,しながわ区民公園,自然・公園,4,53件
品川区,小山２丁目,-,東京都品川区小山２－１５,35.620277,139.709915,京極稲荷神社,名所・有名スポット,3,3件
品川区,小山３丁目,-,東京都品川区小山３丁目,35.618615,139.705579,武蔵小山商店街パルム,,4,124件
品川区,小山５丁目,-,東京都品川区小山５－８－７,35.617050,139.702723,三谷八幡神社,,4,7件
品川区,小山台２丁目,-,東京都品川区小山台二丁目,35.625032,139.703267,林試の森公園,自然・公園,4,157件
品川区,上大崎１丁目,-,東京都品川区上大崎１－９－２４,35.634060,139.723495,隆崇院,名所・有名スポット,3,8件
品川区,上大崎１丁目,-,東京都品川区上大崎１－１０－３７,35.634548,139.724854,最上寺,名所・有名スポット,3.5,8件
品川区,上大崎１丁目,-,東京都品川区上大崎１－１０－３２,35.634231,139.724792,本願寺,名所・有名スポット,3,9件
品川区,上大崎１丁目,-,東京都品川区上大崎１－５－２４,35.633511,139.723984,宝蔵寺,名所・有名スポット,3,8件
品川区,上大崎１丁目,-,東京都品川区上大崎１－９－１１,35.634136,139.723938,戒法寺,名所・有名スポット,3,7件
品川区,上大崎１丁目,-,東京都品川区上大崎１－５－１０,35.635002,139.723114,光取寺,名所・有名スポット,3,7件
品川区,上大崎１丁目,-,東京都品川区上大崎１－５－１３,35.634655,139.723022,月窓院,名所・有名スポット,2.5,6件
品川区,上大崎２丁目,-,東京都品川区上大崎２－１３－３６,35.634207,139.717377,誕生八幡神社,名所・有名スポット,3,22件
品川区,上大崎２丁目,-,東京都品川区上大崎２－１３－３６,35.634475,139.717328,高福院,名所・有名スポット,3,15件
品川区,上大崎２丁目,-,東京都品川区上大崎２－２５－５久米ビル８Ｆ,35.634623,139.714670,久米美術館,美術館・博物館,3,4件
品川区,上大崎２丁目,-,東京都品川区上大崎２,35.640621,139.717422,吉田翁碑,名所・有名スポット,3,4件
品川区,上大崎２丁目,-,東京都品川区上大崎２－２４－１３,35.635211,139.714617,ギャルリ カプリス,美術館・博物館,,
品川区,上大崎３丁目,-,東京都品川区上大崎,35.633149,139.715792,アトレ目黒1.2,,3.5,106件
品川区,上大崎３丁目,-,東京都品川区上大崎３－３－１目黒駅から３分,35.633867,139.717943,自転車文化センター,美術館・博物館,3,12件
品川区,上大崎３丁目,-,東京都品川区上大崎３－１－１,35.633430,139.716507,目黒セントラルスクエア,名所・有名スポット,3.5,7件
品川区,上大崎４丁目,-,東京都品川区上大崎４－６－２２,35.632284,139.715259,カトリック目黒教会,,4,11件
品川区,上大崎４丁目,-,東京都品川区上大崎４－６－１９,35.631622,139.715851,杉野学園衣裳博物館,美術館・博物館,3.5,8件
品川区,上大崎４丁目,-,東京都品川区上大崎４－６－９,35.630100,139.716339,十四世喜多六平太記念能楽堂,シアター,3,4件
品川区,西五反田４丁目,-,東京都品川区西五反田４丁目,35.625214,139.711349,かむろ坂,,4,29件
品川区,西五反田６丁目,-,東京都品川区西五反田６－５－１,35.622459,139.716660,品川区立五反田文化センタープラネタリウム,美術館・博物館,4,7件
品川区,西五反田６丁目,-,東京都品川区西五反田６－２２－３,35.620182,139.716599,子別れ地蔵,名所・有名スポット,3,4件
品川区,西五反田７丁目,-,東京都品川区西五反田７－２２－１７,35.621941,139.718964,五反田 Toc,,3.5,63件
品川区,西大井５丁目,-,東京都品川区西大井５－２２－２５,35.596860,139.717244,養玉院如来寺,,4,8件
品川区,西大井６丁目,-,東京都品川区西大井６－１０－１８,35.600323,139.720078,伊藤博文公墓所,名所・有名スポット,4,4件
品川区,西品川１丁目,-,東京都品川区西品川１－２７－２０,35.609230,139.728912,しながわ中央公園,自然・公園,3.5,6件
品川区,西品川３丁目,-,東京都品川区西品川３－１６－３１,35.615200,139.726196,貴船神社,名所・有名スポット,3.5,2件
品川区,大井１丁目,-,東京都品川区大井１－２－１,35.606182,139.734909,アトレ大井町,,4,71件
品川区,大井１丁目,-,東京都品川区大井１－５０－５,35.606087,139.734329,阪急大井町ガーデン,,3.5,21件
品川区,大井１丁目,-,東京都品川区大井１－１４－３,35.607522,139.731378,大井蔵王権現神社,名所・有名スポット,3.5,13件
品川区,大井１丁目,-,東京都品川区大井１－１４－１しながわ観光協会,35.607697,139.731476,しなかんPlaza,,3,6件
品川区,大井１丁目,-,東京都品川区大井１－３－６,35.607208,139.733887,品川区民ギャラリー,美術館・博物館,3.5,4件
品川区,大井１丁目,-,東京都品川区大井１,35.605930,139.734238,大井町駅前シナモロールオブジェ,名所・有名スポット,4,1件
品川区,大井１丁目,-,東京都品川区大井１－１－１,35.607590,139.735077,エトモ大井町,,3,5件
品川区,大井１丁目,-,東京都品川区大井１－３－６,35.607184,139.734185,コミュニティアリーナ大井町,名所・有名スポット,3,1件
品川区,大井１丁目,-,東京都品川区大井１－３－６,35.607204,139.734024,イトーヨーカドー 大井町店,,4,3件
品川区,大井１丁目,-,東京都品川区大井１－２－１アトレ大井町４階,35.606232,139.734741,大井町ロフト,,,
品川区,大井６丁目,-,東京都品川区大井６－１１－１,35.596630,139.730194,立品川歴史館,美術館・博物館,4,33件
品川区,大井６丁目,-,東京都品川区大井６－２１,35.593273,139.730270,大森貝塚遺跡庭園,自然・公園,3.5,62件
品川区,大井６丁目,-,東京都品川区大井６－１８－３６,35.595650,139.729675,鹿嶋神社,,3.5,29件
品川区,大井６丁目,-,東京都品川区大井６－１８－８,35.595852,139.730743,来迎院,名所・有名スポット,3,2件
品川区,大崎１丁目,-,東京都品川区大崎１－１１－１,35.618587,139.731863,ゲートシティ大崎 イースト・ウエストタワー,,4,75件
品川区,大崎１丁目,-,東京都品川区大崎１－６－４,35.620355,139.729347,大崎ニューシティー,,3.5,25件
品川区,大崎１丁目,-,東京都品川区大崎１－６－２大崎ニューシティ２号館２Ｆ,35.620983,139.729156,O美術館,美術館・博物館,3.5,12件
品川区,大崎１丁目,-,東京都品川区大崎１－１－２,35.624069,139.725510,大崎光の滝公園,自然・公園,3,4件
品川区,大崎２丁目,-,東京都品川区大崎２－２－１１,35.618431,139.726334,ひふみ公園,自然・公園,3.5,3件
品川区,大崎３丁目,-,東京都品川区大崎３－８－２０,35.619881,139.725275,居木神社,,4,28件
品川区,大崎３丁目,-,東京都品川区大崎３－８－１２,35.619942,139.725647,観音寺,名所・有名スポット,3.5,7件
品川区,大崎３丁目,-,東京都品川区大崎３－６－７,35.620225,139.727153,大崎ウェストギャラリー,美術館・博物館,3,1件
品川区,中延５丁目,-,東京都品川区中延５－３－８,35.603750,139.708747,弁天通り公園,自然・公園,3,4件
品川区,東五反田１丁目,-,東京都品川区東五反田１－２－３３,35.628882,139.726855,雉子神社,名所・有名スポット,4,5件
品川区,東五反田２丁目,-,東京都品川区東五反田２－９,35.624027,139.726273,五反田ふれあい水辺広場,自然・公園,4,54件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１－２,35.625498,139.724570,レミィ五反田,,3.5,34件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１８－１大崎フォレストビルディング,35.624344,139.729553,容器文化ミュージアム,美術館・博物館,3.5,8件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１５－２０,35.622352,139.729048,御成橋公園,自然・公園,3.5,4件
品川区,東五反田２丁目,-,東京都品川区東五反田２－１－１４,35.624599,139.725113,五反田南公園,自然・公園,3,5件
品川区,東五反田２丁目,-,東京都品川区東五反田２－５－１５,35.624911,139.728460,ギャラリー テオ,美術館・博物館,,
品川区,東五反田３丁目,-,東京都品川区東五反田３－１６－２１清泉女子大学,35.627312,139.728973,旧島津公爵邸,,4,22件
品川区,東五反田３丁目,-,東京都品川区東五反田３－６－２０,35.630404,139.729129,袖ヶ崎神社,名所・有名スポット,3.5,4件
品川区,東五反田３丁目,-,東京都品川区東五反田３－６－１７,35.630108,139.728867,本立寺,名所・有名スポット,3,3件
品川区,東五反田５丁目,-,東京都品川区東五反田５－１９－５,35.630360,139.722443,ねむの木の庭,自然・公園,4,33件
品川区,東五反田５丁目,-,東京都品川区東五反田５－４－３５,35.632300,139.723482,池田山公園,自然・公園,4,35件
品川区,東五反田５丁目,-,東京都品川区東五反田５－１５－１７,35.628494,139.722382,薬師寺 東京別院,,4,14件
品川区,東五反田５丁目,-,東京都品川区東五反田５－４－６,35.631676,139.723755,池田山公園ギャラリー,美術館・博物館,4,16件
品川区,東五反田５丁目,-,東京都品川区東五反田５－２１－２,35.628735,139.721252,ギャルリーハニー,美術館・博物館,,
