指標名,大学キャンパス,,,,,,,
出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
年次,JPC2021,,,,,,,
URL,https://kyouikusolution.co.jp/,,,,,,,
備考,JPC2021データ,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
港区,赤坂４丁目,赤坂,東京都港区赤坂４－１－２６,35.676397,139.734702,国際医療福祉大学,東京赤坂キャンパス,私立
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町３－２６,35.682187,139.737669,城西国際大学,東京紀尾井町キャンパス,私立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－７－３,35.691664,139.696947,東京国際工科専門職大学,-,私立
江東区,塩浜２丁目,-,東京都江東区塩浜２－２２－１０,35.664787,139.813021,東京保健医療専門職大学,-,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－１－２学術総合センター内,35.692443,139.758097,一橋大学,千代田キャンパス,国立
港区,六本木７丁目,六本木,東京都港区六本木７－２２－１,35.663832,139.727296,政策研究大学院大学,-,国立
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台２－３－１０,35.700773,139.761024,東京医科歯科大学,駿河台キャンパス,国立
港区,港南４丁目,-,東京都港区港南４－５－７,35.624655,139.747134,東京海洋大学,品川キャンパス,国立
江東区,越中島２丁目,-,東京都江東区越中島２－１－６,35.668089,139.791239,東京海洋大学,越中島キャンパス,国立
港区,芝浦３丁目,-,東京都港区芝浦３－３－６,35.644059,139.747245,東京工業大学,田町キャンパス,国立
港区,白金台４丁目,-,東京都港区白金台４－６－１,35.639915,139.725068,東京大学,白金台キャンパス,国立
品川区,東大井１丁目,-,東京都品川区東大井１－１０－４０,35.606649,139.749261,産業技術大学院大学,-,公立
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－１１－１パシフィックセンチュリープレイス丸の内９階,35.678055,139.766885,ＳＢＩ大学院大学,-,私立
千代田区,二番町,-,東京都千代田区二番町５－１住友不動産麹町ビル,35.685444,139.736659,グロービス経営大学院大学,東京校,私立
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台４－６御茶ノ水ソラシティアカデミア３Ｆ／４Ｆ,35.698694,139.766319,デジタルハリウッド大学,駿河台キャンパス,私立
港区,六本木６丁目,六本木,東京都港区六本木６－４－１六本木ヒルズハリウッドプラザ,35.661488,139.729448,ハリウッド大学院大学,-,私立
千代田区,二番町,-,東京都千代田区ニ番町３麹町スクエア２Ｆ,35.686095,139.737301,ビジネス・ブレークスルー大学,-,私立
渋谷区,松涛２丁目,-,東京都渋谷区松濤２－３－１０,35.660666,139.689137,ヤマザキ動物看護大学,渋谷キャンパス,私立
新宿区,戸山３丁目,-,東京都新宿区戸山３－２０－１,35.707479,139.712360,学習院女子大学,戸山キャンパス,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－２－１,35.693167,139.757222,共立女子大学,神田一ツ橋キャンパス,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－２－１,35.693167,139.757222,共立女子大学,神田一ツ橋キャンパス（本館）,私立
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町３－２７,35.694547,139.754860,共立女子大学,神田一ツ橋キャンパス（３号館）,私立
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町３－２７,35.694547,139.754860,共立女子大学,神田一ツ橋キャンパス,私立
港区,三田２丁目,-,東京都港区三田２－１５－４５,35.648366,139.743172,慶應義塾大学,三田キャンパス,私立
港区,芝公園１丁目,-,東京都港区芝公園１－５－３０,35.658422,139.751686,慶應義塾大学,芝共立キャンパス,私立
新宿区,信濃町,-,東京都新宿区信濃町３５,35.681433,139.719160,慶應義塾大学,信濃町キャンパス,私立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－２４－２,35.690506,139.695685,工学院大学,新宿キャンパス,私立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－７－３,35.691664,139.696947,国際ファッション専門職大学,東京キャンパス,私立
新宿区,百人町３丁目,-,東京都新宿区百人町３－２３－１,35.705667,139.698292,桜美林大学,新宿百人町キャンパス,私立
新宿区,四谷１丁目,-,東京都新宿区四谷１－２１,35.685373,139.728800,桜美林大学,四谷キャンパス,私立
港区,南青山３丁目,-,東京都港区南青山３－１３－１６,35.665375,139.713659,事業構想大学院大学,-,私立
渋谷区,東１丁目,-,東京都渋谷区東１－１－４９,35.657929,139.710110,実践女子大学,渋谷キャンパス,私立
港区,芝浦３丁目,-,東京都港区芝浦３－９－１４,35.643371,139.749679,芝浦工業大学,芝浦キャンパス,私立
江東区,豊洲３丁目,-,東京都江東区豊洲３－７－５,35.660721,139.795726,芝浦工業大学,豊洲キャンパス,私立
