指標名,バス停,,,,,NAVITIMEの検索区分ではなく、緯度経度情報をもとに位置情報を掲載。,,,,,,,,
出典,NAVITIME,,,,,昨年度から名称が変更されたバス停がある,,,,,,,,
年次,2022/2/3取得,,,,,例：「高齢者ケアセンター」→「かんなみの杜・渋谷」,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,　　「東品川シルバーセンター前」→「東品川ゆうゆうプラザ前」,,,,,,,,
備考,路線ごとに1データあるので、エリアごとのバス停の数が知りたい場合は「1÷路線数」を合計する。,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面１,方面URL1,方面２,方面ULR２
江東区,永代１丁目,-,東京都江東区永代１丁目３　,35.67540,139.78953,佐賀一丁目,2,0.500,東２２,[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00016890/00004184/1/,東京駅丸の内北口方面,https://www.navitime.co.jp/diagram/bus/00016890/00004184/0/
江東区,永代１丁目,-,東京都江東区永代１丁目３　,35.67540,139.78953,佐賀一丁目,2,0.500,東２０,[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00016890/00004183/1/,東京駅丸の内北口方面,https://www.navitime.co.jp/diagram/bus/00016890/00004183/0/
江東区,永代２丁目,-,東京都江東区永代２丁目３１－１６　,35.67343,139.79252,永代二丁目,2,0.500,東２０,[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00016524/00004183/1/,東京駅丸の内北口方面,https://www.navitime.co.jp/diagram/bus/00016524/00004183/0/
江東区,永代２丁目,-,東京都江東区永代２丁目３１－１６　,35.67343,139.79252,永代二丁目,2,0.500,東２２,[都営バス],錦糸町駅前方面,https://www.navitime.co.jp/diagram/bus/00016524/00004184/1/,東京駅丸の内北口方面,https://www.navitime.co.jp/diagram/bus/00016524/00004184/0/
江東区,越中島２丁目,-,東京都江東区越中島２丁目２　,35.66724,139.79351,東京海洋大学越中島校舎前,2,0.500,門１９,[都営バス],門前仲町（バス）方面,https://www.navitime.co.jp/diagram/bus/00017245/00004317/1/,深川車庫前/東京ビッグサイト〔バス〕方面,https://www.navitime.co.jp/diagram/bus/00017245/00004317/0/
江東区,越中島２丁目,-,東京都江東区越中島２丁目２　,35.66724,139.79351,東京海洋大学越中島校舎前,2,0.500,海０１,[都営バス],東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00017245/00004231/1/,門前仲町（バス）方面,https://www.navitime.co.jp/diagram/bus/00017245/00004231/0/
江東区,越中島２丁目,-,東京都江東区越中島２丁目２－２０　,35.66921,139.79167,越中島,3,0.333,門１９,[都営バス],門前仲町（バス）方面,https://www.navitime.co.jp/diagram/bus/00016534/00004317/1/,深川車庫前/東京ビッグサイト〔バス〕方面,https://www.navitime.co.jp/diagram/bus/00016534/00004317/0/
江東区,越中島２丁目,-,東京都江東区越中島２丁目２－２０　,35.66921,139.79167,越中島,3,0.333,海０１,[都営バス],東京テレポート駅前方面,https://www.navitime.co.jp/diagram/bus/00016534/00004231/1/,門前仲町（バス）方面,https://www.navitime.co.jp/diagram/bus/00016534/00004231/0/
江東区,越中島２丁目,-,東京都江東区越中島２丁目２－２０　,35.66921,139.79167,越中島,3,0.333,門３３,[都営バス],亀戸駅前方面,https://www.navitime.co.jp/diagram/bus/00016534/00004319/1/,豊海水産埠頭方面,https://www.navitime.co.jp/diagram/bus/00016534/00004319/0/
江東区,越中島３丁目,-,東京都江東区越中島３丁目６－３０　,35.66474,139.79650,都立三商前,2,0.500,門１９,[都営バス],門前仲町（バス）方面,https://www.navitime.co.jp/diagram/bus/00017320/00004317/1/,深川車庫前/東京ビッグサイト〔バス〕方面,https://www.navitime.co.jp/diagram/bus/00017320/00004317/0/
