指標名,コンビニ,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2022/2/2取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2020年度：2,130件、2021年度：2342件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,,区,軒数,セブン,ローソン,ファミリーマート,その他
渋谷区,円山町,-,東京都渋谷区円山町1-19,35.659824,139.69529,有限会社小島商店,,千代田区,357,112,74,111,60
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-13,35.659669,139.697876,有限会社シンコー商事,,中央区,252,78,69,79,26
港区,三田２丁目,-,東京都港区三田2-21-16,35.648687,139.737817,有限会社アズーリ,,港区,446,125,123,149,49
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2-25-5,35.674231,139.710555,別所商店,,新宿区,399,124,92,145,38
品川区,荏原４丁目,-,東京都品川区荏原4丁目13-5,35.615313,139.706282,冨士屋酒店,,江東区,323,106,86,84,47
港区,南青山２丁目,-,東京都港区南青山2丁目2-15,35.671412,139.723884,生活彩家青山2丁目店,,品川区,262,83,74,83,22
港区,浜松町２丁目,-,東京都港区浜松町2-4-1,35.655207,139.756238,生活彩家 貿易センタービル店,,渋谷区,303,88,79,94,42
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関1-1-3 東京弁護士会館地下1階,35.674438,139.753645,生活彩家 弁護士会館店,,合計,"2,342",716,597,745,284
中央区,築地５丁目,-,東京都中央区築地5-6-4,35.662725,139.764953,生活彩家 浜離宮三井ビル店,,,,,,,
渋谷区,代々木神園町,-,東京都渋谷区代々木神園町3-1 国立オリンピック青少年総合センター宿泊D棟1F,35.675053,139.693823,生活彩家 青少年総合センター店,,,,,,,
千代田区,神田錦町３丁目,-,東京都千代田区神田錦町3-15,35.691792,139.761522,生活彩家 神田錦町店,,,,,,,
中央区,新川１丁目,-,東京都中央区新川1-28-38 東京ダイヤビルディング1号館1階,35.675205,139.784407,生活彩家 新川ダイヤビル店,,,,,,,
新宿区,歌舞伎町１丁目,-,東京都新宿区歌舞伎町1-4-1 新宿区役所内,35.69389,139.703463,生活彩家 新宿区役所店,,,,,,,
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-2-1 京王プラザホテル南館2階,35.689685,139.694664,生活彩家 新宿京王プラザホテル店,,,,,,,
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-6-5,35.697893,139.773716,生活彩家 秋葉原駅前店,,,,,,,
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台2-10 駿台興業ビル1F,35.698747,139.76431,生活彩家 御茶の水駅前店,,,,,,,
港区,虎ノ門２丁目,虎ノ門,東京都港区虎ノ門2-2-1 JTビル1F,35.66943,139.745696,生活彩家 虎ノ門JTビル店,,,,,,,
港区,虎ノ門３丁目,虎ノ門,東京都港区虎ノ門3丁目6-9,35.665886,139.745916,生活彩家 気象庁店,,,,,,,
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-6-2 ヒルトピア内(ヒルトン東京地下1F),35.692729,139.691067,生活彩家 ヒルトピア店,,,,,,,
千代田区,大手町２丁目,大丸有,東京都千代田区大手町2-2-2アーバンネット大手町ビル地下1階,35.685415,139.767666,生活彩家 アーバンネット大手町店,,,,,,,
江東区,辰巳３丁目,-,東京都江東区辰巳3-9-27 OCS東京スカイゲート8階,35.642715,139.814602,生活彩家 OCS東京スカイゲート店,,,,,,,
新宿区,西新宿６丁目,-,東京都新宿区西新宿6丁目4-1,35.69394,139.693305,清林堂,,,,,,,
江東区,枝川２丁目,-,東京都江東区枝川2丁目3-9,35.659224,139.806055,吉田屋商店,,,,,,,
品川区,南大井４丁目,-,東京都品川区南大井4-9-2,35.596352,139.735539,株式会社貴田商店,,,,,,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町2-1,35.663677,139.698587,株式会社オリエンタルウィンド,,,,,,,
