指標名,コワーキング施設,,,,,,
出典,コワーキングスペース検索,,,,,,
年次,2022/1/6取得,,,,,,
URL,https://coworking-search.jp/zenkoku/,,,,,,
備考,2020：346件、2021：369件,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-4-1  日本橋一丁目三井ビルディング5階（COREDO日本橋）,35.682599,139.774566,WASEDA NEO,https://coworking-search.jp/space/1622/
中央区,日本橋兜町,-,東京都中央区日本橋兜町18-5　日本橋兜町ビル 2F,35.678912,139.775691,日本橋ビジネスセンター,https://coworking-search.jp/space/180/
中央区,新川１丁目,-,東京都中央区新川1-25-2　新川STビル2F,35.676744,139.784159,Future Tech Hub,https://coworking-search.jp/space/1529/
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-2-14　日本橋KNビル 4F,35.680423,139.771451,ウィズスクエア日本橋店,https://coworking-search.jp/space/396/
中央区,京橋２丁目,日八京,東京都中央区京橋2-2-1　京橋エドグラン3・4F,35.677369,139.769491,SENQ 京橋,https://coworking-search.jp/space/955/
中央区,日本橋大伝馬町,-,"東京都中央区日本橋大伝馬町13-7　日本橋大富ビル2,3F",35.690922,139.781044,日本橋BC　ノースポイント,https://coworking-search.jp/space/176/
中央区,銀座４丁目,-,東京都中央区銀座四丁目10-10 銀座山王ビル 8F,35.670032,139.767005,リロワークス 東銀座,https://coworking-search.jp/space/1625/
中央区,日本橋蛎殻町１丁目,-,"東京都中央区日本橋蛎殻町1-28-4　 岩崎ビル2F,4F,5F",35.682850,139.782994,いいオフィス 日本橋 by FUKUMITOYA,https://coworking-search.jp/space/1878/
中央区,築地３丁目,-,東京都中央区築地3-7-1　TSUKIJI GRANDE 2F,35.667953,139.773635,DMZ WORK 築地,https://coworking-search.jp/space/2100/
中央区,銀座４丁目,-,東京都中央区銀座4-8-2　三福ビル 3F,35.671084,139.767033,THE HUB SOLO 銀座,https://coworking-search.jp/space/2400/
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-4-16　東京建物八重洲ビル3階,35.682367,139.771198,+OURS 八重洲,https://coworking-search.jp/space/909/
中央区,銀座６丁目,-,"東京都中央区銀座6-13-16　銀座ウォールビル パセラリゾーツ銀座店 B2,B3F",35.669258,139.765121,おしごとパセラ 銀座店,https://coworking-search.jp/space/2204/
中央区,新川１丁目,-,東京都中央区新川1-3-7　ストークマンション新川301,35.678479,139.782042,女性専用の会員制コワーキングスペース「Bright One」,https://coworking-search.jp/space/1782/
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-5-9　八重洲アメレックスビル 2F・3F,35.681763,139.771352,東京VIPラウンジ,https://coworking-search.jp/space/1816/
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-17-9 日本橋イヅミビル5F,35.678513,139.780604,勉強カフェ　日本橋茅場町スタジオ,https://coworking-search.jp/space/1586/
中央区,日本橋小網町,-,東京都中央区日本橋小網町8-2　BIZMARKS 日本橋茅場町,35.682106,139.780488,BIZMARKS 日本橋茅場町,https://coworking-search.jp/space/818/
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-8-6　太陽生命ひまわり日本橋ビル 6F,35.681414,139.775132,NewWork 日本橋,https://coworking-search.jp/space/2152/
中央区,八丁堀１丁目,-,東京都中央区八丁堀1-9-8　八重洲通ハタビル 5・6階,35.677378,139.777065,アットビジネスセンター東京駅八重洲通り,https://coworking-search.jp/space/2223/
中央区,八丁堀４丁目,-,東京都中央区八丁堀4−9−4,35.674335,139.777430,FROM ONE SPORTS BASE,https://coworking-search.jp/space/1781/
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-2-12　WARMLIGHTビル3階,35.685049,139.780798,ShareOffice assets 日本橋,https://coworking-search.jp/space/1171/
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-1 Creative Hub 131  6階,35.690478,139.780532,コワーキングスペース「Community Dimension」,https://coworking-search.jp/space/1609/
中央区,銀座３丁目,-,東京都中央区銀座3-11-3,35.671195,139.769172,LEAGUE銀座,https://coworking-search.jp/space/449/
中央区,銀座６丁目,-,"東京都中央区銀座六丁目13番9号 GIRAC GINZA 8,9F",35.668640,139.764630,bizcube 銀座,https://coworking-search.jp/space/341/
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-4-1　ユニゾ八重洲ビル5階,35.678409,139.768483,NewWork 東京八重洲,https://coworking-search.jp/space/1368/
中央区,銀座６丁目,-,東京都中央区銀座6丁目13-16 ヒューリック銀座ウォールビル7F,35.669056,139.764928,ベンチャーデスク銀座,https://coworking-search.jp/space/798/
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町1丁目5-3  福島ビル5F,35.685793,139.774491,Cross Transit 日本橋,https://coworking-search.jp/space/1846/
中央区,八重洲１丁目,日八京,東京都中央区八重洲1-5-9 八重洲アメレックスビル 3階,35.681759,139.771338,HUB cafe,https://coworking-search.jp/space/1624/
中央区,新川２丁目,-,東京都中央区新川2-21-10　リードシー八丁堀ビル2F/3F,35.673420,139.782200,BIZcomfort 日本橋新川,https://coworking-search.jp/space/1893/
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町4-10　京成日本橋富沢町ビル3階,35.688017,139.783061,BIZcomfort 日本橋人形町,https://coworking-search.jp/space/1903/
中央区,銀座５丁目,-,東京都中央区銀座6-4-8 曽根ビルB1F,35.671610,139.762990,コワーク大内,https://coworking-search.jp/space/1626/
中央区,日本橋人形町３丁目,-,東京都中央区日本橋人形町3-6-8,35.686900,139.781479,グリーンオフィス人形町,https://coworking-search.jp/space/665/
中央区,銀座１丁目,-,東京都中央区銀座1-8−19 キラリトギンザ11F,35.674336,139.768675,BINARYSTAR 銀座,https://coworking-search.jp/space/1569/
