指標名,文化財,,,,,,,,,,,,,,,,
出典,国指定文化財等データベース,,,,,,,,,,,,,,,,
年次,2022/1/7取得,,,,,,,,,,,,,,,,
URL,https://kunishitei.bunka.go.jp/,,,,,,,,,,,,,,,,
備考,（2019年：482件。2020年：516件、2021年：548件）※所在地の記載のないもの、無形を除く,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,経度,経度,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,保管施設の名称,所有者名,管理団体又は責任者
品川区,東五反田３丁目,-,東京都品川区東五反田三丁目191番地39,35.630727,139.729589,旧島津家本邸,本館,国宝・重要文化財(建造物),重要文化財,近代／住居,-,大正,20191227,-,-,学校法人　清泉女子大学,-
品川区,東五反田３丁目,-,東京都品川区東五反田三丁目191番地39,35.630727,139.729589,旧島津家本邸,事務所,国宝・重要文化財(建造物),重要文化財,近代／住居,-,大正,20191227,-,-,学校法人　清泉女子大学,-
品川区,大井６丁目,-,大田区山王一丁目、品川区大井六丁目,35.592980,139.730200,大森貝塚,-,史跡名勝天然記念物,史跡,-,-,-,19550324,-,-,-,-
品川区,北品川４丁目,-,品川区北品川三丁目,35.617890,139.736700,加茂真淵墓,-,史跡名勝天然記念物,史跡,-,-,-,19261020,-,-,-,-
品川区,北品川４丁目,-,品川区北品川三丁目,35.617650,139.736500,沢庵墓,-,史跡名勝天然記念物,史跡,-,-,-,19261020,-,-,-,-
品川区,豊町１丁目,-,東京都品川区豊町一丁目1131-1,35.612283,139.720536,旧三井文庫第二書庫,-,登録有形文化財(建造物),文化福祉,建築物,-,大正,20200403,-,-,品川区,-
品川区,北品川５丁目,-,東京都品川区北品川5-740-10,35.620742,139.734910,小池家住宅主屋,-,登録有形文化財(建造物),住宅,建築物,-,昭和前,20110126,-,-,-,-
品川区,平塚１丁目,-,東京都品川区平塚一丁目584,35.616225,139.716044,長濱家住宅主屋,-,登録有形文化財(建造物),住宅,建築物,-,大正,20200403,-,-,-,-
品川区,平塚１丁目,-,東京都品川区平塚一丁目584,35.616225,139.716044,長濱家住宅門,-,登録有形文化財(建造物),住宅,その他工作物,-,大正,20200403,-,-,-,-
品川区,旗の台３丁目,-,東京都品川区旗の台3-852-1,35.604520,139.708300,旗岡八幡神社絵馬殿,-,登録有形文化財(建造物),宗教,建築物,-,昭和前,20130621,-,-,旗岡八幡神社,-
中央区,水面調査区,-,東京都中央区新川、江東区佐賀,35.676290,139.787500,永代橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,大正,20070618,-,-,東京都,-
中央区,水面調査区,-,東京都中央区築地、勝どき,35.662230,139.774900,勝鬨橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,昭和,20070618,-,-,東京都,-
中央区,日本橋中洲,-,東京都中央区日本橋中洲、江東区清澄,35.682420,139.791800,清洲橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,昭和,20070618,-,-,東京都,-
中央区,日本橋２丁目,日八京,東京都中央区日本橋2丁目4番1号,35.680780,139.773400,髙島屋東京店,髙島屋東京店,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,昭和,20090630,-,-,株式会社髙島屋,-
中央区,築地３丁目,-,東京都中央区築地三丁目一五〇一番,35.666510,139.772200,築地本願寺本堂,-,国宝・重要文化財(建造物),重要文化財,近代／宗教,-,昭和,20141210,-,-,築地本願寺,-
中央区,日本橋本石町２丁目,日八京,東京都中央区日本橋本石町二丁目1番1号,35.686560,139.771500,日本銀行本店本館,-,国宝・重要文化財(建造物),重要文化財,近代／商業・業務,-,明治,19740205,-,-,日本銀行,-
中央区,日本橋１丁目,日八京,東京都中央区日本橋一丁目・日本橋室町一丁目間,35.684050,139.774400,日本橋,-,国宝・重要文化財(建造物),重要文化財,近代／産業・交通・土木,-,明治,19990513,-,-,国（国土交通省）,-
