指標名,薬局,,,,,,
出典,病院なび,,,,,,
年次,2022/1/18取得,,,,,,
URL,https://byoinnavi.jp/,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件）",,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,URL
中央区,築地６丁目,-,東京都中央区築地6-26-3 DO築地ビル1F,35.66501,139.77171,株式会社ファーマみらい 共創未来 築地場外市場薬局,https://byoinnavi.jp/pharm/202270
中央区,築地４丁目,-,東京都中央区築地4-3-11うねめビル1F,35.66689,139.76839,株式会社ファーマみらい 共創未来 築地4丁目薬局,https://byoinnavi.jp/pharm/202265
中央区,勝どき３丁目,-,東京都中央区勝どき3-5-5,35.65870,139.77579,アイセイ薬局 勝どき店,https://byoinnavi.jp/pharm/269116
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町1-13-15,35.67982,139.78096,ウイング薬局 茅場町店,https://byoinnavi.jp/pharm/281430
中央区,入船１丁目,-,東京都中央区入船1-5-11,35.67281,139.77703,桜川薬局,https://byoinnavi.jp/pharm/202209
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3,35.68738,139.77392,アイセイ薬局 日本橋室町店,https://byoinnavi.jp/pharm/264593
中央区,銀座５丁目,-,東京都中央区銀座5-7-7,35.67091,139.76425,銀座清水薬局,https://byoinnavi.jp/pharm/202240
中央区,月島１丁目,-,東京都中央区月島1-11-9,35.66498,139.78184,フレンド薬局,https://byoinnavi.jp/pharm/252845
中央区,明石町,-,東京都中央区明石町11-15,35.66710,139.77482,望星築地薬局,https://byoinnavi.jp/pharm/202192
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-8 メディカルプライム日本橋小伝馬町1F,35.69103,139.78109,株式会社なの花 メトロファーマシー日本橋小伝馬町店,https://byoinnavi.jp/pharm/279637
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-6-6,35.68937,139.78089,みらくる薬局 日本橋店,https://byoinnavi.jp/pharm/273304
中央区,日本橋堀留町１丁目,-,東京都中央区日本橋堀留町1-10-19,35.68818,139.78000,れんげ薬局 日本橋店,https://byoinnavi.jp/pharm/273305
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-14-8 1階,35.68405,139.78391,トモズ 水天宮前店,https://byoinnavi.jp/pharm/202315
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-4-1 日本橋一丁目ビルディング1階,35.68260,139.77464,トモズ コレド日本橋店,https://byoinnavi.jp/pharm/202292
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町3-3-1,35.68465,139.78801,トモズ トルナーレ浜町店,https://byoinnavi.jp/pharm/202306
中央区,銀座３丁目,-,東京都中央区銀座3-10-1 銀座3丁目Dビルディング,35.67170,139.76849,トモズ 銀座三丁目店,https://byoinnavi.jp/pharm/254888
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-10-5 住友生命茅場町ビル1階,35.67856,139.77876,トモズ 茅場町店,https://byoinnavi.jp/pharm/254889
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋茅場町2-6-8大湯ビル1F,35.67935,139.77869,ひまわり薬局茅場町店,https://byoinnavi.jp/pharm/252892
中央区,新川２丁目,-,東京都中央区新川2-22-6,35.67388,139.78242,越前堀薬局プッシュ,https://byoinnavi.jp/pharm/202261
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-4-10人形町センタービル1F,35.68573,139.78176,清心丹薬局,https://byoinnavi.jp/pharm/252756
中央区,月島２丁目,-,東京都中央区月島2-17-9,35.66190,139.78374,アポロ薬局,https://byoinnavi.jp/pharm/202186
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-9-1,35.68313,139.78147,オバタ薬局,https://byoinnavi.jp/pharm/202328
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-2-4,35.68283,139.78572,イシダ薬局,https://byoinnavi.jp/pharm/202329
中央区,月島３丁目,-,東京都中央区月島3-28-6,35.66113,139.77983,福むら薬局,https://byoinnavi.jp/pharm/252867
中央区,築地２丁目,-,東京都中央区築地2-9-6,35.66904,139.77268,(有)トラヤ薬局,https://byoinnavi.jp/pharm/202264
中央区,明石町,-,東京都中央区明石町11-6加健築地ビル1F,35.66695,139.77572,加健調剤薬局,https://byoinnavi.jp/pharm/252808
中央区,明石町,-,東京都中央区明石町8-1聖路加タワー2F,35.66704,139.77867,薬局エスエルファーマシー,https://byoinnavi.jp/pharm/252803
中央区,築地２丁目,-,東京都中央区築地2-11-26築地MKビル1F,35.66902,139.77209,近藤薬局,https://byoinnavi.jp/pharm/202263
