指標名,ホテル,,,,,,,,
出典,Hotels.com,,,,,,,,
年次,GPCI2021,,,,,,,,
URL,https://hotels.com/,,,,,,,,
備考,GPCI-2020：1332軒　GPCI-2021：1649軒,,,,,,,,
,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,星数,室数,ホテルURL
品川区,北品川４丁目,-,"4-7-36 Kitashinagawa, Tokyo, 140-0001, Tokyo-to, Japan",35.622728,139.736947,Tokyo Marriott Hotel,4.5,242,https://www.hotels.com/ho223715
品川区,上大崎２丁目,-,"2-23-7 Kamiosaki, Tokyo, 141-0021, Tokyo-to, Japan",35.636811,139.714116,Hotel Princess Garden,4,205,https://www.hotels.com/ho403462
品川区,東品川２丁目,-,"2-3-15 Higashi-shinagawa, Shinagawa-ku, Tokyo, 140-0002, Tokyo-to, Japan",35.623328,139.750242,Daiichi Hotel Tokyo Seafort,4,132,https://www.hotels.com/ho143649
品川区,東五反田１丁目,-,"1-26-3 Higashigotanda, Tokyo, 141-0022, Tokyo, Japan",35.626185,139.724118,JR-EAST HOTEL METS GOTANDA,3.5,166,https://www.hotels.com/ho1434483648
品川区,南大井６丁目,-,"6-19-3 Minamioi, Tokyo, 140-0013, Tokyo-to, Japan",35.590731,139.732508,HOTEL MYSTAYS PREMIER Omori,3.5,232,https://www.hotels.com/ho415869
品川区,東五反田２丁目,-,"2-2-6, Higashi-Gotanda, Shingawa-ku, Tokyo, 141-0022, Tokyo, Japan",35.625021,139.725156,Mitsui Garden Hotel Gotanda,3.5,370,https://www.hotels.com/ho692867072
品川区,南品川４丁目,-,"4-6-17 MinamiShinagawa, Tokyo, 140-0004, Tokyo, Japan",35.613288,139.737522,Convertel Minami-Shinagawa,3.5,1,https://www.hotels.com/ho1700494112
品川区,西五反田２丁目,-,"2-6-8, Nishigotanda, Shinagawa-ku, Tokyo, 141-0031, Tokyo-to, Japan",35.626322,139.722889,Hotel MyStays Gotanda Station,3,383,https://www.hotels.com/ho524392
品川区,東品川４丁目,-,"Shinagawa Seaside East Tower 16F, Tokyo, 140-0002, Tokyo-to, Japan",35.608804,139.749103,SOTETSU GRAND FRESA Shinagawa Seaside,3,300,https://www.hotels.com/ho278691
品川区,東五反田１丁目,-,"1-16-4, Higashigotanda, Tokyo, 1410022, TOKYO, Japan",35.626558,139.725248,Hotel Bix - Adult only,3,32,https://www.hotels.com/ho1220733376
品川区,南大井１丁目,-,"1-2-10 Minamioi, Tokyo, 140-0013, Tokyo, Japan",35.597913,139.738394,Shinagawa family hotel in Tokyo,3,1,https://www.hotels.com/ho1916768736
品川区,大井１丁目,-,"1-44-6 Oi, Shinagawa-ku, Tokyo, 140-0014, Tokyo, Japan",35.604318,139.732791,eos HOTEL Oimachi,3,26,https://www.hotels.com/ho1735001280
品川区,北品川２丁目,-,"2-18-1 Kita Shinagawa, Tokyo, 140-0001, TOKYO, Japan",35.617660,139.741420,Keikyu EX Inn Shinagawa Shimbamba,3,127,https://www.hotels.com/ho766069152
品川区,南品川３丁目,-,"3-1-20 Minami-Shinagawa, Tokyo, 140-0004, Tokyo, Japan",35.609530,139.742760,Toyoko Inn Tokyo Shinagawa Aomono-yokocho-eki,3,197,https://www.hotels.com/ho672904
品川区,南品川４丁目,-,"504, 4-1-9 Minamishinagawa, Tokyo, 140-0004, Tokyo, Japan",35.614457,139.737957,Espoir Minami-Shinagawa,3,1,https://www.hotels.com/ho1577573056
品川区,旗の台５丁目,-,"5-6-5, Hatanodai, Shinagawa-ku, Tokyo, 142-0064, Tokyo, Japan",35.604390,139.702820,Toyoko Inn Tokyo Shinagawa Hatanodai-eki Minami-guchi,3,87,https://www.hotels.com/ho672979
品川区,大井１丁目,-,"1-27-3, Oi Shinagawa-ku, Tokyo, 140-0014, Tokyo, Japan",35.606200,139.731620,Toyoko Inn Tokyo Shinagawa Oimachi,3,186,https://www.hotels.com/ho673029
品川区,北品川２丁目,-,"2-30-26 Kitashinagawa, Tokyo, 140-0001, Tokyo, Japan",35.617444,139.744219,Super Hotel Shinagawa Shimbamba,3,99,https://www.hotels.com/ho1179992160
品川区,豊町１丁目,-,"1-3-13 Yutakacho, 201, Tokyo, 142-0042, Tokyo, Japan",35.614075,139.723742,Togoshiginza Residence 201,3,1,https://www.hotels.com/ho1618142752
品川区,西五反田２丁目,-,"2-17-12 Nishi Gotanda, Tokyo, 141-0031, Tokyo, Japan",35.626459,139.720884,Keio Presso Inn Gotanda,3,178,https://www.hotels.com/ho704089888
品川区,東大井１丁目,-,"1-9-37 Higashioi, Tokyo, 140-0011, Tokyo, Japan",35.606598,139.747814,wires hotel shinagawa seaside,3,88,https://www.hotels.com/ho1661420640
品川区,東品川２丁目,-,"2-2-35 Higashi Shinagawa, Tokyo, 140-0002, Tokyo, Japan",35.621895,139.748672,Toyoko Inn Tokyo Shinagawa Konan-guchi Tennozu Isle,3,740,https://www.hotels.com/ho624807
品川区,東中延１丁目,-,"1-5-7 Higashinakanobu, Tokyo, 142-0052, Tokyo, Japan",35.610577,139.714585,Plum Ark Oriental Hotel 203,3,1,https://www.hotels.com/ho1330226880
品川区,東中延１丁目,-,"1-5-7 Higashinakanobu, Tokyo, 142-0052, Tokyo, Japan",35.610577,139.714585,Plum Ark Oriental Hotel 402,3,1,https://www.hotels.com/ho1353243360
品川区,南品川４丁目,-,"Magnolia House, 4-1-9, Tokyo, 140-0004, Tokyo, Japan",35.614715,139.738280,MG103 Cozy and clean room SHINAGAWA,3,1,https://www.hotels.com/ho1346878336
品川区,東五反田１丁目,-,"higasigotannda, Tokyo, 141-0022, tokyo, Japan",35.626850,139.725950,Hills Hotel Gotanda,3,64,https://www.hotels.com/ho981620352
