指標名,国際会議,,,,,,,,,,,
出典,日本政府観光局（JNTO）,,,,,,,,,,,
年次,2020年,,,,,,,,,,,
URL,https://mice.jnto.go.jp/documents/statistics.html,,,,,,,,,,,
備考,（2018年：164件、2019年：110件、2020年：14件）,,,,,,,,,,,
,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,会議名,期間（2020年）,"参加国数
（日本含）",外国人参加者数,国内 参加者数,参加者総数
千代田区,神田練塀町,-,東京都千代田区神田練塀町３,35.70036,139.77401,アキバホール,Crest International Symposium on Big Data Application,"01/13～
01/14",10,15,108,123
港区,高輪３丁目,-,東京都港区高輪３丁目１３−１,35.63087,139.73476,グランドプリンスホテル新高輪,脱炭素社会の構築に向けた都市間連携セミナー,"01/17～
01/17",7,42,118,160
新宿区,戸塚町,-,東京都新宿区戸塚町１丁目１０４,35.70935,139.72210,早稲田大学,NetSci-X2020東京   -international school and conference on network science-,"01/20～
01/22",35,212,152,364
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１丁目１５−１６,35.66938,139.74914,笹川平和財団ビル,「気候変動に伴う移住とその脆弱性」に関する国際セミナー,"01/23～
01/23",5,8,50,58
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1-12-33,35.66807,139.74081,ANAインターコンチネンタルホテル,グローバル・アピール2020ラウンドテーブル～「違う」を当たり前に～,"01/27～
01/27",17,18,240,258
江東区,有明３丁目,-,東京都江東区有明３丁目１１−１,35.62730,139.79487,東京ビッグサイト,nano tech 2020、nano week 2020第18回ナノテクノロジー総合シンポジウム、第2回 1＆2Dマテリアル国際会議および展示会（1＆2DM）,"01/28～
01/31",10,36,497,533
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関１－１－１,35.67503,139.75416,法務省,刑事政策公開講演会   ①クロアチアの犯罪者処遇制度、②元受刑者の受容に向けて－イエロー・リボン・プロジェクト－,"01/31～
01/31",17,20,127,147
新宿区,市谷砂土原町１丁目,-,東京都新宿区市谷砂土原町１丁目１,35.69415,139.73641,ルーテル市ケ谷センター／JST東京本部,BioMedical Linked Annotation Hackathon 6,"02/04～
02/07",9,21,31,52
新宿区,西新宿２丁目,-,東京都新宿区西新宿２丁目２−１,35.69009,139.69435,京王プラザホテル,27回アジア輸出管理セミナー,"02/12～
02/13",33,111,120,231
新宿区,市谷本村町,-,東京都新宿区市谷本村町５−１,35.69269,139.72878,防衛研究所国際会議場,令和元年度ASEANワークショップ「米中対立とASEAN」,"02/13～
02/13",5,4,50,54
港区,三田２丁目,-,東京都港区三田２丁目１−８,35.65187,139.73807,三田共用会議所,第25回アジア・太平洋薬物取締会議,"02/18～
02/19",28,54,43,97
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関２丁目２−１,35.67420,139.75012,外務省,第2回海洋状況把握（MDA)の国際連携に関するARFワークショップ,"02/20～
02/20",23,30,40,70
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３−２,35.68866,139.76355,経団連会館,公開シンポジウム 激変する中東情勢と日米協力の可能性,"02/20～
02/20",3,3,100,103
千代田区,霞が関３丁目,虎ノ門広域,東京都千代田区霞が関３丁目2-2,35.67161,139.74840,文部科学省,令和元年度   教育改革国際シンポジウム幼児教育・保育の国際比較－OECD国際幼児教育・保育従事者調査2018の結果から－,"02/20～
02/20",3,2,300,302
