指標名,インターナショナルスクール,,,,,,,,,
出典,PLAZA HOMES,,,,,,,,,
年次,2022/1/17,,,,,,,,,
URL,https://www.plazahomes.co.jp/living-in-tokyo/international-schools/,,,,,,,,,
備考,（2019年度：53件、2020年度：59件、2021年度：63件）,,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,英語名,対象,共学/別学,URL
港区,元麻布２丁目,,東京都港区元麻布2-11-8,35.655439,139.730781,ABCインターナショナルスクール,ABC International School,1歳 - 5歳,共学,http://www.abcinternationalschool.com/
港区,西麻布３丁目,,東京都港区西麻布3-17-3,35.658628,139.726596,CHATEAU SCHOOL,CHATEAU SCHOOL,0歳 - 6歳　（アフタースクール　3 - 12歳）,共学,https://www.chateau-school.com/
港区,南青山６丁目,,東京都港区南青山6-13-17,35.659588,139.714644,Four Leaves International School Tokyo,Four Leaves International School Tokyo,1歳 - 6歳,共学,https://flist.co.jp/
港区,南麻布３丁目,,東京都港区南麻布3-11-4,35.648884,139.729176,Ivy Prep インターナショナルスクール,Ivy Prep International School,6ヶ月 - 6歳,共学,https://www.giftedschooltokyo.com/
港区,元麻布２丁目,,東京都港区元麻布2-12-14,35.654687,139.730726,J's インターナショナルスクール,J's International School,15ヶ月 - 6歳,共学,https://www.js-international-school.com/
港区,白金台５丁目,,東京都港区白金台5-13-39,35.638805,139.722211,Kスペース インターナショナル プリスクール アンド キンダーガーテン,Kspace International Preschool and Kindergarten,14ヶ月 - 6歳,共学,https://www.kspacetokyo.org/main/
港区,六本木２丁目,,東京都港区六本木2-1-1,35.66773,139.736672,Mitsui Gardens International Preschool,Mitsui Gardens International Preschool,15ヶ月 - 5歳,共学,https://mitsuigardensinternationalpreschool.com/
港区,芝公園２丁目,,東京都港区芝公園2-8-2,35.654582,139.751157,Star Kids International Preschool,Star Kids International Preschool,1歳 - 6歳 (English Club: 7 -12 歳),共学,http://www.starkids-japan.com/
港区,東麻布１丁目,,東京都港区東麻布1-26-2 セラフテン麻布3F,35.655417,139.744802,Tokyo International Kindercare （麻布）,Tokyo International Kindercare (Azabu),18ケ月 - 6歳,共学,https://tokyokinder.com/
港区,三田５丁目,,東京都港区三田5-4-1,35.647846,139.738659,アイインターナショナルスクール,ai International School,18ヶ月 - 6 歳,共学,http://www.aiinternationalschool.com/
港区,白金台５丁目,,東京都港区白金台5-13-28-102,35.637702,139.722511,アイラ・インターナショナルスクール,Ayla International School,1歳 - 6 歳,共学,https://www.aylais.com/
港区,六本木６丁目,,東京都港区六本木6-16-5,35.658156,139.731045,アメリカンスクールインジャパン　アーリーラーニングセンター,"American School in Japan, Early Learning Center",3歳 - 6歳,共学,http://www.ins-navi.com/schoolinfo/t23_asij.html
港区,赤坂９丁目,,東京都港区赤坂9-2-16,35.667771,139.73235,イートンハウス インターナショナルプリスクール東京,Eton House International Pre-school Tokyo,15ヶ月 - 6歳,共学,https://etonhouse.co.jp/
港区,元麻布２丁目,,東京都港区元麻布2-14-28,35.652415,139.729307,ウィローブルック インターナショナルスクール,Willowbrook International School,15ヶ月 - 5歳,共学,https://www.willowbrookschool.com/
港区,元麻布３丁目,,東京都港区元麻布3-12-36,35.656103,139.731159,オハナインターナショナルスクール,Ohana International School,18ヶ月 - 5歳,共学,https://www.schoolintokyo.com/
港区,南青山３丁目,,東京都港区南青山3-9-5,35.665879,139.715805,クラレンスインターナショナルスクール,Clarence International School,18ヶ月 - 6歳,共学,http://www.clarenceschool.jp/
港区,三田２丁目,,東京都港区三田2-7-7 芳和三田綱坂ビル2F,35.651718,139.744103,ゴーグローバルインターキッズ,Go Global Inter Kids,プリスクール（18ケ月 - 4歳）、アフタースクール（3歳 - 12歳）,共学,http://www.gglobal.jp/
港区,元麻布２丁目,,東京都港区元麻布2-13-8,35.654003,139.730795,サマーヒルインターナショナルスクール,Summerhill International School,15ヶ月 - 6歳,共学,https://summerhill.jp/
港区,南麻布２丁目,,東京都港区南麻布2-8-18,35.648451,139.735573,シャトー・デ・バンビーニ・モンテッソーリ・スクール,Chateau des Bambini Montessori School,12ヶ月 - 6歳,共学,https://montessori-cbms.com/
港区,元麻布３丁目,,東京都港区元麻布3-1-23,35.657153,139.728807,チルドレンズハウス　モンテソーリスクール,Children's House MONTESSORI SCHOOL,幼児クラス：12 - 36ケ月、プライマリーモンテソーリクラス：3 - 6歳、アフタースクール：6 - 12 歳,共学,http://childrenshouse.tokyo/
港区,西麻布３丁目,,東京都港区西麻布3-7-15,35.656203,139.725549,パル インターナショナルスクール,PAL International School,0.5歳 - 6歳,共学,http://www.pal-school.com/
港区,赤坂２丁目,,東京都港区赤坂2-18-12,35.668796,139.739533,ムーミン・インターナショナル幼稚園,Moomin International Kindergarten,0歳 - 6歳　（アフタースクール　3 - 12歳）,共学,http://www.scandihub.com/kindergarten
港区,南麻布３丁目,,東京都港区南麻布3-5-13,35.651317,139.730082,モンテソーリスクールオブ東京,The Montessori School of Tokyo,2歳- 14歳,共学,http://www.montessorijapan.com/
港区,白金台３丁目,,東京都港区白金台3-4-17,35.635772,139.727538,ローラス・インターナショナルスクール・オブ・サイエンス -  白金台,Laurus International School of Science (Shirokanedai),プリスクール - 4年生,共学,http://www.laurus-school.com/en/
港区,高輪３丁目,,東京都港区高輪3-21-7 レガロ高輪1F,35.632528,139.735873,ローラス・インターナショナルスクール・オブ・サイエンス - 高輪,Laurus International School of Science (Takanawa),プリスクール:１.5 -  3歳 キンダガーテン: 3  -  6歳,共学,http://www.laurus-school.com/en/
港区,三田４丁目,,東京都港区三田4-1-27 FBR三田ビル 2F～5F,35.646513,139.740206,ローラス・インターナショナルスクール・オブ・サイエンス  初等部,Laurus International School of Science  [Primary School],Primary School,共学,https://laurus-school.com/
港区,南青山６丁目,,東京都港区南青山6-13-14,35.659264,139.714866,ローラス・インターナショナルスクール・オブ・サイエンス - 青山,Laurus International School of Science (Aoyama),プリスクール: １.5 - 3歳 キンダガーデン: 3歳  -  6歳,共学,http://www.laurus-school.com/en/
港区,南麻布５丁目,,東京都港区南麻布5-10-24,35.652595,139.722366,広尾キッズワールド,Hiroo Kids World,1 - 5 歳,共学,http://www.pigeonhearts.co.jp/kidsworld/english/
港区,麻布台２丁目,,東京都港区麻布台2-1-1,35.659434,139.741336,在日ロシア大使館付属学校,Russian Embassy School in Tokyo,Grade 1 - 11,共学,http://russchooljp.ru/
港区,芝公園３丁目,,東京都港区芝公園3-6-25,35.659995,139.743822,聖公会聖オルバン教会　保育園,St. Alban's Nursery,2 - 5歳,共学,http://www.saintalbans.jp/?page_id=177
港区,元麻布２丁目,,東京都港区元麻布2-14-7,35.653762,139.730593,西町インターナショナルスクール,Nishimachi International School,幼稚園 - 9年生,共学,https://www.nishimachi.ac.jp/
港区,南麻布２丁目,,東京都港区南麻布2-13-6,35.64729,139.734787,東京インターナショナルスクール,Tokyo International School,幼稚園 - 8年生(4 - 14歳）,共学,https://www.tokyois.com/tokyois/
港区,白金台５丁目,,東京都港区白金台5-17-1,35.637563,139.723416,葉山インターナショナルスクール 白金校,Hayama International School Shirokane,2 - 6歳,共学,https://hayama-international.co.jp/shirokane/
渋谷区,松涛１丁目,,東京都渋谷区松濤1-23-17 ヴィラ松濤,35.660516,139.692529,Louis Academy.,Louis Academy.,"Pre-school, Kindergarten",共学,https://louis-academy.com/
渋谷区,恵比寿西１丁目,,東京都渋谷区恵比寿西1-31-18,35.648206,139.70524,エリートオープンスクール,Elite Open School,5 - 12年生,共学,https://eliteopenschooltokyo.com/
渋谷区,神宮前３丁目,,東京都渋谷区神宮前3-38-3,35.67179,139.713613,ジンジャーツリー・インターナショナル・スクール,Gingertree international school,2 - 6歳,共学,http://www.ginger-tree.jp/english/
渋谷区,広尾１丁目,,東京都渋谷区広尾1-5-14,35.649329,139.713611,セサミ・インターナショナル・プリスクール,Sesame International Preschool,1 - 6歳,共学,http://sesame.tokyo/
