指標名,ミシュラン掲載レストラン,,,,,,,★★★,三つ星:そのために旅行する価値のある卓越した料理,,,,,,,,,
出典,ミシュランガイド東京 2022,,,,,,,★★,二つ星:遠回りしてでも訪れる価値のある素晴らしい料理,,,,,,,,,
年次,2022年,,,,,,,★,一つ星:近くに訪れたら行く価値のある優れた料理,,,,,,,,,
URL,https://clubmichelin.jp/search/restaurant/?rg=1,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,,,,,,,,,
備考,（2019年：318件、2020年：322件、2021年度：318件）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,定休日,価格帯,新規掲載,個室あり,駐車場,ベジタリアンメニュー,車椅子対応,要予約,URL,TEL
港区,六本木４丁目,六本木,東京都港区六本木 4-2-35 アーバンスタイル六本木 B1F,35.664736,139.733448,リューズ,フランス料理,★★,月曜,"昼＝6,500-9,500円　夜＝16,000-31,000円",-,〇,-,-,〇,〇,http://www.restaurant-ryuzu.com/,050-5492-5091
港区,赤坂６丁目,赤坂,東京都港区赤坂 6-11-11,35.669738,139.734672,赤坂 いづみ,ふぐ,★,"月曜～土曜の昼, 日曜","夜＝26,000-36,000円",-,〇,-,-,-,〇,-,050-5488-1805
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門 1-11-5 森谷ビル B1F,35.668788,139.750365,シャルキュ,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝4,000-6,000円",-,-,-,-,-,〇,-,050-5487-2019
渋谷区,恵比寿２丁目,-,東京都渋谷区恵比寿 2-23-3,35.647718,139.720177,おでこ,フランス料理,★,"月曜～土曜の昼, 日曜","夜＝9,000-15,000円",-,〇,-,-,-,〇,-,050-5488-1438
中央区,日本橋富沢町,-,東京都中央区日本橋富沢町 10-15,35.689634,139.782368,ラ ブーシュリー グートン,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,000-7,000円",-,-,-,-,-,〇,http://www.goutons.com/,050-5487-5508
港区,東麻布１丁目,-,東京都港区東麻布 1-17-9 アネックス東麻布 2F,35.656059,139.743266,ローブ,フランス料理,★,"月曜, 日曜","昼＝7,500-16,000円　夜＝16,000円",-,-,-,-,-,〇,https://www.restaurant-laube.com/,050-5486-7620
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西 2-7-2,35.650356,139.707198,ル・コック,フランス料理,★,不定休,"夜＝10,000-13,000円",-,-,-,-,-,〇,http://www.lecoq.co.jp/,050-5486-8078
港区,麻布十番２丁目,-,東京都港区麻布十番 2-8-16 ISIビル 4F,35.655617,139.733931,てんぷら 前平,天ぷら,★,"月曜～土曜の昼, 日曜","夜＝22,000円",-,-,-,-,-,〇,-,050-5487-6851
港区,六本木７丁目,六本木,東京都港区六本木 7-9-9,35.664386,139.729878,ル・スプートニク,フランス料理,★,月曜,"昼＝8,000-19,000円　夜＝19,000円",-,〇,-,-,-,〇,https://le-sputnik.jp/,03-6434-7080
港区,元赤坂１丁目,赤坂,東京都港区元赤坂 1-5-8 虎屋第二ビル B1F,35.677567,139.733591,懐石 辻留,日本料理,★★,日曜,"昼＝19,000-43,000円　夜＝31,000-53,000円",-,〇,-,-,-,〇,http://www.tsujitome.com/,03-3403-3984
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂 3-4,35.700768,139.740957,虎白,日本料理,★★★,"月曜, 火曜～金曜の昼, 日曜","昼＝43,000円　夜＝43,000円",-,-,-,-,-,〇,https://kagurazaka-kohaku.jp/,050-3138-5225
港区,南青山６丁目,-,東京都港区南青山 6-8-18,35.659952,139.716469,ローブリュー,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-9,000円",-,-,-,-,-,〇,http://lauburu.jp/,050-5487-6613
港区,西麻布２丁目,-,東京都港区西麻布 2-7-9,35.662269,139.720938,麻布 和敬,日本料理,★,"月曜の昼, 日曜","昼＝25,000円　夜＝25,000円",-,〇,-,-,-,〇,https://wakei.tokyo/,050-5494-2084
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町 1-13,35.680309,139.735972,紀尾井町 福田家,日本料理,★★,"月曜の昼, 日曜","昼＝20,000-33,000円　夜＝27,000-53,000円",-,〇,-,-,-,〇,https://www.kioicho-fukudaya.jp/,050-5486-6397
渋谷区,東４丁目,-,東京都渋谷区東 4-6-5 ヴァビル 3F,35.65643,139.712842,熟成鮨 万,寿司,★,"月曜～土曜の昼, 日曜","夜＝28,000円",-,-,-,-,-,〇,https://www.yorozu-sushi.com/,050-5487-8703
