指標名,幼稚園～高校,,,公立,https://www.kyoiku.metro.tokyo.lg.jp/administration/statistics_and_research/list_of_public_school/school_lists2021.html,,,,,
出典,公立：東京都教育委員会、私立：東京都生活文化局,,,私立,https://www.seikatubunka.metro.tokyo.lg.jp/shigaku/,,,,,
年次,2022/1/取得,,,国立（高等学校のみ）,https://www.minkou.jp/hischool/search/pref=tokyo/c=2/,,,,,
URL,右記参照,,,,,,,,,
備考,（2019年度：498件、2020年度：733件、2021年度：716件）,,,,,,,,,
,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,国公私,カテゴリ,電話番号,データ年次
港区,芝浦３丁目,-,東京都港区芝浦３丁目３−６,35.644059,139.747245,東京工業大学附属科学技術高等学校,国立,高等学校,03-3453-2251,2022年１月時点
千代田区,麹町２丁目,-,東京都千代田区麹町2-8,35.684971,139.739443,麹町,公立,幼稚園,03-3263-7330,2021年10月時点
千代田区,三番町,-,東京都千代田区三番町16,35.690522,139.740713,九段,公立,幼稚園,03-3263-0567,2021年10月時点
千代田区,六番町,-,東京都千代田区六番町8,35.687673,139.733549,番町,公立,幼稚園,03-3263-3725,2021年10月時点
千代田区,富士見１丁目,-,東京都千代田区富士見1-1-6,35.697343,139.748729,お茶の水,公立,幼稚園,03-3263-2355,2021年10月時点
千代田区,神田司町,-,東京都千代田区神田司町2-16,35.693129,139.767444,千代田,公立,幼稚園,03-3256-1709,2021年10月時点
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-7,35.701232,139.769853,昌平,公立,幼稚園,03-3251-0768,2021年10月時点
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699154,139.778474,いずみこども園,公立,幼稚園,03-3866-9938,2021年10月時点
千代田区,富士見１丁目,-,東京都千代田区富士見1-10-3,35.696941,139.746213,ふじみこども園,公立,幼稚園,03-3263-1009,2021年10月時点
中央区,八重洲２丁目,日八京,東京都中央区八重洲2-2-2,35.679115,139.769082,昭和,公立,幼稚園,(休園中）,2021年10月時点
中央区,銀座５丁目,-,東京都中央区銀座5-1-13,35.672339,139.761333,泰明,公立,幼稚園,03-3571-5395,2021年10月時点
中央区,湊１丁目,-,東京都中央区湊1-4-1,35.67218,139.778773,中央,公立,幼稚園,03-3551-4498,2021年10月時点
中央区,明石町,-,東京都中央区明石町1-15,35.66871,139.776447,明石,公立,幼稚園,03-3541-9522,2021年10月時点
中央区,築地２丁目,-,東京都中央区築地2-13-1,35.66793,139.771373,京橋朝海,公立,幼稚園,03-3541-6280,2021年10月時点
中央区,新川２丁目,-,東京都中央区新川2-13-4,35.675974,139.781561,明正,公立,幼稚園,03-3551-4864,2021年10月時点
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-26,35.688172,139.7702,常盤,公立,幼稚園,(休園中）,2021年10月時点
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-10-23,35.683292,139.787969,有馬,公立,幼稚園,03-3666-7998,2021年10月時点
中央区,日本橋久松町,-,東京都中央区日本橋久松町7-2,35.689041,139.784332,久松,公立,幼稚園,03-3661-3341,2021年10月時点
中央区,月島１丁目,-,東京都中央区月島1-9-7,35.664693,139.782851,月島,公立,幼稚園,03-3531-1573,2021年10月時点
中央区,月島４丁目,-,東京都中央区月島4-15-1,35.66035,139.779757,月島第一,公立,幼稚園,03-3532-2921,2021年10月時点
中央区,勝どき１丁目,-,東京都中央区勝どき1-12-2,35.659823,139.775552,月島第二,公立,幼稚園,03-3532-2922,2021年10月時点
中央区,晴海１丁目,-,東京都中央区晴海1-4-1,35.658365,139.785687,晴海,公立,幼稚園,03-3532-2923,2021年10月時点
中央区,豊海町,-,東京都中央区豊海町3-1,35.653175,139.771318,豊海,公立,幼稚園,03-3533-0725,2021年10月時点
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17,35.68426,139.781383,日本橋,公立,幼稚園,03-3668-2362,2021年10月時点
港区,三田１丁目,-,東京都港区三田1-4-52,35.652996,139.742143,赤羽,公立,幼稚園,03-3452-0246,2021年10月時点
港区,芝浦４丁目,-,東京都港区芝浦4-8-18,35.638759,139.746362,芝浦,公立,幼稚園,03-3452-0574,2021年10月時点
港区,白金３丁目,-,東京都港区白金3-13-8,35.645003,139.728889,三光,公立,幼稚園,03-3444-4233,2021年10月時点
港区,港南４丁目,-,東京都港区港南4-3-27,35.62924,139.748825,港南,公立,幼稚園,03-3471-7347,2021年10月時点
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-5-15,35.661831,139.738403,麻布,公立,幼稚園,03-3583-1858,2021年10月時点
港区,元麻布３丁目,-,東京都港区元麻布3-8-15,35.657252,139.731153,南山,公立,幼稚園,03-3408-4785,2021年10月時点
港区,南麻布３丁目,-,東京都港区南麻布3-9-33,35.649869,139.72987,本村,公立,幼稚園,03-3446-3677,2021年10月時点
港区,赤坂９丁目,六本木,東京都港区赤坂9-7-8,35.667845,139.731454,中之町,公立,幼稚園,03-3405-7619,2021年10月時点
港区,南青山４丁目,-,東京都港区南青山4-18-17,35.663551,139.717061,青南,公立,幼稚園,03-3402-0758,2021年10月時点
港区,白金台３丁目,-,東京都港区白金台3-7-1,35.635589,139.726564,白金台,公立,幼稚園,03-3443-5666,2021年10月時点
港区,高輪２丁目,-,東京都港区高輪2-12-31,35.635407,139.735301,高輪,公立,幼稚園,03-3447-3356,2021年10月時点
港区,台場１丁目,-,東京都港区台場1-1-5,35.633781,139.776996,にじのはし,公立,幼稚園,03-5500-2577,2021年10月時点
新宿区,津久戸町,-,東京都新宿区津久戸町2-2,35.702676,139.741996,津久戸,公立,幼稚園,03-3266-0129,2021年10月時点
新宿区,水道町,-,東京都新宿区水道町1-28,35.707068,139.73658,江戸川,公立,幼稚園,(休園中）,2021年10月時点
新宿区,市谷山伏町,-,東京都新宿区市谷山伏町1-3,35.699767,139.728722,市谷,公立,幼稚園,03-3266-0184,2021年10月時点
新宿区,早稲田南町,-,東京都新宿区早稲田南町25,35.704625,139.723532,早稲田,公立,幼稚園,03-3205-9086,2021年10月時点
新宿区,早稲田鶴巻町,-,東京都新宿区早稲田鶴巻町140,35.708566,139.725039,鶴巻,公立,幼稚園,03-3205-9167,2021年10月時点
新宿区,市谷仲之町,-,東京都新宿区市谷仲之町4-33,35.695803,139.7236,牛込仲之,公立,幼稚園,03-3358-3880,2021年10月時点
新宿区,富久町,-,東京都新宿区富久町7-24,35.692373,139.716356,富久,公立,幼稚園,(休園中）,2021年10月時点
新宿区,若松町,-,東京都新宿区若松町13-1,35.699306,139.715621,余丁町,公立,幼稚園,03-3205-9255,2021年10月時点
新宿区,大京町,-,東京都新宿区大京町30,35.68113,139.71556,四谷第六,公立,幼稚園,03-3358-3774,2021年10月時点
新宿区,新宿１丁目,-,東京都新宿区新宿1-22-1,35.68953,139.713676,花園,公立,幼稚園,03-3353-8277,2021年10月時点
新宿区,大久保１丁目,-,東京都新宿区大久保1-1-21,35.699513,139.705503,大久保,公立,幼稚園,03-3205-9425,2021年10月時点
新宿区,百人町２丁目,-,東京都新宿区百人町2-1-38,35.704019,139.701953,戸山,公立,幼稚園,(休園中）,2021年10月時点
新宿区,西早稲田３丁目,-,東京都新宿区西早稲田3-10-12,35.711097,139.715047,戸塚第一,公立,幼稚園,(休園中）,2021年10月時点
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場1-25-21,35.712606,139.705899,戸塚第二,公立,幼稚園,03-3205-9609,2021年10月時点
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場3-18-21,35.71487,139.697505,戸塚第三,公立,幼稚園,(休園中）,2021年10月時点
新宿区,上落合２丁目,-,東京都新宿区上落合2-10-23,35.712762,139.688781,落合第二,公立,幼稚園,(休園中）,2021年10月時点
新宿区,西落合１丁目,-,東京都新宿区西落合1-12-20,35.720904,139.682438,落合第三,公立,幼稚園,03-3565-0914,2021年10月時点
新宿区,下落合２丁目,-,東京都新宿区下落合2-9-34,35.718333,139.700156,落合第四,公立,幼稚園,03-3565-0939,2021年10月時点
新宿区,西落合４丁目,-,東京都新宿区西落合4-11-21,35.726811,139.678366,落合第六,公立,幼稚園,(休園中）,2021年10月時点
新宿区,北新宿３丁目,-,東京都新宿区北新宿3-17-1,35.70435,139.691427,淀橋第四,公立,幼稚園,03-3227-2165,2021年10月時点
新宿区,百人町４丁目,-,東京都新宿区百人町4-7-1,35.708883,139.69572,西戸山,公立,幼稚園,03-3362-0400,2021年10月時点
江東区,古石場１丁目,-,東京都江東区古石場1-11-11,35.669204,139.794774,ちどり,公立,幼稚園,03-3642-1460,2021年10月時点
江東区,木場１丁目,-,東京都江東区木場1-2-2,35.667464,139.802643,平久,公立,幼稚園,03-3645-6260,2021年10月時点
江東区,千石２丁目,-,東京都江東区千石2-9-12,35.67965,139.817219,川南,公立,幼稚園,03-3647-2983,2021年10月時点
江東区,白河４丁目,-,東京都江東区白河4-9-17,35.682958,139.807813,元加賀,公立,幼稚園,03-3641-1778,2021年10月時点
江東区,豊洲４丁目,-,東京都江東区豊洲4-4-4,35.653819,139.797953,豊洲,公立,幼稚園,03-3531-9272,2021年10月時点
江東区,辰巳１丁目,-,東京都江東区辰巳1-11-1,35.646584,139.809981,辰巳,公立,幼稚園,03-3521-2187,2021年10月時点
江東区,亀戸２丁目,-,東京都江東区亀戸2-5-7,35.6988,139.821931,第一亀戸,公立,幼稚園,03-3685-8227,2021年10月時点
江東区,亀戸６丁目,-,東京都江東区亀戸6-36-1,35.695026,139.83002,第二亀戸,公立,幼稚園,03-3684-1894,2021年10月時点
江東区,大島７丁目,-,東京都江東区大島7-39-2-101,35.691278,139.843753,第三大島,公立,幼稚園,03-3685-5945,2021年10月時点
江東区,東砂７丁目,-,東京都江東区東砂7-5-27,35.671403,139.838626,第五砂町,公立,幼稚園,03-3644-2209,2021年10月時点
江東区,東砂４丁目,-,東京都江東区東砂4-20-1,35.678458,139.839332,東砂,公立,幼稚園,03-3644-1942,2021年10月時点
江東区,北砂５丁目,-,東京都江東区北砂5-22-10,35.681786,139.831501,小名木川,公立,幼稚園,03-3648-5244,2021年10月時点
江東区,東陽２丁目,-,東京都江東区東陽2-1-14,35.667469,139.814068,南陽,公立,幼稚園,03-3649-1077,2021年10月時点
江東区,大島５丁目,-,東京都江東区大島5-38-1,35.687191,139.835958,大島,公立,幼稚園,03-3684-3396,2021年10月時点
江東区,北砂５丁目,-,東京都江東区北砂5-20-7-102,35.683555,139.834147,なでしこ,公立,幼稚園,03-3640-7275,2021年10月時点
江東区,枝川３丁目,-,東京都江東区枝川3-4-1-101,35.659458,139.808617,枝川,公立,幼稚園,03-3615-1333,2021年10月時点
江東区,東雲２丁目,-,東京都江東区東雲2-4-1-103,35.642238,139.7981,ひばり,公立,幼稚園,03-3529-1454,2021年10月時点
江東区,大島８丁目,-,東京都江東区大島8-21-9-101,35.688923,139.839912,もみじ,公立,幼稚園,03-3637-4106,2021年10月時点
江東区,扇橋３丁目,-,東京都江東区扇橋3-20-13-101,35.684531,139.81921,つばめ,公立,幼稚園,03-3649-1841,2021年10月時点
江東区,南砂２丁目,-,東京都江東区南砂2-3-3-101,35.67317,139.823004,みどり,公立,幼稚園,03-3649-5840,2021年10月時点
品川区,南品川２丁目,-,東京都品川区南品川2-8-21,35.612812,139.74262,城南,公立,幼稚園,03-3471-7584,2021年10月時点
品川区,荏原４丁目,-,東京都品川区荏原4-5-22,35.61507,139.707675,平塚,公立,幼稚園,03-3781-8913,2021年10月時点
品川区,南大井４丁目,-,東京都品川区南大井4-3-14,35.597637,139.736177,浜川,公立,幼稚園,03-3761-6395,2021年10月時点
品川区,北品川５丁目,-,東京都品川区北品川5-3-1,35.622495,139.731753,御殿山,公立,幼稚園,03-5795-1523,2021年10月時点
品川区,西大井５丁目,-,東京都品川区西大井5-22-8,35.598241,139.716689,伊藤,公立,幼稚園,03-3775-8028,2021年10月時点
品川区,西五反田６丁目,-,東京都品川区西五反田6-5-6,35.622359,139.716741,第一日野,公立,幼稚園,03-3493-7264,2021年10月時点
品川区,東品川１丁目,-,東京都品川区東品川1-8-30,35.620869,139.743667,台場,公立,幼稚園,03-3472-8378,2021年10月時点
品川区,二葉１丁目,-,東京都品川区二葉1-3-40,35.607037,139.72556,二葉,公立,幼稚園,03-3785-9560,2021年10月時点
品川区,八潮５丁目,-,東京都品川区八潮5-6-32,35.596297,139.749755,八潮わかば,公立,幼稚園,03-3799-1542,2021年10月時点
渋谷区,東３丁目,-,東京都渋谷区東3-3-3,35.651633,139.712654,広尾,公立,幼稚園,03-3409-0714,2021年10月時点
渋谷区,本町５丁目,-,東京都渋谷区本町5-19-4,35.684271,139.674905,本町,公立,幼稚園,03-3377-1904,2021年10月時点
渋谷区,広尾１丁目,-,東京都渋谷区広尾1-9-17,35.649363,139.716734,臨川,公立,幼稚園,03-3442-6849,2021年10月時点
渋谷区,千駄ケ谷２丁目,-,東京都渋谷区千駄ヶ谷2-4-1,35.675307,139.707318,千駄谷,公立,幼稚園,03-3402-8280,2021年10月時点
渋谷区,代々木３丁目,-,東京都渋谷区代々木3-32-13,35.683064,139.692852,山谷,公立,幼稚園,03-3370-1410,2021年10月時点
千代田区,麹町２丁目,-,東京都千代田区麹町2-8,35.684971,139.739443,麹町,公立,小学校,03-3263-7337,2021年10月時点
千代田区,三番町,-,東京都千代田区三番町16,35.690522,139.740713,九段,公立,小学校,03-3263-0564,2021年10月時点
千代田区,六番町,-,東京都千代田区六番町8,35.687673,139.733549,番町,公立,小学校,03-3263-3721,2021年10月時点
千代田区,富士見１丁目,-,東京都千代田区富士見1-10-3,35.696941,139.746213,富士見,公立,小学校,03-3263-1006,2021年10月時点
千代田区,富士見１丁目,-,東京都千代田区富士見1-1-6,35.697343,139.748729,お茶の水,公立,小学校,03-3263-2178,2021年10月時点
千代田区,神田司町,-,東京都千代田区神田司町2-16,35.693129,139.767444,千代田,公立,小学校,03-3256-6768,2021年10月時点
千代田区,外神田３丁目,-,東京都千代田区外神田3-4-7,35.701232,139.769853,昌平,公立,小学校,03-3251-0448,2021年10月時点
千代田区,神田和泉町,-,東京都千代田区神田和泉町1,35.699154,139.778474,和泉,公立,小学校,03-3866-3939,2021年10月時点
中央区,日本橋兜町,-,東京都中央区日本橋兜町15-18（阪本小学校内）,35.679658,139.776805,城東,公立,小学校,03-5644-3020,2021年10月時点
中央区,銀座５丁目,-,東京都中央区銀座5-1-13,35.672339,139.761333,泰明,公立,小学校,03-3571-1765,2021年10月時点
中央区,明石町,-,東京都中央区明石町1-15,35.66871,139.776447,明石,公立,小学校,03-3541-8335,2021年10月時点
中央区,新川２丁目,-,東京都中央区新川2-13-4,35.675974,139.781561,明正,公立,小学校,03-3551-5812,2021年10月時点
中央区,日本橋本石町４丁目,日八京,東京都中央区日本橋本石町4-4-26,35.688172,139.7702,常盤,公立,小学校,03-3241-1910,2021年10月時点
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-10-23,35.683292,139.787969,有馬,公立,小学校,03-3666-5702,2021年10月時点
中央区,日本橋久松町,-,東京都中央区日本橋久松町7-2,35.689041,139.784332,久松,公立,小学校,03-3661-6016,2021年10月時点
中央区,日本橋兜町,-,東京都中央区日本橋兜町15-18,35.679658,139.776805,阪本,公立,小学校,03-3666-0044,2021年10月時点
中央区,佃２丁目,-,東京都中央区佃2-3-1,35.668597,139.784538,佃島,公立,小学校,03-3531-7208,2021年10月時点
中央区,月島４丁目,-,東京都中央区月島4-15-1,35.66035,139.779757,月島第一,公立,小学校,03-3531-7285,2021年10月時点
中央区,勝どき１丁目,-,東京都中央区勝どき1-12-2,35.659823,139.775552,月島第二,公立,小学校,03-3531-7268,2021年10月時点
中央区,晴海１丁目,-,東京都中央区晴海1-4-1,35.658365,139.785687,月島第三,公立,小学校,03-3531-7225,2021年10月時点
中央区,豊海町,-,東京都中央区豊海町3-1,35.653175,139.771318,豊海,公立,小学校,03-3534-1251,2021年10月時点
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-1-17,35.68426,139.781383,日本橋,公立,小学校,03-3668-2360,2021年10月時点
中央区,築地２丁目,-,東京都中央区築地2-13-1,35.66793,139.771373,京橋築地,公立,小学校,03-3541-0642,2021年10月時点
中央区,湊１丁目,-,東京都中央区湊1-4-1,35.67218,139.778773,中央,公立,小学校,03-3551-0565,2021年10月時点
港区,芝２丁目,-,東京都港区芝2-21-3,35.650998,139.750109,芝,公立,小学校,03-3456-3072,2021年10月時点
