指標名,スタジアム,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,
年次,2021年2月,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,
備考,2020年度データから更新なし。,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯
千代田区,北の丸公園,-,千代田区北の丸公園2-3,35.693748,139.749543,日本武道館,03-3216-5100(代）,https://www.nipponbudokan.or.jp,14471,14471,ｵｰﾌﾟﾝ形式,ｱﾘｰﾅ・平土間形式,"固定席,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,武道大会",武道大会,,,
港区,北青山２丁目,-,港区北青山2-8-35,35.671743,139.7175255,秩父宮ラグビー場,03-3401-3881,http://www.jpnsport.go.jp/chichibunomiya/,21889,24871,ｵｰﾌﾟﾝ形式,ｱﾘｰﾅ・平土間形式,固定席,"ポップス,ラグビー",ラグビー,利用条件の設定,法人に限る。,9:00～17:00
新宿区,霞ヶ丘町,-,新宿区霞ヶ丘町3-1,35.674245,139.716342,明治神宮野球場,03-3404-8999,http://www.jingu-stadium.com,　,, ,,,,,,,
文京区,神南２丁目,-,文京区後楽1-3-61,35.667279,139.699746,東京ドーム,03-5800-9999,https://www.tokyo-dome.co.jp/,45000,50000, ,,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,演歌・歌謡曲,ミュージカル,オペラ,映像上映会（試写会など）,展示会,-,-,-","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,-",一般に貸出している,,
墨田区,神南２丁目,-,墨田区横綱1-3-28,35.667279,139.699746,両国国技館,03-3623-5111,http://www.sumo.or.jp/,6523,11098,ｵｰﾌﾟﾝ形式,"ｱﾘｰﾅ・平土間形式,扇型形式","固定席,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,-,-,-","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,-",一般に貸出している,,
江東区,千駄ケ谷１丁目,-,江東区有明2-2-22,35.679735,139.712562,有明コロシアム,03-3529-3301,http://www.tptc.co.jp/park/02_03/colosseum/04,10000,10000,舞台なし,スタジアム,固定席,"ポップス,演劇,ミュージカル,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,アイススケート,バスケット,バレーボール","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,-",一般に貸出している,,9:00～21:00
江東区,有明３丁目,-,江東区有明3-11-1,35.6298179,139.7942868,東京ビッグサイト,03-5530-1111,http://www.bigsight.jp/,　,, ,,,,,,,
渋谷区,神南２丁目,-,渋谷区神南2-1-1,35.6676414,139.7001625,国立代々木競技場〔第一体育館〕,03-3468-1171,http://www.jpnsport.go.jp/yoyogi/,13243,12934,ｵｰﾌﾟﾝ形式,ｱﾘｰﾅ・平土間形式,"固定席,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)","ポップス,展示会,スポーツ",スポーツ,一般に貸出している,,7:00～23:00
渋谷区,神南２丁目,-,渋谷区神南2-1-1,35.6676414,139.7001625,国立代々木競技場〔第二体育館〕,03-3468-1171,http://www.jpnsport.go.jp/yoyogi/,4037,,ｵｰﾌﾟﾝ形式,ｱﾘｰﾅ・平土間形式,"固定席,ﾛｰﾙﾊﾞｯｸﾁｪｱ,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)、","ポップス,展示会,スポーツ",スポーツ,利用条件の設定,法人に限る。,7:00～23:00
渋谷区,千駄ケ谷１丁目,-,渋谷区千駄ヶ谷1-17-1,35.6797748,139.7124929,東京体育館,03-6380-4832,https://www.tef.or.jp/tmg/index.jsp,　,, ,"ｱﾘｰﾅ・平土間形式,扇型形式","固定席,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)","ポップス,日本の伝統音楽（邦楽等）,ダンス・パフォーマンス,講演会,-,-","ポップス,-,-",利用条件の設定,,
