指標名,駅,,,,,,,,,,,,
出典,駅情報：駅データ.jp、乗降客数：国土交通省,,,,,,,,,,,,
年次,2022/2/7取得,,,,,,,,,,,,
URL,駅情報：https://ekidata.jp/、乗降客数：http://nlftp.mlit.go.jp/ksj/,,,,,,,,,,,,
備考,新幹線駅除く。,,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,駅名,路線,事業者,緯度,経度,乗降客数（2019年度）,駅コード（路線別）,駅コード（路線不問）
港区,台場２丁目,-,東京都港区台場２－３,35.62764,139.77597,お台場海浜公園,東京臨海新交通臨海線,ゆりかもめ,35.629813,139.778607,"16,899",9931106,9931106
江東区,青海２丁目,-,東京都江東区青海２－２９,35.61892,139.77715,テレコムセンター,東京臨海新交通臨海線,ゆりかもめ,35.617593,139.779327,"12,140",9931109,9931109
品川区,東中延１丁目,-,東京都品川区中延２－８－１,35.61104,139.71380,荏原中延,池上線,東京急行電鉄,35.610056,139.712196,"13,910",2600504,2600504
品川区,中延５丁目,-,東京都品川区中延５－２－１,35.60275,139.70821,荏原町,大井町線,東京急行電鉄,35.60382,139.707571,"17,976",2600405,2600405
千代田区,永田町２丁目,赤坂,東京都千代田区永田町一丁目１１－２８,35.67523,139.74106,永田町,南北線,東京地下鉄,35.678757,139.740258,"91,240",2800913,2800115
千代田区,永田町２丁目,赤坂,東京都千代田区永田町一丁目１１－２９,35.67523,139.74106,永田町,半蔵門線,東京地下鉄,35.678757,139.740258,データなし,2800804,2800115
千代田区,永田町１丁目,赤坂,東京都千代田区永田町一丁目１１－２８,35.67596,139.74620,永田町,有楽町線,東京地下鉄,35.678757,139.740258,データなし,2800616,2800115
江東区,越中島２丁目,-,東京都江東区越中島２丁目,35.66676,139.79366,越中島,京葉線,東日本旅客鉄道,35.667946,139.792713,"11,470",1132603,1132603
品川区,西品川１丁目,-,東京都品川区西品川１－２９－６,35.61234,139.72963,下神明,大井町線,東京急行電鉄,35.608704,139.726256,"8,702",2600402,2600402
新宿区,下落合１丁目,-,東京都新宿区下落合１－１６－１,35.71571,139.69962,下落合,西武新宿線,西武鉄道,35.715846,139.695391,"12,435",2200703,2200703
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.67416,139.75269,霞ヶ関,日比谷線,東京地下鉄,35.673838,139.750899,"151,977",2800316,2800211
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.67416,139.75269,霞ヶ関,丸ノ内線,東京地下鉄,35.673838,139.750899,データなし,2800211,2800211
千代田区,霞が関１丁目,虎ノ門広域,東京都千代田区霞が関２丁目,35.67416,139.75269,霞ヶ関,千代田線,東京地下鉄,35.673838,139.750899,データなし,2800513,2800211
港区,南青山２丁目,-,東京都港区北青山２－７－１６,35.66732,139.72199,外苑前,銀座線,東京地下鉄,35.670527,139.717857,"82,336",2800117,2800117
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１－４－６,35.68064,139.77984,茅場町,日比谷線,東京地下鉄,35.679752,139.780005,データなし,2800310,2800310
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町１－４－６,35.68064,139.77984,茅場町,東西線,東京地下鉄,35.679752,139.780005,"129,424",2800411,2800310
千代田区,神田須田町２丁目,-,東京都千代田区神田岩本町１,35.69581,139.77301,岩本町,新宿線,東京都,35.695534,139.775866,"55,446",9930408,9930408
品川区,旗の台３丁目,-,東京都品川区旗の台２－１３－１,35.60519,139.70594,旗の台,池上線,東京急行電鉄,35.604923,139.702286,"40,276",2600505,2600406
品川区,旗の台５丁目,-,東京都品川区旗の台２－１３－１,35.60329,139.70121,旗の台,大井町線,東京急行電鉄,35.604923,139.702286,データなし,2600406,2600406
江東区,亀戸１丁目,-,東京都江東区亀戸５丁目,35.69522,139.82273,亀戸,総武線,東日本旅客鉄道,35.697345,139.826262,"116,552",1131323,1131323
江東区,亀戸５丁目,-,東京都江東区亀戸５丁目,35.69919,139.82913,亀戸,亀戸線,東武鉄道,35.697708,139.826791,"27,001",2100505,1131323
江東区,亀戸８丁目,-,東京都江東区亀戸８－５－１,35.70042,139.83490,亀戸水神,亀戸線,東武鉄道,35.699976,139.833422,"4,352",2100504,2100504
新宿区,岩戸町,-,東京都新宿区箪笥町１５,35.70143,139.73739,牛込神楽坂,大江戸線,東京都,35.700851,139.735802,"15,243",9930106,9930106
新宿区,原町１丁目,-,東京都新宿区原町２－３２,35.70049,139.72548,牛込柳町,大江戸線,東京都,35.699518,139.725027,"21,251",9930105,9930105
中央区,京橋２丁目,日八京,東京都中央区京橋２－２－１０,35.67663,139.77122,京橋,銀座線,東京地下鉄,35.676856,139.770126,"63,693",2800110,2800110
中央区,銀座４丁目,-,東京都中央区銀座４－１－２,35.67102,139.76634,銀座,日比谷線,東京地下鉄,35.671989,139.763965,"257,440",2800314,2800111
中央区,銀座３丁目,-,東京都中央区銀座４－１－２,35.67197,139.76713,銀座,丸ノ内線,東京地下鉄,35.671989,139.763965,データなし,2800210,2800111
中央区,銀座４丁目,-,東京都中央区銀座４－１－２,35.67102,139.76634,銀座,銀座線,東京地下鉄,35.671989,139.763965,データなし,2800111,2800111
中央区,銀座１丁目,-,東京都中央区銀座一丁目７－１２,35.67372,139.77023,銀座一丁目,有楽町線,東京地下鉄,35.67435,139.767045,"39,562",2800619,2800111
千代田区,九段南１丁目,-,東京都千代田区九段南１－６－１,35.69384,139.75341,九段下,東西線,東京地下鉄,35.695589,139.751948,"177,402",2800407,2800407
千代田区,九段北１丁目,-,東京都千代田区九段南１－６－１,35.69656,139.75061,九段下,半蔵門線,東京地下鉄,35.695589,139.751948,データなし,2800806,2800407
千代田区,九段北１丁目,-,東京都千代田区九段南１－６－１,35.69656,139.75061,九段下,新宿線,東京都,35.695589,139.751948,"115,034",9930405,2800407
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南一丁目５－５,35.64512,139.70966,恵比寿,日比谷線,東京地下鉄,35.647332,139.708988,"117,796",2800320,1130204
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿南一丁目5-5,35.646685,139.710070,恵比寿,埼京線,東日本旅客鉄道株式会社,35.646685,139.71007,データなし,1132102,1130204
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿南一丁目5-5,35.646685,139.710070,恵比寿,湘南新宿ライン,東日本旅客鉄道株式会社,35.646685,139.71007,データなし,1133306,1130204
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿南一丁目５－５,35.64496,139.71341,恵比寿,山手線,東日本旅客鉄道,35.646685,139.71007,"295,398",1130204,1130204
中央区,月島１丁目,-,東京都中央区月島一丁目３－９,35.66489,139.78225,月島,有楽町線,東京地下鉄,35.664871,139.784233,"77,166",2800621,2800621
中央区,月島１丁目,-,東京都中央区月島一丁目３－９,35.66489,139.78225,月島,大江戸線,東京都,35.664871,139.784233,"75,411",9930117,2800621
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前一丁目１８,35.67194,139.70541,原宿,山手線,東日本旅客鉄道,35.670646,139.702592,"150,682",1130206,1130206
品川区,戸越３丁目,-,東京都品川区戸越３－４－１７,35.61321,139.71671,戸越,浅草線,東京都,35.614633,139.716495,"22,712",9930204,2600503
品川区,平塚１丁目,-,東京都品川区平塚２－１６－１,35.61474,139.71536,戸越銀座,池上線,東京急行電鉄,35.615928,139.714862,"20,468",2600503,2600503
品川区,戸越５丁目,-,東京都品川区戸越５－１０－１５,35.60996,139.71744,戸越公園,大井町線,東京急行電鉄,35.608856,139.718159,"13,681",2600403,2600403
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門１－１－２１,35.66847,139.74962,虎ノ門,銀座線,東京地下鉄,35.670236,139.749832,"110,008",2800113,2800113
港区,虎ノ門１丁目,虎ノ門,東京都港区虎ノ門一丁目22-12,35.66744,139.74778,虎ノ門ヒルズ,東京メトロ日比谷線,東京地下鉄株式会社,35.6677126,139.7479069,データなし,2800322,2800113
品川区,西五反田１丁目,-,東京都品川区東五反田二丁目１－１,35.62434,139.72296,五反田,池上線,東京急行電鉄,35.625262,139.724175,"114,900",2600501,1130202
品川区,東五反田５丁目,-,東京都品川区東五反田一丁目２６－１４,35.62935,139.72275,五反田,浅草線,東京都,35.627102,139.724175,"71,027",9930205,1130202
品川区,東五反田１丁目,-,東京都品川区東五反田一丁目２６,35.62756,139.72642,五反田,山手線,東日本旅客鉄道,35.625974,139.723822,"282,702",1130202,1130202
港区,新橋６丁目,虎ノ門広域,東京都港区西新橋３－２４－６,35.66157,139.75394,御成門,三田線,東京都,35.661215,139.751535,"52,228",9930306,9930306
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台２丁目,35.70004,139.76188,御茶ノ水,丸ノ内線,東京地下鉄株式会社,35.7001875,139.7639511,データなし,1131318,1131203
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台２丁目,35.70004,139.76188,御茶ノ水,中央線,東日本旅客鉄道,35.699605,139.764955,"211,780",1131203,1131203
渋谷区,広尾５丁目,-,東京都港区南麻布５－１０－２８,35.64990,139.71995,広尾,日比谷線,東京地下鉄,35.652279,139.722202,"62,588",2800319,2800319
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場一丁目３５－２,35.71110,139.70641,高田馬場,西武新宿線,西武鉄道,35.712677,139.703715,"301,862",2200702,1130210
新宿区,高田馬場２丁目,-,東京都新宿区高田馬場一丁目３５－１,35.71320,139.70787,高田馬場,東西線,東京地下鉄,35.713338,139.704745,"200,250",2800403,1130210
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場一丁目３５－１,35.71110,139.70641,高田馬場,山手線,東日本旅客鉄道,35.712677,139.703715,"423,374",1130210,1130210
港区,港南２丁目,-,東京都港区港南二丁目10-145,35.635500,139.740700,高輪ゲートウェイ,京浜東北線,東日本旅客鉄道株式会社,35.6355,139.7407,データなし,1130230,1130230
港区,港南２丁目,-,東京都港区港南二丁目１０－１４５,35.63086,139.73965,高輪ゲートウェイ,山手線,東日本旅客鉄道,35.6355,139.7407,データなし,1130230,1130230
港区,高輪３丁目,-,東京都港区白金台２－２６－７,35.63185,139.73440,高輪台,浅草線,東京都,35.631679,139.730305,"14,863",9930206,9930206
千代田区,麹町３丁目,-,東京都千代田区麹町三丁目２,35.68445,139.73848,麹町,有楽町線,東京地下鉄,35.684006,139.737613,"65,607",2800615,2800615
千代田区,永田町１丁目,赤坂,東京都千代田区永田町１丁目,35.67596,139.74620,国会議事堂前,千代田線,東京地下鉄,35.67393,139.745219,"43,239",2800514,2800212
千代田区,永田町１丁目,赤坂,東京都千代田区永田町１丁目,35.67596,139.74620,国会議事堂前,丸ノ内線,東京地下鉄,35.67393,139.745219,データなし,2800212,2800212
江東区,有明３丁目,-,東京都江東区有明２－５－２５,35.63012,139.79212,国際展示場,りんかい線,東京臨海高速鉄道,35.63441,139.791617,"59,392",9933703,9933703
渋谷区,千駄ケ谷１丁目,-,東京都新宿区霞ケ丘町１０－３,35.67951,139.71108,国立競技場,大江戸線,東京都,35.679831,139.714932,"10,764",9930126,9930126
千代田区,霞が関２丁目,虎ノ門広域,東京都千代田区霞が関二丁目１－１,35.67525,139.75013,桜田門,有楽町線,東京地下鉄,35.677405,139.75149,"13,456",2800617,2800617
渋谷区,笹塚１丁目,-,東京都渋谷区笹塚１－５６－７,35.67342,139.66786,笹塚,京王線,京王電鉄,35.673758,139.667251,"82,813",2400104,2400104
品川区,東大井１丁目,-,東京都品川区東大井１－２－２０,35.60467,139.74558,鮫洲,京急本線,京浜急行電鉄,35.604977,139.742227,"11,313",2700106,2700106
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町１－８－１,35.68692,139.77373,三越前,銀座線,東京地下鉄,35.687101,139.773594,データなし,2800108,1131402
中央区,日本橋本石町１丁目,日八京,東京都中央区日本橋室町１－８－１,35.68505,139.77193,三越前,半蔵門線,東京地下鉄,35.684908,139.773147,"133,564",2800809,1131402
港区,芝４丁目,-,東京都港区芝５－３４－１０,35.64835,139.75087,三田,浅草線,東京都,35.64818,139.748775,"225,304",9930208,9930208
港区,芝４丁目,-,東京都港区芝５－３４－１０,35.64835,139.75087,三田,三田線,東京都,35.64818,139.748775,データなし,9930304,9930208
港区,芝４丁目,-,東京都港区芝５－３４－１０,35.64835,139.75087,三田,三田線,東京都,35.64818,139.748775,データなし,9930304,9930208
港区,芝４丁目,-,東京都港区芝５－３４－１０,35.64835,139.75087,三田,浅草線,東京都,35.64818,139.748775,データなし,9930208,9930208
