指標名,食べログアワード受賞レストラン,,,,,,,,,,,,,,
出典,The Tabelog Award 2021,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,
URL,https://award.tabelog.com/restaurants,,,,,,,,,,,,,,
備考,（2019年度：275件、2020年度：208件、2021年度：211件）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,アワード,初選出,星数,口コミ数,夜予算,昼予算,備考,URL
港区,西麻布３丁目,-,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,35.659622,139.725237,蒼,イノベーティブ・フュージョン、フレンチ,SILVER,〇,4.44,135 件,"￥40,000～￥49,999",,,https://tabelog.com/tokyo/A1307/A130701/13243463/
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1 三井2号館,35.686393,139.772921,アカ（aca 1°）,スペイン料理、モダンスパニッシュ,SILVER,,4.5,128 件,"￥20,000～￥29,999","￥20,000～￥29,999",,https://tabelog.com/tokyo/A1302/A130202/13249117/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-11-7 ソシアル赤坂ビル 4F,35.674593,139.737575,赤坂 詠月（えいげつ）,懐石・会席料理,BRONZE,,4.09,232 件,"￥20,000～￥29,999",,,https://tabelog.com/tokyo/A1308/A130801/13116523/
港区,赤坂６丁目,赤坂,東京都港区赤坂6-13-8,35.669918,139.734083,赤坂 菊乃井,懐石・会席料理,BRONZE,,4.02,259 件,"￥20,000～￥29,999","￥10,000～￥14,999",,https://tabelog.com/tokyo/A1308/A130801/13002514/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-13-6 国際天野ビル 7F,35.673068,139.737669,赤坂 きた福,かに,BRONZE,,3.95,140 件,"￥40,000～￥49,999","￥30,000～￥39,999",,https://tabelog.com/tokyo/A1308/A130801/13149065/
港区,赤坂３丁目,赤坂,東京都港区赤坂3-9-12 メトロビル 4F,35.676865,139.736227,赤坂 らいもん,焼肉、牛料理、ホルモン,SILVER,,4.37,182 件,"￥15,000～￥19,999",,,https://tabelog.com/tokyo/A1308/A130801/13224635/
中央区,日本橋兜町,-,東京都中央区日本橋兜町1-4 M-SQUAREビル 1F,35.682829,139.779307,ASAHINA Gastronome（アサヒナ ガストロノーム）,フレンチ,BRONZE,,4.04,162 件,"￥30,000～￥39,999","￥15,000～￥19,999",,https://tabelog.com/tokyo/A1302/A130203/13227385/
港区,麻布十番２丁目,-,東京都港区麻布十番2-7-2 ローズハウス 1F,35.655923,139.733548,麻布 かどわき,懐石・会席料理、割烹・小料理、すっぽん,BRONZE,,4.03,231 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1307/A130702/13001664/
港区,麻布十番３丁目,-,東京都港区麻布十番3-7-5 マスコビル麻布弐番館 1F,35.653515,139.734984,麻布十番 ふくだ,懐石・会席料理、割烹・小料理,BRONZE,,4.01,67 件,"￥30,000～￥39,999",,,https://tabelog.com/tokyo/A1307/A130702/13174951/
港区,麻布十番１丁目,-,東京都港区麻布十番1-5-5 湯建麻布十番ビル 3F,35.657336,139.732942,麻布 幸村（ゆきむら）,割烹・小料理,BRONZE,,4.05,103 件,"￥40,000～￥49,999",,,https://tabelog.com/tokyo/A1307/A130702/13005316/
