指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2022/2/2取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件）,,,,,,
,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ
江東区,亀戸３丁目,-,東京都江東区亀戸3-6-1,35.70298,139.820807,亀戸天神社,神社
千代田区,九段北３丁目,-,東京都千代田区九段北3-1-1,35.694038,139.742548,靖国神社,神社
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-10-5,35.674471,139.740166,日枝神社,神社
港区,赤坂６丁目,赤坂,東京都港区赤坂6-10-12,35.668138,139.736119,赤坂氷川神社,神社
江東区,富岡１丁目,-,東京都江東区富岡1-20-3,35.671906,139.799626,富岡八幡宮,神社
中央区,日本橋小網町,-,東京都中央区日本橋小網町16-23,35.684129,139.780477,小網神社,神社
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-14,35.687059,139.774205,福徳神社 (芽吹稲荷),神社
千代田区,富士見２丁目,-,東京都千代田区富士見2-4-1,35.70006,139.746745,東京大神宮,神社
新宿区,西早稲田２丁目,-,東京都新宿区西早稲田2-1-11,35.707225,139.717353,穴八幡宮,神社
港区,赤坂８丁目,赤坂,東京都港区赤坂8丁目11-27,35.668416,139.728201,乃木神社,神社
中央区,日本橋蛎殻町２丁目,-,東京都中央区日本橋蛎殻町2-4-1,35.683571,139.785196,水天宮,神社
港区,南麻布４丁目,-,東京都港区南麻布4丁目11-25,35.647407,139.727446,光林寺,寺院
港区,芝公園４丁目,-,東京都港区芝公園4-7-35,35.65742,139.748216,増上寺,寺院
港区,高輪２丁目,-,東京都港区高輪2-11-1,35.637483,139.736626,泉岳寺,寺院
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂5-36,35.701646,139.739293,毘沙門天 善国寺,寺院
江東区,富岡１丁目,-,東京都江東区富岡1-17-13,35.672867,139.798379,成田山 深川不動堂,寺院
中央区,築地３丁目,-,東京都中央区築地3-15-1,35.666506,139.772297,築地 本願寺,寺院
千代田区,外神田２丁目,-,東京都千代田区外神田2-16-2,35.702032,139.767885,神田神社(神田明神),寺院
渋谷区,大山町,-,東京都渋谷区大山町1-19,35.668178,139.676455,東京ジャーミイ・トルコ文化センター,教会
千代田区,麹町６丁目,-,東京都千代田区麹町6丁目5-1,35.684622,139.730972,カトリック麹町聖イグナチオ教会,教会
新宿区,大久保１丁目,-,東京都新宿区大久保1-14-14,35.700967,139.70399,日本福音ルーテル東京教会,教会
