指標名,観光地,,,,,Tripadvisorの取得範囲の変更について,,,,,
出典,Tripadvisor,,,,,前回までTripadvisorの全観光スポットを取得していたが、2021年度から観光カテゴリーを,,,,,
年次,2022/1/27 取得,,,,,「名所・有名スポット」に絞って情報を取得している、観光スポット全体の件数が昨年から倍増しており、,,,,,
URL,https://www.tripadvisor.jp/,,,,,個人名で登録された観光ツアーや、バーなど営業状況が不明な登録地が散見されたため。,,,,,
備考,"（2019年度：2,042件、2020年度：2,985件、2021年度：1,925件）",,,,,,,,,,
,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,ジャンル,星,口コミ数,URL,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸ノ内 1-9-1,35.681185,139.768754,東京駅,旧跡 • 名所・有名スポット • 建築物,4,"4,237件",https://www.tripadvisor.jp/Attraction_Review-g14129528-d550327-Reviews-Tokyo_Central_Railway_Station-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,北の丸公園,-,東京都千代田区北ノ丸公園1-1,35.692422,139.749495,千鳥ヶ淵,名所・有名スポット,4.5,"1,200件",https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373705-Reviews-Chidorigafuchi-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,-,-,東京都千代田区外神田,35.702174,139.773901,秋葉原,主要エリア,4,"4,433件",https://www.tripadvisor.jp/Attraction_Review-g1066443-d321038-Reviews-Akihabara-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,九段北３丁目,-,東京都千代田区九段北 3-1-1,35.694038,139.742548,靖国神社,旧跡 • 神社/寺院/教会など,4,"1,619件",https://www.tripadvisor.jp/Attraction_Review-g1066443-d555799-Reviews-Yasukuni_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,千代田,-,東京都千代田区千代田 1-1,35.683823,139.753814,皇居東御苑（旧江戸城本丸跡）,旧跡 • 城 • 庭園,4,"2,013件",https://www.tripadvisor.jp/Attraction_Review-g1066443-d320625-Reviews-The_East_Gardens_of_the_Imperial_Palace_Edo_Castle_Ruin-Chiyoda_Tokyo_Tokyo_Prefe.html,　
千代田区,丸の内２丁目,大丸有,東京都千代田区丸ノ内 2-6-2,35.678499,139.763369,三菱一号館美術館,建築物 • 美術館,4.5,438件,https://www.tripadvisor.jp/Attraction_Review-g14129528-d1604472-Reviews-Mitsubishi_Ichigokan_Museum-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,外神田２丁目,-,東京都千代田区外神田2‐16‐2,35.702032,139.767885,神田明神,神社/寺院/教会など • 歴史博物館,4,819件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d561733-Reviews-Kanda_myoujin_Shrine-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,永田町２丁目,赤坂,東京都千代田区永田町2-10-5,35.674471,139.740166,日枝神社,旧跡 • 神社/寺院/教会など,4,669件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d545943-Reviews-Hie_Jinjya-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,千代田,-,東京都千代田区千代田 1-1,35.683823,139.753814,皇居,名所・有名スポット • 歴史散策地区 • 建築物 • 政府庁舎,4,"2,776件",https://www.tripadvisor.jp/Attraction_Review-g1066443-d320050-Reviews-Imperial_Palace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
千代田区,北の丸公園,-,東京都千代田区北ノ丸公園,35.690542,139.754642,北の丸公園,旧跡 • 公園,4,257件,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373694-Reviews-Kitanomaru_Park-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,　
