指標名,大学キャンパス,,,,,,,
出典,教育ソリューション株式会社「全国学校データ」,,,,,,,
年次,2022年版,,,,,,,
URL,https://kyouikusolution.co.jp/,,,,,,,
備考,（2020年度納品物：95件、今年度納品：96件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,大学,キャンパス,運営者区分
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－１１－１　パシフィックセンチュリープレイス丸の内９階,35.678154,139.765986,ＳＢＩ大学院大学,-,私立
千代田区,二番町,-,東京都千代田区二番町５－１　住友不動産麹町ビル,35.68541,139.736316,グロービス経営大学院大学,東京校,私立
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台４－６　御茶ノ水ソラシティアカデミア３Ｆ／４Ｆ,35.698835,139.765589,デジタルハリウッド大学,駿河台キャンパス,私立
港区,六本木６丁目,六本木,東京都港区六本木６－４－１　六本木ヒルズハリウッドプラザ,35.661215,139.729349,ハリウッド大学院大学,-,私立
千代田区,二番町,-,東京都千代田区ニ番町３－１２　麹町スクエア２Ｆ,35.686028,139.735115,ビジネス・ブレークスルー大学,-,私立
渋谷区,松涛２丁目,-,東京都渋谷区松濤２－３－１０,35.660554,139.689096,ヤマザキ動物看護大学,渋谷キャンパス,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－１－２　学術総合センター内,35.692479,139.758096,一橋大学,千代田キャンパス,国立
新宿区,戸山３丁目,-,東京都新宿区戸山３－２０－１,35.707564,139.711889,学習院女子大学,戸山キャンパス,私立
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１－７－１２　サピアタワー１０階,35.683669,139.768533,関西学院大学,東京丸の内キャンパス,私立
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町３－２７,35.694516,139.754861,共立女子大学,-,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－２－１,35.693205,139.757203,共立女子大学,神田一ツ橋キャンパス,私立
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町３－２７,35.694516,139.754861,共立女子大学,-,私立
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町３－２７,35.694516,139.754861,共立女子大学,神田一ツ橋キャンパス（３号館）,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－２－１,35.693205,139.757203,共立女子大学,神田一ツ橋キャンパス（本館）,私立
港区,三田２丁目,-,東京都港区三田２－１５－４５,35.649254,139.742822,慶應義塾大学,三田キャンパス,私立
港区,芝公園１丁目,-,東京都港区芝公園１－５－３０,35.658828,139.751638,慶應義塾大学,芝共立キャンパス,私立
新宿区,信濃町,-,東京都新宿区信濃町３５,35.68258,139.718168,慶應義塾大学,信濃町キャンパス,私立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－２４－２,35.690612,139.695383,工学院大学,新宿キャンパス,私立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－７－３,35.691587,139.696925,国際ファッション専門職大学,東京キャンパス,私立
港区,赤坂４丁目,赤坂,東京都港区赤坂４－１－２６,35.676268,139.734514,国際医療福祉大学,東京赤坂キャンパス,私立
新宿区,百人町３丁目,-,東京都新宿区百人町３－２３－１,35.705575,139.697952,桜美林大学,新宿百人町キャンパス,私立
品川区,東大井１丁目,-,東京都品川区東大井１－１０－４０,35.60694,139.749071,産業技術大学院大学,-,公立
港区,南青山３丁目,-,東京都港区南青山３－１３－１６,35.665363,139.713655,事業構想大学院大学,-,私立
渋谷区,東１丁目,-,東京都渋谷区東１－１－４９,35.657858,139.710086,実践女子大学,渋谷キャンパス,私立
港区,芝浦３丁目,-,東京都港区芝浦３－９－１４,35.643372,139.749694,芝浦工業大学,芝浦キャンパス,私立
江東区,豊洲３丁目,-,東京都江東区豊洲３－７－５,35.661326,139.795087,芝浦工業大学,豊洲キャンパス,私立
新宿区,高田馬場１丁目,-,東京都新宿区高田馬場１－２５－３０,35.712341,139.706529,社会構想大学院大学,-,私立
品川区,旗の台１丁目,-,東京都品川区旗の台１－５－８,35.608494,139.703499,昭和大学,旗の台キャンパス,私立
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町７－１,35.683817,139.7326,上智大学,四谷キャンパス,私立
新宿区,下落合４丁目,-,東京都新宿区下落合４－１６－１１,35.720802,139.694723,上智大学,目白聖母キャンパス,私立
千代田区,紀尾井町,赤坂,東京都千代田区紀尾井町３－２６,35.682212,139.737688,城西国際大学,東京紀尾井町キャンパス,私立
品川区,上大崎４丁目,-,東京都品川区上大崎４－６－１９,35.631622,139.715856,杉野服飾大学,目黒キャンパス,私立
港区,六本木７丁目,六本木,東京都港区六本木７－２２－１,35.663874,139.727279,政策研究大学院大学,-,国立
品川区,荏原２丁目,-,東京都品川区荏原２－４－４１,35.618949,139.712173,星薬科大学,-,私立
品川区,東五反田３丁目,-,東京都品川区東五反田３－１６－２１,35.627681,139.728688,清泉女子大学,-,私立
渋谷区,広尾４丁目,-,東京都渋谷区広尾４－３－１,35.651359,139.720002,聖心女子大学,-,私立
中央区,明石町,-,東京都中央区明石町１０－１,35.66787,139.775827,聖路加国際大学,-,私立
渋谷区,渋谷４丁目,-,東京都渋谷区渋谷４－４－２５,35.659619,139.710783,青山学院大学,青山キャンパス,私立
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町３－８,35.697121,139.754056,専修大学,神田キャンパス,私立
千代田区,神田神保町３丁目,-,東京都千代田区神田神保町３－８－１,35.696677,139.753942,専修大学,-,私立
新宿区,戸塚町,-,東京都新宿区戸塚町１－１０４,35.709972,139.722536,早稲田大学,-,私立
新宿区,喜久井町,-,東京都新宿区喜久井町１７,35.704972,139.721355,早稲田大学,喜久井町キャンパス,私立
新宿区,戸山１丁目,-,東京都新宿区戸山１－２４－１,35.70537,139.717511,早稲田大学,戸山キャンパス,私立
新宿区,大久保３丁目,-,東京都新宿区大久保３－４－１,35.706069,139.706809,早稲田大学,西早稲田キャンパス,私立
新宿区,西早稲田１丁目,-,東京都新宿区西早稲田１－６－１,35.70915,139.719072,早稲田大学,早稲田キャンパス,私立
中央区,日本橋１丁目,日八京,東京都中央区日本橋１－４－１　日本橋一丁目ビルディング５Ｆ（コレド日本橋）,35.682514,139.774431,早稲田大学,日本橋キャンパス,私立
千代田区,一ツ橋２丁目,-,東京都千代田区一ツ橋２－１－２,35.692439,139.758017,総合研究大学院大学,国立情報学研究所,国立
中央区,日本橋茅場町２丁目,-,東京都中央区日本橋２－１７－３,35.67796,139.780026,大学院大学至善館,-,私立
千代田区,西神田２丁目,-,東京都千代田区西神田２－２－１０,35.698755,139.755614,大原大学院大学,-,私立
千代田区,三番町,-,東京都千代田区三番町１２,35.690988,139.74236,大妻女子大学,千代田キャンパス,私立
新宿区,市谷本村町,-,東京都新宿区市谷本村町４２－８,35.692666,139.725814,中央大学,市ヶ谷キャンパス,私立
新宿区,市谷田町１丁目,-,東京都新宿区市谷田町１－１８,35.69371,139.736568,中央大学,市ヶ谷田町キャンパス,私立
渋谷区,千駄ケ谷１丁目,-,東京都渋谷区千駄ヶ谷１－１８－２４,35.680583,139.710604,津田塾大学,千駄ヶ谷キャンパス,私立
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷２－２８－４,35.664462,139.684527,東海大学,代々木キャンパス,私立
港区,高輪２丁目,-,東京都港区高輪２－３－２３,35.637919,139.734559,東海大学,東京キャンパス（高輪校舎）,私立
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷２－２８－４,35.664462,139.684527,東海大学,東京キャンパス（渋谷校舎）,私立
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台２－３－１０,35.700918,139.76136,東京医科歯科大学,駿河台キャンパス,国立
新宿区,新宿６丁目,-,東京都新宿区新宿６－１－１,35.69399,139.712357,東京医科大学,-,私立
品川区,東五反田４丁目,-,東京都品川区東五反田４－１－１７,35.631475,139.726413,東京医療保健大学,五反田キャンパス,私立
千代田区,三番町,-,東京都千代田区三番町２２,35.691541,139.74219,東京家政学院大学,千代田三番町キャンパス,私立
江東区,越中島２丁目,-,東京都江東区越中島２－１－６,35.667267,139.792151,東京海洋大学,越中島キャンパス,国立
港区,港南４丁目,-,東京都港区港南４－５－７,35.626971,139.747645,東京海洋大学,品川キャンパス,国立
港区,芝浦３丁目,-,東京都港区芝浦３－３－６,35.644366,139.74775,東京工業大学,田町キャンパス,国立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－７－３,35.691587,139.696925,東京国際工科専門職大学,-,私立
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町２－９－１８,35.701343,139.754722,東京歯科大学,水道橋キャンパス,私立
港区,西新橋３丁目,虎ノ門,東京都港区西新橋３－２５－８,35.662367,139.75081,東京慈恵会医科大学,西新橋キャンパス,私立
新宿区,若松町,-,東京都新宿区河田町８－１,35.69807,139.720117,東京女子医科大学,河田町キャンパス,私立
港区,白金台４丁目,-,東京都港区白金台４－６－１,35.639835,139.724905,東京大学,白金台キャンパス,国立
新宿区,西新宿１丁目,-,東京都新宿区西新宿１－７－３,35.691587,139.696925,東京通信大学,新宿駅前キャンパス,私立
新宿区,高田馬場３丁目,-,東京都新宿区高田馬場３－８－１,35.714774,139.701035,東京富士大学,-,私立
江東区,塩浜２丁目,-,東京都江東区塩浜２－２２－１０,35.664757,139.813185,東京保健医療専門職大学,-,私立
江東区,有明２丁目,-,東京都江東区有明２－９－１,35.64192,139.796618,東京有明医療大学,-,私立
新宿区,神楽坂１丁目,-,東京都新宿区神楽坂１－３,35.699399,139.741398,東京理科大学,神楽坂キャンパス,私立
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２－２－１　新大手町ビル１Ｆ,35.684993,139.767019,東洋大学,大手町サテライト,私立
千代田区,三番町,-,東京都千代田区三番町６－１６,35.692299,139.745762,二松學舎大学,九段キャンパス,私立
渋谷区,桜丘町,-,東京都渋谷区桜丘町２４－５,35.656397,139.700445,日本経済大学,東京渋谷キャンパス,私立
千代田区,富士見１丁目,-,東京都千代田区富士見１－９－２０,35.697574,139.74562,日本歯科大学,東京キャンパス,私立
渋谷区,広尾４丁目,-,東京都渋谷区広尾４－１－３,35.653264,139.718866,日本赤十字看護大学,広尾キャンパス,私立
千代田区,神田三崎町１丁目,-,東京都千代田区三崎町１－３－２,35.700266,139.756233,日本大学,三崎町キャンパス,私立
千代田区,神田三崎町２丁目,-,東京都千代田区三崎町２－３－１,35.699799,139.754369,日本大学,-,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－８－１３,35.698219,139.763405,日本大学,駿河台キャンパス,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－８－１４,35.697636,139.763608,日本大学,-,私立
千代田区,九段南４丁目,-,東京都千代田区九段南４－８－２４,35.691013,139.737574,日本大学,日本大学会館,私立
江東区,有明３丁目,-,東京都江東区有明３－３－３,35.630621,139.786397,武蔵野大学,有明キャンパス,私立
渋谷区,代々木３丁目,-,東京都渋谷区代々木３－２２－１,35.685885,139.694217,文化ファッション大学院大学,-,私立
渋谷区,代々木３丁目,-,東京都渋谷区代々木３－２２－１,35.685885,139.694217,文化学園大学,新都心キャンパス,私立
品川区,旗の台３丁目,-,東京都品川区旗の台３－２－１７,35.605392,139.706435,文教大学,旗の台キャンパス,私立
新宿区,西新宿７丁目,-,東京都新宿区西新宿７－１１－１,35.693798,139.697291,宝塚大学,東京新宿キャンパス,私立
千代田区,富士見２丁目,-,東京都千代田区富士見２－１７－１,35.695602,139.740876,法政大学,市ケ谷キャンパス,私立
港区,白金５丁目,-,東京都港区白金５－９－１,35.645593,139.725449,北里大学,白金キャンパス,私立
港区,白金台１丁目,-,東京都港区白金台１－２－３７,35.637277,139.730321,明治学院大学,白金キャンパス,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－１,35.69753,139.761447,明治大学,駿河台キャンパス,私立
千代田区,神田駿河台１丁目,-,東京都千代田区神田駿河台１－１　リバティタワー５階,35.697471,139.761204,明治大学,-,私立
新宿区,中落合４丁目,-,東京都新宿区中落合４－３１－１,35.717345,139.681039,目白大学,新宿キャンパス,私立
品川区,大崎４丁目,-,東京都品川区大崎４－２－１６,35.62061,139.723725,立正大学,品川キャンパス,私立
渋谷区,東４丁目,-,東京都渋谷区東４－１０－２８,35.655644,139.71165,國學院大学,渋谷キャンパス,私立
