icon,name,coordinates
company,本田技研工業株式会社,"139.723751,35.672266"
company,三菱自動車工業株式会社,"139.762567,35.681055"
company,ＮＴＴ（日本電信電話株式会社）,"139.763744,35.685704"
company,日本郵政株式会社,"139.767437,35.686859"
company,ソニー株式会社,"139.743612,35.631166"
company,株式会社日立製作所,"139.765766,35.683186"
company,三井物産株式会社,"139.762261,35.687754"
company,第一生命保険株式会社,"139.760817,35.675837"
company,丸紅株式会社,"139.774275,35.681913"
company,ＥＮＥＯＳホールディングス株式会社,"139.761993,35.686064"
company,三菱ＵＦＪフィナンシャル・グループ,"139.764329,35.678609"
company,ソフトバンク株式会社,"139.76067,35.655214"
company,東京電力ホールディングス株式会社,"139.758431,35.670106"
company,株式会社セブン＆アイ・ホールディングス,"139.734046,35.685844"
company,東京海上ホールディングス株式会社,"139.763278,35.683118"
company,ＫＤＤＩ株式会社　,"139.750541,35.700322"
company,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,"139.784321,35.674251"
company,日鉄物産株式会社,"139.762532,35.67857"
company,株式会社三井住友銀行,"139.76796,35.687146"
company,三菱電機株式会社,"139.764936,35.678607"
company,明治安田生命保険相互会社,"139.762075,35.679154"
company,出光興産株式会社,"139.762261,35.687754"
company,三井住友フィナンシャルグループ,"139.762366,35.684975"
company,ＳＯＭＰＯホールディングス株式会社,"139.696522,35.692591"
company,三菱重工業株式会社,"139.761735,35.677699"
company,富士通株式会社,"139.761062,35.665401"
company,三菱ケミカル株式会社,"139.761221,35.6845"
company,ＪＦＥ（ジェイエフイー）ホールディングス株式会社,"139.754314,35.670326"
company,株式会社みずほフィナンシャルグループ　,"139.765398,35.685512"
company,株式会社メディパルホールディングス,"139.768215,35.677204"
company,武田薬品工業株式会社,"139.774633,35.687672"
company,株式会社東芝,"139.757975,35.651638"
company,日本電気株式会社,"139.74794,35.649428"
company,株式会社ブリヂストン,"139.768382,35.6761"
company,株式会社ＳＵＢＡＲＵ,"139.713393,35.646787"
company,アルフレッサホールディングス株式会社,"139.762736,35.685966"
company,野村證券株式会社,"139.776151,35.683777"
company,明治ホールディングス株式会社,"139.768971,35.676928"
company,味の素株式会社,"139.773353,35.676999"
company,本田技研工業株式会社,"139.723793,35.672091"
company,豊田通商株式会社,"139.744217,35.62903"
company,武田薬品工業株式会社,"139.774633,35.687672"
company,芙蓉総合リース株式会社 ,"139.752309,35.700279"
company,富士通株式会社,"139.760797,35.665619"
company,富士フイルムホールディングス株式会社,"139.730402,35.665548"
company,日本郵船株式会社,"139.762919,35.68152"
company,日本郵政,"139.767437,35.686859"
company,日本電気株式会社,"139.74794,35.649428"
company,日本通運株式会社,"139.760736,35.661668"
company,日本製鉄株式会社,"139.762532,35.67857"
company,日本証券金融株式会社,"139.779654,35.681183"
company,日本ペイント株式会社,"139.736228,35.613273"
company,日本たばこ産業株式会社,"139.745842,35.669469"
company,日鉄物産株式会社,"139.727235,35.671425"
company,東日本旅客鉄道株式会社,"139.700055,35.687322"
company,東京電力ホールディングス株式会社,"139.758431,35.670106"
company,東京海上ホールディングス株式会社,"139.763278,35.683118"
company,東京センチュリー株式会社,"139.774005,35.700361"
company,東京ガス株式会社,"139.758554,35.65345"
company,東京エレクトロン株式会社,"139.736359,35.673175"
company,東急不動産ホールディングス株式会社,"139.696577,35.656394"
company,東急株式会社,"139.697816,35.654937"
company,東レ株式会社,"139.772981,35.686796"
company,電源開発株式会社,"139.766246,35.668185"
company,第一生命保険株式会社,"139.760817,35.675837"
company,第一三共株式会社,"139.775066,35.68832"
company,大和証券株式会社,"139.766185,35.68173"
company,大日本印刷株式会社,"139.731017,35.695623"
company,大東建託株式会社,"139.740748,35.627788"
company,大塚ホールディングス株式会社,"139.766949,35.693506"
company,双日株式会社,"139.752543,35.670872"
company,全日本空輸株式会社,"139.760881,35.665497"
company,川崎重工業株式会社,"139.761658,35.65436"
company,積水化学工業株式会社,"139.745524,35.667087"
company,清水建設株式会社,"139.773033,35.676457"
company,信越化学工業株式会社,"139.769068,35.684409"
company,昭和電工株式会社,"139.753206,35.657229"
company,出光興産株式会社,"139.761109,35.67676"
company,住友林業株式会社,"139.76365,35.688661"
company,住友不動産株式会社,"139.693512,35.688037"
company,住友金属鉱山株式会社,"139.756176,35.663263"
company,住友化学株式会社,"139.784448,35.673592"
company,鹿島建設株式会社,"139.734376,35.67731"
company,三菱電機株式会社,"139.764936,35.678607"
company,三菱地所株式会社,"139.762823,35.686607"
company,三菱重工業株式会社,"139.761735,35.677699"
company,三菱自動車工業株式会社,"139.749208,35.645067"
company,三菱自動車工業株式会社,"139.749208,35.645067"
company,三菱マテリアル株式会社,"139.761735,35.677699"
company,三菱ケミカル株式会社,"139.761221,35.6845"
company,三菱ＵＦＪリース株式会社,"139.764287,35.682543"
company,三菱UFJフィナンシャル・グループ,"139.767101,35.683174"
company,三井物産株式会社,"139.762799,35.688692"
company,三井不動産株式会社,"139.772981,35.686796"
company,三井住友フィナンシャルグループ,"139.762366,35.684975"
company,三井住友トラスト・ホールディングス株式会社,"139.764932,35.684356"
company,三井化学株式会社,"139.760797,35.665619"
company,阪和興業株式会社,"139.769492,35.668151"
company,国際石油開発帝石株式会社,"139.736359,35.673175"
company,丸紅株式会社,"139.774404,35.681882"
company,株式会社野村総合研究所,"139.764409,35.688326"
company,株式会社日本取引所グループ,"139.778873,35.682537"
company,株式会社東京きらぼしフィナンシャルグループ,"139.708809,35.692008"
company,株式会社大林組,"139.74206,35.626151"
company,株式会社大塚商会,"139.750922,35.69978"
company,株式会社新生銀行,"139.773914,35.687329"
company,株式会社三井住友銀行,"139.768094,35.687179"
company,株式会社りそなホールディングス,"139.803271,35.66733"
company,株式会社リクルートホールディングス,"139.767375,35.678637"
company,株式会社めぶきフィナンシャルグループ,"139.767712,35.67746"
company,株式会社メディパルホールディングス,"139.768215,35.677204"
company,株式会社みずほフィナンシャルグループ ,"139.765398,35.685512"
company,株式会社ブリヂストン,"139.768382,35.6761"
company,株式会社バンダイナムコホールディングス,"139.744531,35.644644"
company,株式会社ネクソン,"139.739445,35.665694"
company,株式会社セブン＆アイ・ホールディングス,"139.734046,35.685844"
company,株式会社オリエントコーポレーション,"139.734805,35.684515"
company,株式会社アドバンテスト,"139.766415,35.684122"
company,株式会社あおぞら銀行,"139.732602,35.684643"
company,株式会社T&Dホールディングス,"139.774275,35.681913"
company,株式会社SUBARU,"139.713393,35.646787"
company,株式会社IHI ,"139.793356,35.659214"
company,株式会社 日立製作所,"139.765766,35.683186"
company,株式会社 東芝,"139.757975,35.651638"
company,株式会社 電通,"139.762365,35.664984"
company,株式会社 長谷工コーポレーション,"139.749694,35.65031"
company,株式会社　神戸製鋼所,"139.734817,35.619057"
company,株式会社 小松製作所,"139.74211,35.670873"
company,株式会社 商船三井,"139.746873,35.669849"
company,株式会社　資生堂,"139.76134,35.66986"
company,株式会社　コンコルディア・フィナンシャルグループ,"139.774275,35.681913"
company,株式会社 LIXILグループ,"139.82112,35.689645"
company,花王株式会社,"139.781156,35.680428"
company,王子ホールディングス株式会社,"139.766515,35.671298"
company,伊藤忠商事株式会社,"139.719321,35.671557"
company,旭化成株式会社,"139.759175,35.673577"
company,ルネサス エレクトロニクス株式会社,"139.79497,35.657587"
company,ユニ・チャーム株式会社,"139.74237,35.643904"
company,ヤマトホールディングス株式会社,"139.770544,35.670688"
company,ヒューリック株式会社,"139.779559,35.68997"
company,テルモ株式会社,"139.675352,35.679021"
company,ソフトバンク株式会社,"139.76131,35.663042"
company,ソニー株式会社,"139.759446,35.663052"
company,セコム株式会社,"139.70712,35.671326"
company,コスモエネルギーホールディングス株式会社,"139.757975,35.651638"
company,オリンパス株式会社,"139.694568,35.688616"
company,オリックス株式会社,"139.756444,35.656171"
company,オープンハウス,"139.763995,35.681235"
company,エムスリー株式会社,"139.741093,35.67008"
company,いすゞ自動車株式会社,"139.732072,35.588169"
company,アルフレッサ ホールディングス株式会社,"139.762736,35.685966"
company,アステラス製薬株式会社,"139.77611,35.687263"
company,TDK株式会社,"139.773827,35.681472"
company,ＳＯＭＰＯホールディングス株式会社,"139.696109,35.692697"
company,SMC 株式会社,"139.772715,35.700567"
company,SBIホールディングス株式会社,"139.739496,35.664562"
company,NTT（日本電信電話株式会社）,"139.764025,35.685777"
company,MS&ADインシュアランス グループ ホールディングス株式会社,"139.784301,35.674271"
company,KDDI株式会社 ,"139.750541,35.700322"
company,ＪＦＥ（ジェイ エフ イー）ホールディングス株式会社,"139.754314,35.670326"
company,HOYA株式会社,"139.690753,35.694603"
company,ENEOSホールディングス株式会社,"139.761993,35.686064"
company,AGC株式会社,"139.764287,35.682543"
